ID_DNJB,KD_BARANG,ID_NOTA_JUAL,JUMLAH_JUAL_BARANG,HARGA_JUAL_BARANG,TOTAL_JUAL_UANG,HARGA_BELI_BARANG,TOTAL_BELI_UANG
DNJB74673BB77B8C,4aCSBjQPd3TzFd90,NOTAF37ED2BB6085,29,40000,1160000,16168.0,468872.0
DNJB123F4944DF44,4aCSBjQPd3TzFd90,NOTADED5C317F360,28,40000,1120000,16168.0,452704.0
DNJB70D1D9CD8E61,4aCSBjQPd3TzFd90,NOTA4C511B128F46,20,40000,800000,16168.0,323360.0
DNJB1FEB2E63A0B0,4aCSBjQPd3TzFd90,NOTA2865508BFA4C,23,40000,920000,16168.0,371864.0
DNJB4967B2ACBA0E,4aCSBjQPd3TzFd90,NOTA8F1766AFD59D,18,40000,720000,16168.0,291024.0
DNJB0E264E76E444,4aCSBjQPd3TzFd90,NOTAA5202425A804,15,40000,600000,16168.0,242520.0
DNJB3B7921FC49B6,4aCSBjQPd3TzFd90,NOTA4E3688E1E7C7,5,40000,200000,16168.0,80840.0
DNJBE8C17CF209F7,4aCSBjQPd3TzFd90,NOTA28DEBCC68B91,22,40000,880000,16168.0,355696.0
DNJB485F795FFDB9,4aCSBjQPd3TzFd90,NOTA126ECE20C63A,8,40000,320000,16168.0,129344.0
DNJB9271E7D8FCA6,4aCSBjQPd3TzFd90,NOTAD59279212171,21,40000,840000,16168.0,339528.0
DNJB0075E30A9F12,4aCSBjQPd3TzFd90,NOTAB3187C58D3A1,28,40000,1120000,16168.0,452704.0
DNJB63C842724670,4aCSBjQPd3TzFd90,NOTAABC978E81B23,7,40000,280000,16168.0,113176.0
DNJBABACB3452C73,4aCSBjQPd3TzFd90,NOTA0190540E9198,17,40000,680000,16168.0,274856.0
DNJBFA98B0EC7A75,4aCSBjQPd3TzFd90,NOTA651A85373096,6,40000,240000,16168.0,97008.0
DNJB8F51398CD897,4aCSBjQPd3TzFd90,NOTA897657A75781,7,40000,280000,16168.0,113176.0
DNJB1541AF312D7D,4aCSBjQPd3TzFd90,NOTA55F47DA83D75,11,40000,440000,16168.0,177848.0
DNJBD1AFB964A1D1,4aCSBjQPd3TzFd90,NOTA1657428CD8FD,4,40000,160000,16168.0,64672.0
DNJBFE5446EBC271,4aCSBjQPd3TzFd90,NOTA429735E12A3C,3,40000,120000,16168.0,48504.0
