ID_DETAIL_TRANSFER_BARANG,ID_TRANSFER_BARANG,KD_BARANG,TOTAL_PESAN_TRANSFER_DUS,TOTAL_KIRIM_DUS,TOTAL_TIBA_DUS,TOTAL_DITOLAK_DUS,TOTAL_MASUK_DUS,STATUS
DTFR50F873233A20,TRFR7B92C333DF8D,4aCSBjQPd3TzFd90,40,40,40,0,40,SELESAI
DTFR3A5B947A8FA6,TRFR12863BDBBAE4,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTFR756AF0744B74,TRFR5DF1932FC752,4aCSBjQPd3TzFd90,39,39,39,0,39,SELESAI
DTFR0A9234F6C970,TRFR75C6ECB0631D,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTFR873778EAED9C,TRFR2CBA3EAC381F,4aCSBjQPd3TzFd90,40,40,40,0,40,SELESAI
DTFR5CC03EAEA3E1,TRFR40E7C5A77980,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTFRCC7BE0ABADC5,TRFRBB955E4FD0B1,4aCSBjQPd3TzFd90,40,40,40,0,40,SELESAI
DTFRC1546464EF94,TRFR4E58B05099E0,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTFRE00AFA0397B7,TRFR5D882A214FBA,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTFR703F7F2CDB25,TRFRAFCF17A40C18,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFR80F3CBE6F1F3,TRFREA9E77C8CF66,4aCSBjQPd3TzFd90,39,39,39,0,39,SELESAI
DTFRB09FDF8F1BD2,TRFR5F66E9E3F522,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFR828DF5997303,TRFR2A20A700806A,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFRF7FDDEFEA1CD,TRFR0DF23F486EF2,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFR72858DF99D8B,TRFREDF038CC0A79,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFR5EEE337BE5DE,TRFR744263F817CA,4aCSBjQPd3TzFd90,40,40,40,0,40,SELESAI
DTFR96B3E7A6556D,TRFR66EA7BEFB7D4,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFREA8F51A32807,TRFR79AD439D9215,4aCSBjQPd3TzFd90,39,39,39,0,39,SELESAI
DTFR60A1F7352C51,TRFR52D149CCB9F2,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFR0205E11BBC4F,TRFR1CDC12F8F67E,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFRB59D3B391B02,TRFRFFFB345E383D,4aCSBjQPd3TzFd90,39,39,39,0,39,SELESAI
DTFR71AC03409CE5,TRFR31882A8BCD00,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTFR436C2DB5A8A9,TRFR2912B36846F7,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTFR6C63D9D1F968,TRFR0B52F792B1E0,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFR333A863E50E8,TRFRF1D837858202,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTFR844EA50B4D3F,TRFRB7536C80F4F4,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTFR260E6E68B146,TRFR4BD2A600557E,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTFR4D4847A32F2F,TRFR312D115DFC00,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFR5DA2D12A6C9D,TRFRC5D56D4ABE7A,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTFR55E18C6D8FC6,TRFR322B50CDABAC,4aCSBjQPd3TzFd90,39,39,39,0,39,SELESAI
DTFRDAD8F5A6F269,TRFR377E3EFABA6A,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFRE8A4A70A8433,TRFR07F00583D4EE,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFR6E876B091F85,TRFR89E62D41358A,4aCSBjQPd3TzFd90,39,39,39,0,39,SELESAI
DTFR9F31F282A049,TRFR7BCB9BA7B3D8,4aCSBjQPd3TzFd90,39,39,39,0,39,SELESAI
DTFR07C8A338A344,TRFR498BBB6401C4,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFR9931C23C0922,TRFRC668AF8BD994,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFR1C93A8960A69,TRFR27B6A6E06910,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTFRB2FFE52AC93D,TRFR5D1EBE6A6951,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFR465E934B9B14,TRFR801EF317681E,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFR21716DE980F7,TRFR222719DB65D9,4aCSBjQPd3TzFd90,36,36,36,0,36,SELESAI
DTFRAFC4CE2CC273,TRFR113A7EDF06DF,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTFRE8528EF9FD2D,TRFRA8AB6AB15471,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
