ID_DETAIL_TRANSFER_BARANG_BATCH,ID_DETAIL_TRANSFER_BARANG,ID_PESAN_BARANG,JUMLAH_PESAN_TRANSFER_BATCH_DUS,JUMLAH_KIRIM_DUS,JUMLAH_TIBA_DUS,JUMLAH_DITOLAK_DUS,JUMLAH_MASUK_DUS
DTFBE673C4B9BBDE,DTFR50F873233A20,PSBG023D4B3BADE0,40,40,40,0,40
DTFB791CDAF842A2,DTFR3A5B947A8FA6,PSBG023D4B3BADE0,37,37,37,0,37
DTFB189B6E645E4C,DTFR756AF0744B74,PSBG023D4B3BADE0,39,39,39,0,39
DTFB33681BB72EA3,DTFR0A9234F6C970,PSBG023D4B3BADE0,37,37,37,0,37
DTFB6B9685269802,DTFR873778EAED9C,PSBGB839C02078F5,40,40,40,0,40
DTFB9CE872DB39E1,DTFR5CC03EAEA3E1,PSBGB839C02078F5,37,37,37,0,37
DTFB0BC00412AD96,DTFRCC7BE0ABADC5,PSBGB839C02078F5,40,40,40,0,40
DTFB3775A96FFF7D,DTFRC1546464EF94,PSBGB839C02078F5,36,36,36,0,36
DTFB3214034AB1CB,DTFRC1546464EF94,PSBG023D4B3BADE0,1,1,1,0,1
DTFB168E7754AC76,DTFRE00AFA0397B7,PSBG4C378FAFBBD6,37,37,37,0,37
DTFBF9DBF79284BC,DTFR703F7F2CDB25,PSBG4C378FAFBBD6,38,38,38,0,38
DTFB1E7B47B9304E,DTFR80F3CBE6F1F3,PSBG4C378FAFBBD6,39,39,39,0,39
DTFB93F526E6B1FA,DTFRB09FDF8F1BD2,PSBG4C378FAFBBD6,38,38,38,0,38
DTFBC6376ED24605,DTFR828DF5997303,PSBG4C378FAFBBD6,2,2,2,0,2
DTFB7406CB1F3D7F,DTFR828DF5997303,PSBG2795DB698C66,36,36,36,0,36
DTFBC8FEBBDA2D0C,DTFRF7FDDEFEA1CD,PSBG2795DB698C66,38,38,38,0,38
DTFB38FFEC3FFF80,DTFR72858DF99D8B,PSBG2795DB698C66,38,38,38,0,38
DTFB79ABD6F7A7D6,DTFR5EEE337BE5DE,PSBG2795DB698C66,40,40,40,0,40
DTFBBC46A53E6E99,DTFR96B3E7A6556D,PSBG4C56CBB6B676,38,38,38,0,38
DTFB4076E7FA27C6,DTFREA8F51A32807,PSBG4C56CBB6B676,39,39,39,0,39
DTFB45C275D244BF,DTFR60A1F7352C51,PSBG4C56CBB6B676,38,38,38,0,38
DTFB02A52C7161D1,DTFR0205E11BBC4F,PSBG4C56CBB6B676,38,38,38,0,38
DTFB86CFC7DBFB9C,DTFRB59D3B391B02,PSBG4C56CBB6B676,1,1,1,0,1
DTFB4F63E4F4F85A,DTFRB59D3B391B02,PSBGDC6C504A39C1,38,38,38,0,38
DTFB75A63E2CDD92,DTFR71AC03409CE5,PSBGDC6C504A39C1,37,37,37,0,37
DTFBAEBD6AAB0B90,DTFR436C2DB5A8A9,PSBGDC6C504A39C1,37,37,37,0,37
DTFB5F3FDE77DC37,DTFR6C63D9D1F968,PSBGDC6C504A39C1,38,38,38,0,38
DTFB8AAE4224849C,DTFR333A863E50E8,PSBG02891F3EB0F7,37,37,37,0,37
DTFBFB6E4AA6AFBF,DTFR844EA50B4D3F,PSBG02891F3EB0F7,37,37,37,0,37
DTFB138F552E7F1F,DTFR260E6E68B146,PSBG02891F3EB0F7,37,37,37,0,37
DTFB0678816D3902,DTFR4D4847A32F2F,PSBG02891F3EB0F7,38,38,38,0,38
DTFB7B5AEB1853B3,DTFR5DA2D12A6C9D,PSBG02891F3EB0F7,2,2,2,0,2
DTFB8BC7BED5B461,DTFR5DA2D12A6C9D,PSBGDC6C504A39C1,3,3,3,0,3
DTFB2723679C90BD,DTFR5DA2D12A6C9D,PSBG023D4B3BADE0,32,32,32,0,32
DTFB8AB6D1BD6D7D,DTFR55E18C6D8FC6,PSBG30947D1B7EAA,39,39,39,0,39
DTFBF24AE0ED2128,DTFRDAD8F5A6F269,PSBG30947D1B7EAA,38,38,38,0,38
DTFB6643ACD1CC1C,DTFRE8A4A70A8433,PSBG30947D1B7EAA,38,38,38,0,38
DTFB250698233B53,DTFR6E876B091F85,PSBG30947D1B7EAA,39,39,39,0,39
DTFB701779D3021C,DTFR9F31F282A049,PSBGC3F66E338555,39,39,39,0,39
DTFB3D1F1AF0CC5D,DTFR07C8A338A344,PSBGC3F66E338555,38,38,38,0,38
DTFBBAD99C401D15,DTFR9931C23C0922,PSBGC3F66E338555,38,38,38,0,38
DTFBCC63A7A90172,DTFR1C93A8960A69,PSBGC3F66E338555,37,37,37,0,37
DTFB7D733AB90998,DTFRB2FFE52AC93D,PSBGC3F66E338555,2,2,2,0,2
DTFB10EA9B69B0FF,DTFRB2FFE52AC93D,PSBG16D5A9F65C27,36,36,36,0,36
DTFB12CA4631193D,DTFR465E934B9B14,PSBG16D5A9F65C27,38,38,38,0,38
DTFBB09CB2E70F6C,DTFR21716DE980F7,PSBG16D5A9F65C27,36,36,36,0,36
DTFBBCF7573EA1D9,DTFRAFC4CE2CC273,PSBG16D5A9F65C27,37,37,37,0,37
DTFBE12489C279C0,DTFRE8528EF9FD2D,PSBG16D5A9F65C27,5,5,5,0,5
DTFB2C97F27A159B,DTFRE8528EF9FD2D,PSBG30947D1B7EAA,32,32,32,0,32
