ID_NOTA_JUAL,ID_USERS,KD_LOKASI,WAKTU_NOTA,TOTAL_JUAL_BARANG,SUB_TOTAL_JUAL,PAJAK,GRAND_TOTAL,SUB_TOTAL_BELI,GROSS_PROFIT
NOTAF37ED2BB6085,TOKOeLig,TOKOeLig,2024-01-01 08:52:17,29,1160000,127600.0,1287600.0,468872.0,691128.0
NOTADED5C317F360,TOKOeLig,TOKOeLig,2024-01-01 14:29:11,28,1120000,123200.0,1243200.0,452704.0,667296.0
NOTA4C511B128F46,TOKOeLig,TOKOeLig,2024-01-02 09:46:46,20,800000,88000.0,888000.0,323360.0,476640.0
NOTA2865508BFA4C,TOKOeLig,TOKOeLig,2024-01-02 11:46:16,23,920000,101200.0,1021200.0,371864.0,548136.0
NOTA8F1766AFD59D,TOKOeLig,TOKOeLig,2024-01-02 19:58:53,18,720000,79200.0,799200.0,291024.0,428976.0
NOTA4E3688E1E7C7,TOKOeLig,TOKOeLig,2024-01-03 14:13:36,5,200000,22000.0,222000.0,80840.0,119160.0
NOTAA5202425A804,TOKOeLig,TOKOeLig,2024-01-03 20:29:33,15,600000,66000.0,666000.0,242520.0,357480.0
NOTAB3187C58D3A1,TOKOeLig,TOKOeLig,2024-01-04 08:18:26,28,1120000,123200.0,1243200.0,452704.0,667296.0
NOTAABC978E81B23,TOKOeLig,TOKOeLig,2024-01-04 09:21:32,7,280000,30800.0,310800.0,113176.0,166824.0
NOTA28DEBCC68B91,TOKOeLig,TOKOeLig,2024-01-04 09:48:13,22,880000,96800.0,976800.0,355696.0,524304.0
NOTAD59279212171,TOKOeLig,TOKOeLig,2024-01-04 11:33:18,21,840000,92400.0,932400.0,339528.0,500472.0
NOTA126ECE20C63A,TOKOeLig,TOKOeLig,2024-01-04 15:17:05,8,320000,35200.0,355200.0,129344.0,190656.0
NOTA897657A75781,TOKOeLig,TOKOeLig,2024-01-05 10:11:37,7,280000,30800.0,310800.0,113176.0,166824.0
NOTA651A85373096,TOKOeLig,TOKOeLig,2024-01-05 10:30:26,6,240000,26400.0,266400.0,97008.0,142992.0
NOTA55F47DA83D75,TOKOeLig,TOKOeLig,2024-01-05 14:38:38,11,440000,48400.0,488400.0,177848.0,262152.0
NOTA0190540E9198,TOKOeLig,TOKOeLig,2024-01-05 18:59:03,17,680000,74800.0,754800.0,274856.0,405144.0
NOTAB1467156069C,TOKOeLig,TOKOeLig,2024-01-06 13:29:01,30,1200000,132000.0,1332000.0,485040.0,714960.0
NOTA1657428CD8FD,TOKOeLig,TOKOeLig,2024-01-06 13:51:05,4,160000,17600.0,177600.0,64672.0,95328.0
NOTA429735E12A3C,TOKOeLig,TOKOeLig,2024-01-06 17:16:27,3,120000,13200.0,133200.0,48504.0,71496.0
