ID_PESAN_BARANG,KD_LOKASI,KD_BARANG,ID_PERHITUNGAN_KUANTITAS_POQ,KD_SUPPLIER,HARGA_PESAN_BARANG_DUS,BIAYA_PENGIRIMAAN,JUMLAH_PESAN_BARANG_DUS,JUMLAH_TIBA_DUS,JUMLAH_DITOLAK_DUS,TOTAL_MASUK_DUS,SISA_STOCK_DUS,TGL_EXPIRED,WAKTU_PESAN,WAKTU_ESTIMASI_SELESAI,WAKTU_SELESAI,STATUS
PSBG023D4B3BADE0,GDNGj825,4aCSBjQPd3TzFd90,,NGP9zHgE,404200.00,50000.00,200,200,0,200,14,2027-11-16,2023-12-28 00:00:00,2023-12-29 22:00:00,2023-12-30 00:00:00,SELESAI
PSBGB839C02078F5,GDNGj825,4aCSBjQPd3TzFd90,,NGP9zHgE,405372.00,50000.00,153,153,0,153,0,2025-07-24,2024-02-18 00:00:00,2024-02-19 22:00:00,2024-02-20 00:00:00,SELESAI
PSBG4C378FAFBBD6,GDNGj825,4aCSBjQPd3TzFd90,,NKnVD9E9,408689.00,50000.00,154,154,0,154,0,2024-12-10,2024-04-26 00:00:00,2024-04-27 22:00:00,2024-04-28 00:00:00,SELESAI
PSBG2795DB698C66,GDNGj825,4aCSBjQPd3TzFd90,,NKnVD9E9,403380.00,50000.00,152,152,0,152,0,2026-12-31,2024-07-06 00:00:00,2024-07-07 22:00:00,2024-07-08 00:00:00,SELESAI
PSBG4C56CBB6B676,GDNGj825,4aCSBjQPd3TzFd90,,NKnVD9E9,395901.00,50000.00,154,154,0,154,0,2025-08-30,2024-09-06 00:00:00,2024-09-07 22:00:00,2024-09-08 00:00:00,SELESAI
PSBGDC6C504A39C1,GDNGj825,4aCSBjQPd3TzFd90,,NGP9zHgE,400181.00,50000.00,153,153,0,153,0,2026-04-25,2024-11-13 00:00:00,2024-11-14 22:00:00,2024-11-15 00:00:00,SELESAI
PSBG02891F3EB0F7,GDNGj825,4aCSBjQPd3TzFd90,,NGP9zHgE,403364.00,50000.00,151,151,0,151,0,2026-03-04,2025-01-15 00:00:00,2025-01-16 22:00:00,2025-01-17 00:00:00,SELESAI
PSBG30947D1B7EAA,GDNGj825,4aCSBjQPd3TzFd90,,NKnVD9E9,403444.00,50000.00,186,186,0,186,0,2027-05-11,2025-04-05 00:00:00,2025-04-06 22:00:00,2025-04-07 00:00:00,SELESAI
PSBGC3F66E338555,GDNGj825,4aCSBjQPd3TzFd90,,NKnVD9E9,403844.00,50000.00,154,154,0,154,0,2025-11-09,2025-06-14 00:00:00,2025-06-15 22:00:00,2025-06-16 00:00:00,SELESAI
PSBG16D5A9F65C27,GDNGj825,4aCSBjQPd3TzFd90,,NKnVD9E9,390548.00,50000.00,152,152,0,152,0,2025-12-11,2025-08-25 00:00:00,2025-08-26 22:00:00,2025-08-27 00:00:00,SELESAI
PSBG70E376B39173,GDNGj825,4aCSBjQPd3TzFd90,,NKnVD9E9,395607.00,50000.00,186,186,0,186,186,2027-03-25,2025-11-18 00:00:00,2025-11-19 22:00:00,2025-11-20 00:00:00,SELESAI
