ID_HISTORY_STOCK,KD_BARANG,KD_LOKASI,UPDATED_BY,JUMLAH_AWAL,JUMLAH_PERUBAHAN,JUMLAH_AKHIR,TIPE_PERUBAHAN,REF,SATUAN,WAKTU_CHANGE
SKHY1560D31C1CBD,4aCSBjQPd3TzFd90,GDNGj825,GDNGj825,0,200,200,PEMESANAN,PSBG023D4B3BADE0,DUS,2023-12-30 00:00:00
SKHY71008D8AD3C7,4aCSBjQPd3TzFd90,GDNGj825,GDNGj825,200,-40,160,TRANSFER,TRFR7B92C333DF8D,DUS,2024-01-01 00:00:00
SKHYDF5F66EF9FBC,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,0,1000,1000,TRANSFER,TRFR7B92C333DF8D,PIECES,2024-01-01 00:00:00
SKHYF4394039CE5A,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,1000,-29,971,PENJUALAN,DNJB74673BB77B8C,PIECES,2024-01-01 08:52:17
SKHY21FEDB3C72AB,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,971,-28,943,PENJUALAN,DNJB123F4944DF44,PIECES,2024-01-01 14:29:11
SKHY601F1A0750CB,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,943,-20,923,PENJUALAN,DNJB70D1D9CD8E61,PIECES,2024-01-02 09:46:46
SKHY801D62D44CE1,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,923,-23,900,PENJUALAN,DNJB1FEB2E63A0B0,PIECES,2024-01-02 11:46:16
SKHY9665BA4186C4,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,900,-18,882,PENJUALAN,DNJB4967B2ACBA0E,PIECES,2024-01-02 19:58:53
SKHYDB9A4EF97E60,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,882,-15,867,PENJUALAN,DNJB0E264E76E444,PIECES,2024-01-03 20:29:33
SKHYEA28DCCC04BD,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,867,-5,862,PENJUALAN,DNJB3B7921FC49B6,PIECES,2024-01-03 14:13:36
SKHYD305A2B0654A,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,862,-22,840,PENJUALAN,DNJBE8C17CF209F7,PIECES,2024-01-04 09:48:13
SKHY4DCA8F881025,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,840,-8,832,PENJUALAN,DNJB485F795FFDB9,PIECES,2024-01-04 15:17:05
SKHY6EB70ECE1788,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,832,-21,811,PENJUALAN,DNJB9271E7D8FCA6,PIECES,2024-01-04 11:33:18
SKHYADC6B04620D9,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,811,-28,783,PENJUALAN,DNJB0075E30A9F12,PIECES,2024-01-04 08:18:26
SKHY563B65DF501D,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,783,-7,776,PENJUALAN,DNJB63C842724670,PIECES,2024-01-04 09:21:32
SKHYEDA7FC5B2976,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,776,-17,759,PENJUALAN,DNJBABACB3452C73,PIECES,2024-01-05 18:59:03
SKHY2FCD5A94F4B3,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,759,-6,753,PENJUALAN,DNJBFA98B0EC7A75,PIECES,2024-01-05 10:30:26
SKHYFADC602F76B8,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,753,-7,746,PENJUALAN,DNJB8F51398CD897,PIECES,2024-01-05 10:11:37
SKHYABC62D002A24,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,746,-11,735,PENJUALAN,DNJB1541AF312D7D,PIECES,2024-01-05 14:38:38
SKHYD0D81DF66D73,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,735,-4,731,PENJUALAN,DNJBD1AFB964A1D1,PIECES,2024-01-06 13:51:05
SKHYEEDCA1E9BDFD,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,731,-3,728,PENJUALAN,DNJBFE5446EBC271,PIECES,2024-01-06 17:16:27
SKHY21A66EBACA49,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,728,-30,698,PENJUALAN,DNJBECFFF67D9396,PIECES,2024-01-06 13:29:01
SKHYA8C91B8B8495,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,698,-22,676,PENJUALAN,DNJB078F2680D819,PIECES,2024-01-07 10:58:31
SKHYD8BEC3823C2E,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,676,-3,673,PENJUALAN,DNJBE2A2EF21B231,PIECES,2024-01-07 13:09:09
SKHYC6777955B45D,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,673,-9,664,PENJUALAN,DNJB07AAF5A738A3,PIECES,2024-01-07 20:17:38
SKHY3F8CC5F72F02,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,664,-24,640,PENJUALAN,DNJB49CE65CEFDB0,PIECES,2024-01-07 11:49:27
SKHYB88FDD0C1837,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,640,-7,633,PENJUALAN,DNJB44B80AD8B371,PIECES,2024-01-08 20:41:58
SKHYD7400FBAADE6,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,633,-5,628,PENJUALAN,DNJB0CECE2E4AEC2,PIECES,2024-01-08 10:35:55
SKHYD898B1CF11C9,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,628,-22,606,PENJUALAN,DNJBEC5CC5F8E098,PIECES,2024-01-08 13:10:55
SKHY4CB152555986,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,606,-6,600,PENJUALAN,DNJB28596E72F446,PIECES,2024-01-09 20:26:10
SKHYE07C458D846E,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,600,-5,595,PENJUALAN,DNJBF2347C0DF37D,PIECES,2024-01-09 18:35:06
SKHY707C745DDA9B,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,595,-27,568,PENJUALAN,DNJBB4F8132191FB,PIECES,2024-01-10 14:37:47
SKHY7EF02410EE3B,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,568,-22,546,PENJUALAN,DNJB3477647C2D11,PIECES,2024-01-10 09:19:25
SKHYF4B7A077A406,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,546,-27,519,PENJUALAN,DNJB33A4A2F1DE71,PIECES,2024-01-10 08:06:12
SKHYF359BCB225FA,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,519,-5,514,PENJUALAN,DNJB1526931084CD,PIECES,2024-01-11 18:34:14
SKHY3A60AFB7730E,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,514,-11,503,PENJUALAN,DNJBDEDAAF8EB35D,PIECES,2024-01-11 19:55:56
SKHY84635DF80736,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,503,-13,490,PENJUALAN,DNJB9A03BDF4DBD1,PIECES,2024-01-11 14:54:06
SKHY76E6E2E95AD9,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,490,-15,475,PENJUALAN,DNJB8DFEBE3E0685,PIECES,2024-01-11 11:05:53
SKHY01D3AA39972B,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,475,-10,465,PENJUALAN,DNJB956D370BE25A,PIECES,2024-01-12 12:42:51
SKHY50FA2AD0D7BA,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,465,-8,457,PENJUALAN,DNJBBA5699063B92,PIECES,2024-01-12 12:37:13
SKHYAFF347AFE16D,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,457,-14,443,PENJUALAN,DNJB555E3FCC0332,PIECES,2024-01-13 20:40:11
SKHYFD70252140E6,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,443,-25,418,PENJUALAN,DNJB30C7163888FB,PIECES,2024-01-13 08:44:19
SKHYFB98997E2E3D,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,418,-9,409,PENJUALAN,DNJB6D24078A34D4,PIECES,2024-01-13 10:13:32
SKHY3B4F336463AF,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,409,-30,379,PENJUALAN,DNJB71548CAF0526,PIECES,2024-01-13 08:38:59
SKHY7CF9AA27D19E,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,379,-13,366,PENJUALAN,DNJB3978C626FA7F,PIECES,2024-01-13 13:50:42
SKHY31DCFCAB58B1,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,366,-23,343,PENJUALAN,DNJB554A70D3FEE5,PIECES,2024-01-14 13:26:42
SKHY2DB344308310,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,343,-5,338,PENJUALAN,DNJB40EEC7A1C72B,PIECES,2024-01-14 08:22:38
SKHYD0919D486B6B,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,338,-16,322,PENJUALAN,DNJB2C585268F492,PIECES,2024-01-15 17:45:40
SKHY5DC6B63CB1B6,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,322,-15,307,PENJUALAN,DNJB7ABD66CD7024,PIECES,2024-01-15 18:43:26
