ID_TRANSFER_BARANG,ID_USERS_PENGIRIM,ID_USERS_PENERIMA,KD_LOKASI_ASAL,KD_LOKASI_TUJUAN,WAKTU_PESAN_TRANSFER,WAKTU_KIRIM_TRANSFER,WAKTU_SELESAI_TRANSFER,STATUS
TRFR7B92C333DF8D,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2023-12-31 22:00:00,2023-12-31 23:00:00,2024-01-01 00:00:00,SELESAI
TRFR12863BDBBAE4,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-18 22:00:00,2024-01-18 23:00:00,2024-01-19 00:00:00,SELESAI
TRFR5DF1932FC752,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-02-03 22:00:00,2024-02-03 23:00:00,2024-02-04 00:00:00,SELESAI
TRFR75C6ECB0631D,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-02-20 22:00:00,2024-02-20 23:00:00,2024-02-21 00:00:00,SELESAI
TRFR2CBA3EAC381F,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-03-07 22:00:00,2024-03-07 23:00:00,2024-03-08 00:00:00,SELESAI
TRFR40E7C5A77980,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-03-24 22:00:00,2024-03-24 23:00:00,2024-03-25 00:00:00,SELESAI
TRFRBB955E4FD0B1,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-04-09 22:00:00,2024-04-09 23:00:00,2024-04-10 00:00:00,SELESAI
TRFR4E58B05099E0,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-04-28 22:00:00,2024-04-28 23:00:00,2024-04-29 00:00:00,SELESAI
TRFR5D882A214FBA,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-05-14 22:00:00,2024-05-14 23:00:00,2024-05-15 00:00:00,SELESAI
TRFRAFCF17A40C18,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-05-31 22:00:00,2024-05-31 23:00:00,2024-06-01 00:00:00,SELESAI
TRFREA9E77C8CF66,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-06-19 22:00:00,2024-06-19 23:00:00,2024-06-20 00:00:00,SELESAI
