ID_DNJB,KD_BARANG,ID_NOTA_JUAL,JUMLAH_JUAL_BARANG,HARGA_JUAL_BARANG,TOTAL_JUAL_UANG,HARGA_BELI_BARANG,TOTAL_BELI_UANG
DNJB509646F6B9E1,W8r1LuGwd932W3Zq,NOTA5DC8BD9B18A4,15,33000,495000,29008.7,435130.5
DNJB7D17A66DDF80,W8r1LuGwd932W3Zq,NOTA519F18228B53,25,33000,825000,29008.7,725217.5
DNJBE8878803B618,W8r1LuGwd932W3Zq,NOTADA4070E67F88,26,33000,858000,29008.7,754226.2000000001
DNJB6BABA4613E9E,W8r1LuGwd932W3Zq,NOTA3E0AEB119091,10,33000,330000,29008.7,290087.0
DNJBE7F9C95432B9,W8r1LuGwd932W3Zq,NOTA4D22A26519DC,27,33000,891000,29008.7,783234.9
DNJB2CA9471779E9,W8r1LuGwd932W3Zq,NOTAE1B2F4FFDF44,15,33000,495000,29008.7,435130.5
DNJB62357BE35015,W8r1LuGwd932W3Zq,NOTAC15C43E72951,23,33000,759000,29008.7,667200.1
DNJB86224E10A4EA,W8r1LuGwd932W3Zq,NOTA489A9867A09F,3,33000,99000,29008.7,87026.1
DNJBF9699510E2AF,W8r1LuGwd932W3Zq,NOTA4E57D95E0125,8,33000,264000,29008.7,232069.6
DNJB4C371DB5CE87,W8r1LuGwd932W3Zq,NOTA69F3C30E813E,23,33000,759000,29008.7,667200.1
DNJBFDA92933F529,W8r1LuGwd932W3Zq,NOTAC9B9D47C1FFE,29,33000,957000,29008.7,841252.3
DNJBDE75524FBC0D,W8r1LuGwd932W3Zq,NOTAF76E7E141ED2,4,33000,132000,29008.7,116034.8
DNJBB41CF7561842,W8r1LuGwd932W3Zq,NOTACB8263905602,2,33000,66000,29008.7,58017.4
DNJBDD397B1C138F,W8r1LuGwd932W3Zq,NOTA847151985F5B,5,33000,165000,29008.7,145043.5
DNJB617342AFF8EA,W8r1LuGwd932W3Zq,NOTA1B90A3270577,28,33000,924000,29008.7,812243.6
DNJB89DB34917EF5,W8r1LuGwd932W3Zq,NOTA5BF6E455E9FE,10,33000,330000,29008.7,290087.0
DNJB49BE376C967F,W8r1LuGwd932W3Zq,NOTA989EEAE17920,22,33000,726000,29008.7,638191.4
DNJB926F416A8C3F,W8r1LuGwd932W3Zq,NOTAAD8C77A3B799,19,33000,627000,29008.7,551165.3
DNJB47A098C9F34D,W8r1LuGwd932W3Zq,NOTAEA55975A6C6B,7,33000,231000,29008.7,203060.9
DNJB67A0DD4F75F3,W8r1LuGwd932W3Zq,NOTA29A6B35A3AFE,7,33000,231000,29008.7,203060.9
DNJBEE3F8870CCAE,W8r1LuGwd932W3Zq,NOTA6F2FD4B1A6A5,13,33000,429000,29008.7,377113.10000000003
DNJBAE3671F93F73,W8r1LuGwd932W3Zq,NOTA118D03E22AD8,25,33000,825000,29008.7,725217.5
DNJB5775E8D74D78,W8r1LuGwd932W3Zq,NOTA20FE615A4938,7,33000,231000,29008.7,203060.9
DNJB89E9813A503E,W8r1LuGwd932W3Zq,NOTA7E7E91E6B5B3,11,33000,363000,29008.7,319095.7
DNJB85910E459B0E,W8r1LuGwd932W3Zq,NOTA1C9EB4B7144C,11,33000,363000,29008.7,319095.7
DNJB70800A3EC3C0,W8r1LuGwd932W3Zq,NOTADC7077B625D2,8,33000,264000,29008.7,232069.6
DNJBE86BA89C2DF5,W8r1LuGwd932W3Zq,NOTA70E254CC7B9F,9,33000,297000,29008.7,261078.30000000002
DNJB56DD237F9661,W8r1LuGwd932W3Zq,NOTAE0D5EA149A19,14,33000,462000,29008.7,406121.8
DNJB0DE4ECEF9A7F,W8r1LuGwd932W3Zq,NOTA43745116F9F0,9,33000,297000,29008.7,261078.30000000002
DNJBA542531F51E7,W8r1LuGwd932W3Zq,NOTA49D370258241,26,33000,858000,29008.7,754226.2000000001
DNJB35CCD0E21F65,W8r1LuGwd932W3Zq,NOTAC8142A0DAFE0,1,33000,33000,29008.7,29008.7
DNJB6329DC67BC5D,W8r1LuGwd932W3Zq,NOTA8DCCD1F474DA,30,33000,990000,29008.7,870261.0
DNJB02BD76C11880,W8r1LuGwd932W3Zq,NOTA76071AAACC4A,4,33000,132000,29008.7,116034.8
DNJB791A8E5CBB14,W8r1LuGwd932W3Zq,NOTA6A73D3D3A533,14,33000,462000,29008.7,406121.8
DNJBC713D2BA9A31,W8r1LuGwd932W3Zq,NOTA146DA4A3C41A,30,33000,990000,29008.7,870261.0
DNJB862BEB188769,W8r1LuGwd932W3Zq,NOTAB066736C5752,18,33000,594000,29008.7,522156.60000000003
DNJB143E6DB7D5D8,W8r1LuGwd932W3Zq,NOTAD5BE2F8B0D29,16,33000,528000,29008.7,464139.2
DNJB6537288CBE04,W8r1LuGwd932W3Zq,NOTA49242204D69E,22,33000,726000,29008.7,638191.4
