ID_DETAIL_TRANSFER_BARANG,ID_TRANSFER_BARANG,KD_BARANG,TOTAL_PESAN_TRANSFER_DUS,TOTAL_KIRIM_DUS,TOTAL_TIBA_DUS,TOTAL_DITOLAK_DUS,TOTAL_MASUK_DUS,STATUS
DTFR1A26A35E3214,TRFRB2DC465370EC,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR7DB4B3304096,TRFRFCC079B5291F,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR412447A5E216,TRFRCD7F87FF1699,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRC2B3C88FF169,TRFR90A439841886,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR62408620DEC4,TRFRCFA973B935C1,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR4509A386397F,TRFR38022131CD44,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR557FD0E432DE,TRFR40566E1C8B13,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR96A895332B37,TRFR061898D02494,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR1D08AAEB4B35,TRFR3FFCADB34E0F,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR64EF44B00665,TRFR9224F3426BDA,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR9D567FB394B0,TRFR9AEF034C42DC,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR410C911FF62A,TRFR5290E6108986,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR359ED21158A3,TRFREC2F08B1129D,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRB6C95127991F,TRFR9EE9A674828D,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR00C087C5827E,TRFRC52D45DB9034,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR7040C641DC8E,TRFR098024E04368,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRDF48B73BF1AD,TRFR455668C8517B,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR3A9ECEEB9B7E,TRFR10EC4CA71ADE,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRFE8D7BB53261,TRFR7AE184901F70,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRFE2370EAE1EB,TRFRA78C92300A46,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRCE06A0AA5B99,TRFR161E71BB6F53,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR6F90FC69B641,TRFRFFD8975EFD1E,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR8B9C09771EA6,TRFR1AE80A68A85B,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR9C653DC3DDAD,TRFRA83AA6AC5075,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRD1C0E30A4862,TRFR32D1D268ED15,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR50F90199FFE8,TRFRFD52EAB5C2D4,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR561A5A8FB855,TRFRC9F3B921A064,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRA71CD89D93F6,TRFR9906A120FCC6,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR13ADB4C37EB3,TRFR420A85C4CD4E,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR783FFF5FD167,TRFR35E962D6DE70,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRD343FA015B4B,TRFR82C2E532DF6E,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRFB2555B40D84,TRFR78883715773A,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR908FA74A81AF,TRFR733248F5BB7A,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR87833DC67B64,TRFR40985DF3F4AD,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRDFE9A50D1A10,TRFR85DF106C4458,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR6335E198A8A9,TRFR398408908B83,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRC29F7FB31E3D,TRFR43E241EC1D83,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRC76071D318D4,TRFRDBF6650E1B22,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR14E1E82C4CB7,TRFRE7BC2D278903,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR6B65B68615DD,TRFRD3291C639C1E,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR8D88233A698D,TRFR1727D0458EB0,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR0E8CD3444125,TRFR7A62DE83CC3A,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR95646BC91E2E,TRFR31ADB202722E,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFRB9C314DD2BF1,TRFR0F8371A4D68D,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR62468726FACC,TRFR59875855C032,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR1D34B3B3EBC9,TRFRB5CF77554980,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRA1E7A9B4593C,TRFRDF1B06A9D0A8,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRADA2AC003937,TRFR8ED8A5D03B08,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFRF78FF24A79BF,TRFRF22A5300C787,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRF475CE9D6BEC,TRFR694348C74316,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR00ABD371A17C,TRFR1AA5079BD8E7,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR75CEA26D1E02,TRFR62AB33A32A82,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR962D552D0E01,TRFR065A93CB259F,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR0B44BE0A660E,TRFR5F344EAEFAC5,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRA3BC9CBA750C,TRFRDCFD25A54AF6,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRCF65BFA9A394,TRFR06B67EAF7E1E,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFRE29753226E1A,TRFRC514184890EE,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFR56CA2AA949A8,TRFRD661831B61D7,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
DTFR20B48BA59C9A,TRFR9B115898FACC,W8r1LuGwd932W3Zq,21,21,21,0,21,SELESAI
