ID_DETAIL_TRANSFER_BARANG_BATCH,ID_DETAIL_TRANSFER_BARANG,ID_PESAN_BARANG,JUMLAH_PESAN_TRANSFER_BATCH_DUS,JUMLAH_KIRIM_DUS,JUMLAH_TIBA_DUS,JUMLAH_DITOLAK_DUS,JUMLAH_MASUK_DUS
DTFBD7C341A4340A,DTFR1A26A35E3214,PSBG5CB43758B255,21,21,21,0,21
DTFBAD9F663F8886,DTFR7DB4B3304096,PSBG5CB43758B255,21,21,21,0,21
DTFBC7B72B91504F,DTFR412447A5E216,PSBG5CB43758B255,21,21,21,0,21
DTFB1D64770917B7,DTFRC2B3C88FF169,PSBG5CB43758B255,21,21,21,0,21
DTFBD0C6152CAA84,DTFR62408620DEC4,PSBG5CB43758B255,21,21,21,0,21
DTFB321196AF4017,DTFR4509A386397F,PSBG5CB43758B255,5,5,5,0,5
DTFB815E42958753,DTFR4509A386397F,PSBG3C3A9DCDB1AB,16,16,16,0,16
DTFBEB1E857FA4CC,DTFR557FD0E432DE,PSBG3C3A9DCDB1AB,21,21,21,0,21
DTFBFEE25D03776A,DTFR96A895332B37,PSBG3C3A9DCDB1AB,21,21,21,0,21
DTFBA2694E3CC465,DTFR1D08AAEB4B35,PSBG3C3A9DCDB1AB,21,21,21,0,21
DTFBCC417BD4F031,DTFR64EF44B00665,PSBG3C3A9DCDB1AB,21,21,21,0,21
DTFB43700F01C9A0,DTFR9D567FB394B0,PSBG3C3A9DCDB1AB,5,5,5,0,5
DTFBFE35765C50E2,DTFR9D567FB394B0,PSBG6669C143560B,16,16,16,0,16
DTFBE5241A30BC25,DTFR410C911FF62A,PSBG6669C143560B,21,21,21,0,21
DTFB96F8F3E72CBD,DTFR359ED21158A3,PSBG6669C143560B,21,21,21,0,21
DTFB41945930ED03,DTFRB6C95127991F,PSBG6669C143560B,21,21,21,0,21
DTFB1D6541D171DA,DTFR00C087C5827E,PSBG6669C143560B,21,21,21,0,21
DTFB6848675358E3,DTFR7040C641DC8E,PSBG6669C143560B,5,5,5,0,5
DTFB3337DC9E7D16,DTFR7040C641DC8E,PSBGD1F221511028,16,16,16,0,16
DTFB0218A85CD079,DTFRDF48B73BF1AD,PSBGD1F221511028,21,21,21,0,21
DTFBB3A0274E6531,DTFR3A9ECEEB9B7E,PSBGD1F221511028,21,21,21,0,21
DTFB5DCC5BDA8956,DTFRFE8D7BB53261,PSBGD1F221511028,21,21,21,0,21
DTFB6D109035922B,DTFRFE2370EAE1EB,PSBGD1F221511028,21,21,21,0,21
DTFB7F42EB24AA32,DTFRCE06A0AA5B99,PSBGDE22F34DE149,21,21,21,0,21
DTFBE038FA101EE9,DTFR6F90FC69B641,PSBGDE22F34DE149,21,21,21,0,21
DTFBFDE679862CB3,DTFR8B9C09771EA6,PSBGDE22F34DE149,21,21,21,0,21
DTFB008E24890F7C,DTFR9C653DC3DDAD,PSBGDE22F34DE149,21,21,21,0,21
DTFBDA7C6A6C7221,DTFRD1C0E30A4862,PSBGDE22F34DE149,21,21,21,0,21
DTFB5BDD3B8CB829,DTFR50F90199FFE8,PSBG7FC018C91F93,21,21,21,0,21
DTFB6E588B3540D0,DTFR561A5A8FB855,PSBG7FC018C91F93,21,21,21,0,21
DTFB8E8E0A997EB2,DTFRA71CD89D93F6,PSBG7FC018C91F93,21,21,21,0,21
DTFB3D327E5E985B,DTFR13ADB4C37EB3,PSBG7FC018C91F93,21,21,21,0,21
DTFB654F784479F2,DTFR783FFF5FD167,PSBG7FC018C91F93,21,21,21,0,21
DTFBA6ED8798AF6F,DTFRD343FA015B4B,PSBG807523F1363F,21,21,21,0,21
DTFBE42B4A795FEE,DTFRFB2555B40D84,PSBG807523F1363F,21,21,21,0,21
DTFB4E72203DF814,DTFR908FA74A81AF,PSBG807523F1363F,21,21,21,0,21
DTFB879EECBE9CAA,DTFR87833DC67B64,PSBG807523F1363F,21,21,21,0,21
DTFBCF4728E18FA0,DTFRDFE9A50D1A10,PSBG807523F1363F,21,21,21,0,21
DTFBB58D8265D2F3,DTFR6335E198A8A9,PSBG112AC1BE68AC,21,21,21,0,21
DTFBCF0B2B74B4BA,DTFRC29F7FB31E3D,PSBG112AC1BE68AC,21,21,21,0,21
DTFB250E789A48DF,DTFRC76071D318D4,PSBG112AC1BE68AC,21,21,21,0,21
DTFB13BB15247780,DTFR14E1E82C4CB7,PSBG112AC1BE68AC,21,21,21,0,21
DTFB76FF6DD60872,DTFR6B65B68615DD,PSBG112AC1BE68AC,21,21,21,0,21
DTFB3FC13B21DBD1,DTFR8D88233A698D,PSBGFA4C97B4DCAE,21,21,21,0,21
DTFBA9484C7A4E12,DTFR0E8CD3444125,PSBGFA4C97B4DCAE,21,21,21,0,21
DTFBB1C8D2D42716,DTFR95646BC91E2E,PSBGFA4C97B4DCAE,20,20,20,0,20
DTFB352B7BF9F02D,DTFRB9C314DD2BF1,PSBGFA4C97B4DCAE,21,21,21,0,21
DTFBEAE229FA9E6A,DTFR62468726FACC,PSBGFA4C97B4DCAE,21,21,21,0,21
DTFB9C43D5ABDE00,DTFR1D34B3B3EBC9,PSBGB24E17018F68,21,21,21,0,21
DTFB40A74A485B08,DTFRA1E7A9B4593C,PSBGB24E17018F68,21,21,21,0,21
DTFBEE9FA62BD8C7,DTFRADA2AC003937,PSBGB24E17018F68,20,20,20,0,20
DTFBA7B8F0B91632,DTFRF78FF24A79BF,PSBGB24E17018F68,21,21,21,0,21
DTFB7565FBBD864D,DTFRF475CE9D6BEC,PSBGB24E17018F68,21,21,21,0,21
