ID_NOTA_JUAL,ID_USERS,KD_LOKASI,WAKTU_NOTA,TOTAL_JUAL_BARANG,SUB_TOTAL_JUAL,PAJAK,GRAND_TOTAL,SUB_TOTAL_BELI,GROSS_PROFIT
NOTA519F18228B53,TOKOeLig,TOKOeLig,2024-01-01 13:41:48,25,825000,90750.0,915750.0,725217.5,99782.5
NOTA5DC8BD9B18A4,TOKOeLig,TOKOeLig,2024-01-01 14:22:53,15,495000,54450.0,549450.0,435130.5,59869.5
NOTA3E0AEB119091,TOKOeLig,TOKOeLig,2024-01-01 14:43:34,10,330000,36300.0,366300.0,290087.0,39913.0
NOTADA4070E67F88,TOKOeLig,TOKOeLig,2024-01-01 16:20:59,26,858000,94380.0,952380.0,754226.2000000001,103773.79999999993
NOTA4D22A26519DC,TOKOeLig,TOKOeLig,2024-01-01 19:13:46,27,891000,98010.0,989010.0,783234.9,107765.09999999998
NOTAC15C43E72951,TOKOeLig,TOKOeLig,2024-01-02 11:26:38,23,759000,83490.0,842490.0,667200.1,91799.90000000002
NOTAE1B2F4FFDF44,TOKOeLig,TOKOeLig,2024-01-02 16:51:53,15,495000,54450.0,549450.0,435130.5,59869.5
NOTA4E57D95E0125,TOKOeLig,TOKOeLig,2024-01-03 13:40:58,8,264000,29040.0,293040.0,232069.6,31930.399999999994
NOTA489A9867A09F,TOKOeLig,TOKOeLig,2024-01-03 15:00:04,3,99000,10890.0,109890.0,87026.1,11973.899999999994
NOTA69F3C30E813E,TOKOeLig,TOKOeLig,2024-01-03 16:32:53,23,759000,83490.0,842490.0,667200.1,91799.90000000002
NOTAF76E7E141ED2,TOKOeLig,TOKOeLig,2024-01-04 08:34:14,4,132000,14520.0,146520.0,116034.8,15965.199999999997
NOTAC9B9D47C1FFE,TOKOeLig,TOKOeLig,2024-01-04 12:22:39,29,957000,105270.0,1062270.0,841252.3,115747.69999999995
NOTACB8263905602,TOKOeLig,TOKOeLig,2024-01-04 13:33:13,2,66000,7260.0,73260.0,58017.4,7982.5999999999985
NOTA1B90A3270577,TOKOeLig,TOKOeLig,2024-01-05 11:25:39,28,924000,101640.0,1025640.0,812243.6,111756.40000000002
NOTA847151985F5B,TOKOeLig,TOKOeLig,2024-01-05 17:54:24,5,165000,18150.0,183150.0,145043.5,19956.5
NOTA5BF6E455E9FE,TOKOeLig,TOKOeLig,2024-01-06 11:34:40,10,330000,36300.0,366300.0,290087.0,39913.0
NOTAAD8C77A3B799,TOKOeLig,TOKOeLig,2024-01-06 18:19:13,19,627000,68970.0,695970.0,551165.3,75834.69999999995
NOTA989EEAE17920,TOKOeLig,TOKOeLig,2024-01-06 19:41:50,22,726000,79860.0,805860.0,638191.4,87808.59999999998
NOTA29A6B35A3AFE,TOKOeLig,TOKOeLig,2024-01-07 14:42:54,7,231000,25410.0,256410.0,203060.9,27939.100000000006
NOTA6F2FD4B1A6A5,TOKOeLig,TOKOeLig,2024-01-07 17:10:12,13,429000,47190.0,476190.0,377113.10000000003,51886.899999999965
NOTAEA55975A6C6B,TOKOeLig,TOKOeLig,2024-01-07 17:55:15,7,231000,25410.0,256410.0,203060.9,27939.100000000006
NOTADC7077B625D2,TOKOeLig,TOKOeLig,2024-01-08 08:25:59,8,264000,29040.0,293040.0,232069.6,31930.399999999994
NOTA118D03E22AD8,TOKOeLig,TOKOeLig,2024-01-08 08:36:13,25,825000,90750.0,915750.0,725217.5,99782.5
NOTA7E7E91E6B5B3,TOKOeLig,TOKOeLig,2024-01-08 12:19:32,11,363000,39930.0,402930.0,319095.7,43904.29999999999
NOTA20FE615A4938,TOKOeLig,TOKOeLig,2024-01-08 18:05:09,7,231000,25410.0,256410.0,203060.9,27939.100000000006
NOTA1C9EB4B7144C,TOKOeLig,TOKOeLig,2024-01-08 18:46:18,11,363000,39930.0,402930.0,319095.7,43904.29999999999
NOTAE0D5EA149A19,TOKOeLig,TOKOeLig,2024-01-09 15:00:22,14,462000,50820.0,512820.0,406121.8,55878.20000000001
NOTA43745116F9F0,TOKOeLig,TOKOeLig,2024-01-09 17:35:43,9,297000,32670.0,329670.0,261078.30000000002,35921.69999999998
NOTA70E254CC7B9F,TOKOeLig,TOKOeLig,2024-01-09 19:48:10,9,297000,32670.0,329670.0,261078.30000000002,35921.69999999998
NOTA8DCCD1F474DA,TOKOeLig,TOKOeLig,2024-01-10 12:20:11,30,990000,108900.0,1098900.0,870261.0,119739.0
NOTA49D370258241,TOKOeLig,TOKOeLig,2024-01-10 16:53:03,26,858000,94380.0,952380.0,754226.2000000001,103773.79999999993
NOTAC8142A0DAFE0,TOKOeLig,TOKOeLig,2024-01-10 17:36:41,1,33000,3630.0,36630.0,29008.7,3991.2999999999993
NOTA76071AAACC4A,TOKOeLig,TOKOeLig,2024-01-11 10:42:18,4,132000,14520.0,146520.0,116034.8,15965.199999999997
NOTAD5BE2F8B0D29,TOKOeLig,TOKOeLig,2024-01-11 14:52:10,16,528000,58080.0,586080.0,464139.2,63860.79999999999
NOTA6A73D3D3A533,TOKOeLig,TOKOeLig,2024-01-11 15:43:37,14,462000,50820.0,512820.0,406121.8,55878.20000000001
NOTA146DA4A3C41A,TOKOeLig,TOKOeLig,2024-01-11 19:42:45,30,990000,108900.0,1098900.0,870261.0,119739.0
NOTAB066736C5752,TOKOeLig,TOKOeLig,2024-01-11 20:40:48,18,594000,65340.0,659340.0,522156.60000000003,71843.39999999997
NOTA05DFB6D90A67,TOKOeLig,TOKOeLig,2024-01-12 09:14:31,16,528000,58080.0,586080.0,464139.2,63860.79999999999
NOTAE8BE0F32F01D,TOKOeLig,TOKOeLig,2024-01-12 13:54:28,22,726000,79860.0,805860.0,638191.4,87808.59999999998
NOTA384A7F222A3F,TOKOeLig,TOKOeLig,2024-01-12 18:13:08,16,528000,58080.0,586080.0,464139.2,63860.79999999999
NOTA49242204D69E,TOKOeLig,TOKOeLig,2024-01-12 20:38:37,22,726000,79860.0,805860.0,638191.4,87808.59999999998
NOTA7A50CFA37FD4,TOKOeLig,TOKOeLig,2024-01-13 11:27:25,19,627000,68970.0,695970.0,551165.3,75834.69999999995
NOTA571226BF69DA,TOKOeLig,TOKOeLig,2024-01-13 15:11:08,23,759000,83490.0,842490.0,667200.1,91799.90000000002
NOTAF3AF7500D817,TOKOeLig,TOKOeLig,2024-01-13 19:37:22,19,627000,68970.0,695970.0,551165.3,75834.69999999995
NOTAB78A58FCBD4B,TOKOeLig,TOKOeLig,2024-01-14 13:25:23,27,891000,98010.0,989010.0,783234.9,107765.09999999998
NOTA823A3ADB30DF,TOKOeLig,TOKOeLig,2024-01-14 18:02:23,16,528000,58080.0,586080.0,464139.2,63860.79999999999
NOTA92677DB87879,TOKOeLig,TOKOeLig,2024-01-15 13:06:04,30,990000,108900.0,1098900.0,870261.0,119739.0
NOTAF798BB7C29C4,TOKOeLig,TOKOeLig,2024-01-15 13:58:46,9,297000,32670.0,329670.0,261078.30000000002,35921.69999999998
NOTA5FEEA8FEBB8C,TOKOeLig,TOKOeLig,2024-01-15 17:46:20,2,66000,7260.0,73260.0,58017.4,7982.5999999999985
NOTA8B862D93C72D,TOKOeLig,TOKOeLig,2024-01-15 18:45:06,17,561000,61710.0,622710.0,493147.9,67852.09999999998
NOTA49B28602C93E,TOKOeLig,TOKOeLig,2024-01-16 09:44:57,25,825000,90750.0,915750.0,725217.5,99782.5
NOTAC5AFBEFCEBAD,TOKOeLig,TOKOeLig,2024-01-16 12:44:45,11,363000,39930.0,402930.0,319095.7,43904.29999999999
NOTA30F1301DA780,TOKOeLig,TOKOeLig,2024-01-16 20:35:33,10,330000,36300.0,366300.0,290087.0,39913.0
NOTAE294E60230BD,TOKOeLig,TOKOeLig,2024-01-17 11:56:49,16,528000,58080.0,586080.0,464139.2,63860.79999999999
NOTA2878FA5FD507,TOKOeLig,TOKOeLig,2024-01-17 14:54:18,9,297000,32670.0,329670.0,261078.30000000002,35921.69999999998
NOTAB13DB241C47D,TOKOeLig,TOKOeLig,2024-01-18 15:25:28,16,528000,58080.0,586080.0,470237.20930232556,57762.79069767444
NOTA9A9DA631132D,TOKOeLig,TOKOeLig,2024-01-18 18:22:03,28,924000,101640.0,1025640.0,822915.1162790697,101084.88372093032
NOTAD488BD6698CB,TOKOeLig,TOKOeLig,2024-01-18 18:46:51,18,594000,65340.0,659340.0,529016.8604651162,64983.13953488378
NOTA80610F628060,TOKOeLig,TOKOeLig,2024-01-18 20:44:38,10,330000,36300.0,366300.0,293898.25581395347,36101.74418604653
NOTA2538578AEB71,TOKOeLig,TOKOeLig,2024-01-19 10:41:45,3,99000,10890.0,109890.0,88169.47674418605,10830.523255813954
NOTA3524893B1AC5,TOKOeLig,TOKOeLig,2024-01-19 10:48:06,26,858000,94380.0,952380.0,764135.4651162791,93864.53488372092
NOTA54400CF175CA,TOKOeLig,TOKOeLig,2024-01-19 11:24:27,1,33000,3630.0,36630.0,29389.825581395347,3610.1744186046526
NOTA7AE87ADF0475,TOKOeLig,TOKOeLig,2024-01-19 12:48:49,1,33000,3630.0,36630.0,29389.825581395347,3610.1744186046526
NOTA8E1035F44019,TOKOeLig,TOKOeLig,2024-01-19 14:56:25,23,759000,83490.0,842490.0,675965.988372093,83034.01162790705
NOTA194E09B49BD5,TOKOeLig,TOKOeLig,2024-01-20 09:26:35,29,957000,105270.0,1062270.0,852304.9418604651,104695.0581395349
NOTA6899E955C101,TOKOeLig,TOKOeLig,2024-01-20 15:47:27,6,198000,21780.0,219780.0,176338.9534883721,21661.04651162791
