ID_PESAN_BARANG,KD_LOKASI,KD_BARANG,ID_PERHITUNGAN_KUANTITAS_POQ,KD_SUPPLIER,HARGA_PESAN_BARANG_DUS,BIAYA_PENGIRIMAAN,JUMLAH_PESAN_BARANG_DUS,JUMLAH_TIBA_DUS,JUMLAH_DITOLAK_DUS,TOTAL_MASUK_DUS,SISA_STOCK_DUS,TGL_EXPIRED,WAKTU_PESAN,WAKTU_ESTIMASI_SELESAI,WAKTU_SELESAI,STATUS
PSBG5CB43758B255,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,290087.00,50000.00,110,110,0,110,0,2024-07-27,2023-12-28 00:00:00,2023-12-29 22:00:00,2023-12-30 00:00:00,SELESAI
PSBG3C3A9DCDB1AB,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,297891.00,50000.00,105,105,0,105,0,2026-12-11,2024-01-14 00:00:00,2024-01-15 22:00:00,2024-01-16 00:00:00,SELESAI
PSBG6669C143560B,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,290661.00,50000.00,105,105,0,105,0,2027-01-16,2024-02-06 00:00:00,2024-02-07 22:00:00,2024-02-08 00:00:00,SELESAI
PSBGD1F221511028,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,293665.00,50000.00,105,105,0,105,0,2027-03-06,2024-02-27 00:00:00,2024-02-28 22:00:00,2024-02-29 00:00:00,SELESAI
PSBGDE22F34DE149,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,302227.00,50000.00,105,105,0,105,0,2025-07-30,2024-03-20 00:00:00,2024-03-21 22:00:00,2024-03-22 00:00:00,SELESAI
PSBG7FC018C91F93,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,298737.00,50000.00,105,105,0,105,0,2025-04-12,2024-04-12 00:00:00,2024-04-13 22:00:00,2024-04-14 00:00:00,SELESAI
PSBG807523F1363F,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,306175.00,50000.00,105,105,0,105,0,2025-06-10,2024-05-07 00:00:00,2024-05-08 22:00:00,2024-05-09 00:00:00,SELESAI
PSBG112AC1BE68AC,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,295304.00,50000.00,105,105,0,105,0,2026-03-03,2024-05-29 00:00:00,2024-05-30 22:00:00,2024-05-31 00:00:00,SELESAI
PSBGFA4C97B4DCAE,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,306568.00,50000.00,105,105,0,105,0,2026-08-09,2024-06-21 00:00:00,2024-06-22 22:00:00,2024-06-23 00:00:00,SELESAI
PSBGB24E17018F68,GDNGj825,W8r1LuGwd932W3Zq,,NGP9zHgE,306095.00,50000.00,104,104,0,104,0,2025-03-24,2024-07-12 00:00:00,2024-07-13 22:00:00,2024-07-14 00:00:00,SELESAI
PSBG28E13CC5DA40,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,293382.00,50000.00,104,104,0,104,0,2024-08-22,2024-08-02 00:00:00,2024-08-03 22:00:00,2024-08-04 00:00:00,SELESAI
PSBG1E7A66421DB5,GDNGj825,W8r1LuGwd932W3Zq,,NKnVD9E9,297608.00,50000.00,105,105,0,105,0,2027-10-07,2024-08-26 00:00:00,2024-08-27 22:00:00,2024-08-28 00:00:00,SELESAI
