ID_HISTORY_STOCK,KD_BARANG,KD_LOKASI,UPDATED_BY,JUMLAH_AWAL,JUMLAH_PERUBAHAN,JUMLAH_AKHIR,TIPE_PERUBAHAN,REF,SATUAN,WAKTU_CHANGE
SKHY61BF666D6196,W8r1LuGwd932W3Zq,GDNGj825,GDNGj825,0,110,110,PEMESANAN,PSBG5CB43758B255,DUS,2023-12-30 00:00:00
SKHY4A2A2D0DEEEB,W8r1LuGwd932W3Zq,GDNGj825,GDNGj825,110,-21,89,TRANSFER,TRFRB2DC465370EC,DUS,2024-01-01 00:00:00
SKHY135D3D502185,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,0,210,210,TRANSFER,TRFRB2DC465370EC,PIECES,2024-01-01 00:00:00
SKHY31E7C8C0A14E,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,210,-15,195,PENJUALAN,DNJB509646F6B9E1,PIECES,2024-01-01 14:22:53
SKHY146597B7115F,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,195,-25,170,PENJUALAN,DNJB7D17A66DDF80,PIECES,2024-01-01 13:41:48
SKHYB035207F3C42,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,170,-26,144,PENJUALAN,DNJBE8878803B618,PIECES,2024-01-01 16:20:59
SKHY91BCD2E8D1DB,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,144,-10,134,PENJUALAN,DNJB6BABA4613E9E,PIECES,2024-01-01 14:43:34
SKHYF1AE1594D37B,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,134,-27,107,PENJUALAN,DNJBE7F9C95432B9,PIECES,2024-01-01 19:13:46
SKHYBFA1BAA04C0C,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,107,-15,92,PENJUALAN,DNJB2CA9471779E9,PIECES,2024-01-02 16:51:53
SKHYAF802441963F,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,92,-23,69,PENJUALAN,DNJB62357BE35015,PIECES,2024-01-02 11:26:38
SKHY755D3EA29FF0,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,69,-3,66,PENJUALAN,DNJB86224E10A4EA,PIECES,2024-01-03 15:00:04
SKHY49159BA86AA9,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,66,-8,58,PENJUALAN,DNJBF9699510E2AF,PIECES,2024-01-03 13:40:58
SKHY336FB8A7E29C,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,58,-23,35,PENJUALAN,DNJB4C371DB5CE87,PIECES,2024-01-03 16:32:53
