ID_TRANSFER_BARANG,ID_USERS_PENGIRIM,ID_USERS_PENERIMA,KD_LOKASI_ASAL,KD_LOKASI_TUJUAN,WAKTU_PESAN_TRANSFER,WAKTU_KIRIM_TRANSFER,WAKTU_SELESAI_TRANSFER,STATUS
TRFRB2DC465370EC,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2023-12-31 22:00:00,2023-12-31 23:00:00,2024-01-01 00:00:00,SELESAI
TRFRFCC079B5291F,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-04 22:00:00,2024-01-04 23:00:00,2024-01-05 00:00:00,SELESAI
TRFRCD7F87FF1699,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-09 22:00:00,2024-01-09 23:00:00,2024-01-10 00:00:00,SELESAI
TRFR90A439841886,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-12 22:00:00,2024-01-12 23:00:00,2024-01-13 00:00:00,SELESAI
TRFRCFA973B935C1,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-16 22:00:00,2024-01-16 23:00:00,2024-01-17 00:00:00,SELESAI
TRFR38022131CD44,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-21 22:00:00,2024-01-21 23:00:00,2024-01-22 00:00:00,SELESAI
TRFR40566E1C8B13,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-25 22:00:00,2024-01-25 23:00:00,2024-01-26 00:00:00,SELESAI
TRFR061898D02494,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-29 22:00:00,2024-01-29 23:00:00,2024-01-30 00:00:00,SELESAI
TRFR3FFCADB34E0F,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-02-04 22:00:00,2024-02-04 23:00:00,2024-02-05 00:00:00,SELESAI
TRFR9224F3426BDA,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-02-08 22:00:00,2024-02-08 23:00:00,2024-02-09 00:00:00,SELESAI
TRFR9AEF034C42DC,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-02-12 22:00:00,2024-02-12 23:00:00,2024-02-13 00:00:00,SELESAI
TRFR5290E6108986,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-02-16 22:00:00,2024-02-16 23:00:00,2024-02-17 00:00:00,SELESAI
TRFREC2F08B1129D,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-02-22 22:00:00,2024-02-22 23:00:00,2024-02-23 00:00:00,SELESAI
TRFR9EE9A674828D,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-02-26 22:00:00,2024-02-26 23:00:00,2024-02-27 00:00:00,SELESAI
TRFRC52D45DB9034,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-02-29 22:00:00,2024-02-29 23:00:00,2024-03-01 00:00:00,SELESAI
TRFR098024E04368,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-03-04 22:00:00,2024-03-04 23:00:00,2024-03-05 00:00:00,SELESAI
TRFR455668C8517B,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-03-09 22:00:00,2024-03-09 23:00:00,2024-03-10 00:00:00,SELESAI
TRFR10EC4CA71ADE,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-03-12 22:00:00,2024-03-12 23:00:00,2024-03-13 00:00:00,SELESAI
TRFR7AE184901F70,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-03-17 22:00:00,2024-03-17 23:00:00,2024-03-18 00:00:00,SELESAI
TRFRA78C92300A46,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-03-22 22:00:00,2024-03-22 23:00:00,2024-03-23 00:00:00,SELESAI
TRFR161E71BB6F53,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-03-26 22:00:00,2024-03-26 23:00:00,2024-03-27 00:00:00,SELESAI
TRFRFFD8975EFD1E,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-03-30 22:00:00,2024-03-30 23:00:00,2024-03-31 00:00:00,SELESAI
TRFR1AE80A68A85B,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-04-04 22:00:00,2024-04-04 23:00:00,2024-04-05 00:00:00,SELESAI
TRFRA83AA6AC5075,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-04-10 22:00:00,2024-04-10 23:00:00,2024-04-11 00:00:00,SELESAI
TRFR32D1D268ED15,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-04-14 22:00:00,2024-04-14 23:00:00,2024-04-15 00:00:00,SELESAI
TRFRFD52EAB5C2D4,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-04-20 22:00:00,2024-04-20 23:00:00,2024-04-21 00:00:00,SELESAI
TRFRC9F3B921A064,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-04-27 22:00:00,2024-04-27 23:00:00,2024-04-28 00:00:00,SELESAI
TRFR9906A120FCC6,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-05-01 22:00:00,2024-05-01 23:00:00,2024-05-02 00:00:00,SELESAI
TRFR420A85C4CD4E,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-05-05 22:00:00,2024-05-05 23:00:00,2024-05-06 00:00:00,SELESAI
TRFR35E962D6DE70,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-05-09 22:00:00,2024-05-09 23:00:00,2024-05-10 00:00:00,SELESAI
TRFR82C2E532DF6E,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-05-14 22:00:00,2024-05-14 23:00:00,2024-05-15 00:00:00,SELESAI
TRFR78883715773A,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-05-18 22:00:00,2024-05-18 23:00:00,2024-05-19 00:00:00,SELESAI
