ID_DNJB,KD_BARANG,ID_NOTA_JUAL,JUMLAH_JUAL_BARANG,HARGA_JUAL_BARANG,TOTAL_JUAL_UANG,HARGA_BELI_BARANG,TOTAL_BELI_UANG
DNJB3DDE2CE8BFB3,4aCSBjQPd3TzFd90,NTJL4654F475F2D4,11,40000,440000,16452.84,180981.24
DNJB705EC8E92B01,4aCSBjQPd3TzFd90,NTJLA77BD9BE8C77,30,40000,1200000,16452.84,493585.2
DNJBA1D07F712594,4aCSBjQPd3TzFd90,NTJL3C7FC9244981,14,40000,560000,16452.84,230339.76
DNJB064106067562,4aCSBjQPd3TzFd90,NTJLBA62B5595FE6,27,40000,1080000,16452.84,444226.68
DNJB28E33B7F96CC,4aCSBjQPd3TzFd90,NTJL8C0532CCBB71,9,40000,360000,16452.84,148075.56
DNJB4FDBBC114451,4aCSBjQPd3TzFd90,NTJLD0873AD3577E,20,40000,800000,16452.84,329056.8
DNJB08216200096E,4aCSBjQPd3TzFd90,NTJL2EB01BCF00CF,20,40000,800000,16452.84,329056.8
DNJBF8A55A7890A1,4aCSBjQPd3TzFd90,NTJL2DB9B6A0DCBD,29,40000,1160000,16452.84,477132.36
DNJBF35E77C68B4C,4aCSBjQPd3TzFd90,NTJL6B1D5391AF5E,30,40000,1200000,16452.84,493585.2
DNJB2C1E57839F68,4aCSBjQPd3TzFd90,NTJL1A94C70C1960,6,40000,240000,16452.84,98717.04000000001
DNJB259E661EF833,4aCSBjQPd3TzFd90,NTJLA7357BD232E4,26,40000,1040000,16452.84,427773.84
DNJBA29E4C0CE049,W8r1LuGwd932W3Zq,NTJL160103AB3532,27,33000,891000,28693.9,774735.3
DNJB055C57E4C56E,W8r1LuGwd932W3Zq,NTJLC0BFB77E23F9,11,33000,363000,28693.9,315632.9
DNJB5CC412ADEFC0,W8r1LuGwd932W3Zq,NTJLF10CA27CB782,11,33000,363000,28693.9,315632.9
DNJB3350251B2A60,W8r1LuGwd932W3Zq,NTJL91B0198B3FC8,12,33000,396000,28693.9,344326.80000000005
DNJB307EEE471A08,W8r1LuGwd932W3Zq,NTJL67B2E61699FB,26,33000,858000,28693.9,746041.4
DNJB89E1886D26ED,W8r1LuGwd932W3Zq,NTJLA608CFEA255F,10,33000,330000,28693.9,286939.0
DNJB13EDE27CABB0,W8r1LuGwd932W3Zq,NTJLC141A9DE4289,19,33000,627000,28693.9,545184.1
DNJB3263DD6ED273,W8r1LuGwd932W3Zq,NTJL9D4914961C48,14,33000,462000,28693.9,401714.60000000003
DNJB7EBD498CE47E,W8r1LuGwd932W3Zq,NTJL652821C4A4CA,21,33000,693000,28693.9,602571.9
DNJBA68CDF4C1A54,W8r1LuGwd932W3Zq,NTJL49B9849BDDAC,12,33000,396000,28693.9,344326.80000000005
DNJB603319C26435,W8r1LuGwd932W3Zq,NTJL0339E7954C1A,22,33000,726000,28693.9,631265.8
DNJB80C8EFD61835,4aCSBjQPd3TzFd90,NTJL89B92A7511AD,6,40000,240000,16452.84,98717.04000000001
DNJBBA2C7A044EBC,4aCSBjQPd3TzFd90,NTJLEC67A0DC056F,5,40000,200000,16452.84,82264.2
DNJB410D8924879E,4aCSBjQPd3TzFd90,NTJLE127CE1DB207,5,40000,200000,16452.84,82264.2
DNJB1DAB12EB2E91,4aCSBjQPd3TzFd90,NTJLF5EA78C318E7,12,40000,480000,16452.84,197434.08000000002
DNJBA7364F330E40,4aCSBjQPd3TzFd90,NTJL181209D26AE0,5,40000,200000,16452.84,82264.2
DNJBF91001FB47D9,4aCSBjQPd3TzFd90,NTJLFAE3564EBE82,7,40000,280000,16452.84,115169.88
DNJB21923707B135,4aCSBjQPd3TzFd90,NTJL62CEF07F7E89,17,40000,680000,16452.84,279698.28
DNJBBD9B42662899,4aCSBjQPd3TzFd90,NTJLA423D312E79F,28,40000,1120000,16452.84,460679.52
DNJB339B7E4F484B,4aCSBjQPd3TzFd90,NTJL56EA8DD91EB1,3,40000,120000,16452.84,49358.520000000004
DNJBCE04F43BA561,4aCSBjQPd3TzFd90,NTJL3504F81A0BA8,14,40000,560000,16452.84,230339.76
DNJB81D379C965C1,4aCSBjQPd3TzFd90,NTJL784597D299D2,22,40000,880000,16452.84,361962.48
DNJBD8C1B0B55F40,4aCSBjQPd3TzFd90,NTJLCE9B8C7B0AA4,17,40000,680000,16452.84,279698.28
DNJBAD92CAC0DBB2,4aCSBjQPd3TzFd90,NTJL171C22A4B4F4,30,40000,1200000,16452.84,493585.2
DNJB46B59781977D,W8r1LuGwd932W3Zq,NTJLC4438028F722,26,33000,858000,28693.9,746041.4
DNJBB15C3AE53DD1,W8r1LuGwd932W3Zq,NTJL69447ECCA935,23,33000,759000,28693.9,659959.7000000001
DNJB71EA6C6304B5,W8r1LuGwd932W3Zq,NTJL3E4D95803BF0,19,33000,627000,28693.9,545184.1
