ID_DETAIL_TRANSFER_BARANG,ID_TRANSFER_BARANG,KD_BARANG,TOTAL_PESAN_TRANSFER_DUS,TOTAL_KIRIM_DUS,TOTAL_TIBA_DUS,TOTAL_DITOLAK_DUS,TOTAL_MASUK_DUS,STATUS
DTFR63B57078562F,TRFRD8FA68802BF1,4aCSBjQPd3TzFd90,40,40,40,0,40,SELESAI
DTFR78BC558D453C,TRFR1A47CAF5FD5E,4aCSBjQPd3TzFd90,40,40,40,0,40,SELESAI
DTFR00325E7B1C5B,TRFR8E39F43B5028,4aCSBjQPd3TzFd90,40,40,40,0,40,SELESAI
DTFR6F958A1FBEED,TRFRC1FB1B1AE5F7,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFR4B02AF8D6529,TRFR7524567D2B78,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFR354C22846820,TRFRA4330C80F0D3,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFRFEFF0E57B69C,TRFR08E7013E5909,W8r1LuGwd932W3Zq,18,18,18,0,18,SELESAI
DTFR3786B25F83CD,TRFRA3FD2ABAEED7,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFR63E39EC5FD24,TRFR501EA10F79C8,W8r1LuGwd932W3Zq,15,15,15,0,15,SELESAI
DTFRBAF3ADF2B200,TRFRFD2316C73A1F,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFRD8CDDE56F1CE,TRFRB25EEDA42A7C,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFR2293263805FB,TRFRFA32844CA083,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFR57FD32ABDBAB,TRFR7BFB874D7A17,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFR36E8B1EF5668,TRFR9B78156F590C,W8r1LuGwd932W3Zq,16,16,16,0,16,SELESAI
DTFR4E45DF691A5D,TRFR10062CC87E51,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFR82041C3F5514,TRFR74DF7642BAD1,W8r1LuGwd932W3Zq,17,17,17,0,17,SELESAI
DTFRD86FF44183B9,TRFR32BB15741718,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFR2174366FBE5C,TRFR0C0581FE89C1,W8r1LuGwd932W3Zq,18,18,18,0,18,SELESAI
DTFR860EFE3E49CA,TRFR91558F3C7450,W8r1LuGwd932W3Zq,19,19,19,0,19,SELESAI
DTFR5FB5B04C45EC,TRFRFE16F37812EC,4aCSBjQPd3TzFd90,39,39,39,0,39,SELESAI
DTFRE80E37364264,TRFR4796B8ED0E6E,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFR539D3E321FA8,TRFR85B3C1AEA1B7,W8r1LuGwd932W3Zq,17,17,17,0,17,SELESAI
DTFR224D57B2EC1C,TRFR59B854DABD1A,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFRDD454FD39B77,TRFR1CF30478205E,4aCSBjQPd3TzFd90,38,38,38,0,38,SELESAI
DTFR40D2FD734141,TRFR376E055CDD20,W8r1LuGwd932W3Zq,17,17,17,0,17,SELESAI
DTFRDBAECC2ADFFE,TRFR06D49B5FCDF1,W8r1LuGwd932W3Zq,16,16,16,0,16,SELESAI
DTFR51A1AE48B557,TRFRC20B93161864,W8r1LuGwd932W3Zq,17,17,17,0,17,SELESAI
DTFR3323A225018B,TRFRCE4196B5CB3B,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFR986E25AB3F4F,TRFR2B963EE5EB74,W8r1LuGwd932W3Zq,20,20,20,0,20,SELESAI
DTFRAF32D93E24E1,TRFR570304E45B92,W8r1LuGwd932W3Zq,19,19,19,0,19,SELESAI
