ID_DETAIL_TRANSFER_BARANG_BATCH,ID_DETAIL_TRANSFER_BARANG,ID_PESAN_BARANG,JUMLAH_PESAN_TRANSFER_BATCH_DUS,JUMLAH_KIRIM_DUS,JUMLAH_TIBA_DUS,JUMLAH_DITOLAK_DUS,JUMLAH_MASUK_DUS
DTFB1A8E5E954E46,DTFRD3969DA09AB3,PSBG9BEEA976DF5E,17,17,17,0,17
DTFBBC9F2D379AB3,DTFR44DB7DA1F906,PSBG9BEEA976DF5E,17,17,17,0,17
DTFBC215F07AF4F6,DTFR2142635625DA,PSBG9BEEA976DF5E,17,17,17,0,17
DTFBD1662EC40A0D,DTFR0DA3BCCAB52D,PSBG78024F21D296,9,9,9,0,9
DTFB438030584810,DTFRFE7E39288CE2,PSBG78024F21D296,9,9,9,0,9
DTFBBE7192600247,DTFR21DB173176C2,PSBG78024F21D296,9,9,9,0,9
DTFBE197E13CAFE0,DTFRCDCC50F98609,PSBGC86EAEE39A77,20,20,20,0,20
DTFB5125D6387007,DTFR1D2CF8210FAD,PSBGC86EAEE39A77,20,20,20,0,20
DTFB573041D4CF3E,DTFR6889161D7698,PSBGC86EAEE39A77,20,20,20,0,20
DTFB0DA96B98842C,DTFR4F62F3D6A535,PSBGB756DEF51667,17,17,17,0,17
DTFB6B8E03A9E40B,DTFR8C72AF3D98FF,PSBGB756DEF51667,17,17,17,0,17
DTFBDCB9083C9739,DTFR1EA65C1162B8,PSBGB756DEF51667,17,17,17,0,17
DTFB3D802B186D0C,DTFR9DD055973385,PSBG8E3227A0318C,17,17,17,0,17
DTFB8FF3A5D42906,DTFRA8F18DFE73CB,PSBG8E3227A0318C,17,17,17,0,17
DTFBC3346AE6098A,DTFRFED6DDB9490B,PSBG8E3227A0318C,17,17,17,0,17
DTFB2D5A2ECF927A,DTFR599455D1729A,PSBG92CA5DFE7D1C,17,17,17,0,17
DTFB8A463A40A5CE,DTFR7E79415BAB08,PSBG92CA5DFE7D1C,17,17,17,0,17
DTFB3441A54792DD,DTFR0199F54C52DA,PSBG92CA5DFE7D1C,17,17,17,0,17
DTFB1E9CB5DE5840,DTFR738C4A60D9AC,PSBGF3206F043A6C,17,17,17,0,17
DTFB013DD72759C8,DTFR6AFF809A5A94,PSBGF3206F043A6C,17,17,17,0,17
DTFB2816193BF29A,DTFRB92AAF68BC9A,PSBGF3206F043A6C,17,17,17,0,17
DTFBC7B1EA346767,DTFR0D7C0316C8A8,PSBGF6F793C7DE9E,17,17,17,0,17
DTFB78AD9E9B035A,DTFRD7460D1FEA90,PSBGF6F793C7DE9E,17,17,17,0,17
DTFBDEEA9A1BB5AB,DTFRB28301C64B5A,PSBGF6F793C7DE9E,17,17,17,0,17
DTFB3634C97D3531,DTFREFC5E975A477,PSBGF04D3EA085D6,17,17,17,0,17
DTFB830957B89C92,DTFRE43ADAF589F0,PSBGF04D3EA085D6,17,17,17,0,17
DTFB421B53FD9A99,DTFR6F6DDB4BEEB3,PSBGF04D3EA085D6,17,17,17,0,17
DTFB7B1B4310E0E7,DTFRE735509FE6C0,PSBG93B898F571FC,17,17,17,0,17
DTFBDDDCD5F5AFC2,DTFR8D789E9DDE35,PSBG93B898F571FC,17,17,17,0,17
DTFB29B765D97FF3,DTFR7D074ABD7606,PSBG93B898F571FC,17,17,17,0,17
DTFB69599F2578AD,DTFR6623C0A6CCC8,PSBGB44B1E960918,17,17,17,0,17
DTFBF8CE026A92E8,DTFR714A09A7BE5D,PSBGB44B1E960918,17,17,17,0,17
DTFBFA0F768ED800,DTFR623955B4868E,PSBGB44B1E960918,17,17,17,0,17
DTFB71E39DF16DFC,DTFRD379D90F1AB5,PSBG656F034E2215,20,20,20,0,20
DTFB465DBB8AE29F,DTFR195E96DCD3CC,PSBG656F034E2215,20,20,20,0,20
DTFB4CE1D64CAD5B,DTFRBB3FD8F004D5,PSBG656F034E2215,20,20,20,0,20
DTFB7B62CAD34E92,DTFR9F4236569C01,PSBG51F089C1C26C,17,17,17,0,17
DTFB4DDB8ED5F1E9,DTFR024DDA4A08B9,PSBG51F089C1C26C,17,17,17,0,17
DTFBB7700E2D1C8F,DTFRCC871B1AAC7A,PSBG51F089C1C26C,17,17,17,0,17
DTFB44C53938FD86,DTFR5782C17CB8A1,PSBG5A370B70A362,9,9,9,0,9
DTFBFBA3BDF26DE4,DTFRF71D825430A9,PSBG5A370B70A362,9,9,9,0,9
DTFBD93DF4C672E3,DTFR8D17A64EC889,PSBG5A370B70A362,9,9,9,0,9
DTFB4900F5077061,DTFRD1DA692FAC60,PSBG888ED145C177,17,17,17,0,17
DTFBAC351B7D4B92,DTFR22CAD7B29E4F,PSBG888ED145C177,17,17,17,0,17
DTFBF10147E41D11,DTFRE5D9BF7B83D4,PSBG888ED145C177,17,17,17,0,17
DTFBDA49B7349F40,DTFRC882DD708BFA,PSBG5448F98CA454,17,17,17,0,17
DTFB626BA7C2B1C5,DTFR5EEA7CF7DC51,PSBG5448F98CA454,17,17,17,0,17
DTFBDDFD7EEAB475,DTFR6A6D8A201B38,PSBG5448F98CA454,17,17,17,0,17
DTFB235998E9AE20,DTFR2DA978325F69,PSBG57F8E80F215A,17,17,17,0,17
DTFB0685D7EA8068,DTFR69109A0A2DE4,PSBG57F8E80F215A,17,17,17,0,17
DTFB1A8B80EC0A3E,DTFR3F1786001A8C,PSBG57F8E80F215A,17,17,17,0,17
DTFB552638AE766D,DTFR139DF6090000,PSBGF517728D9AE9,17,17,17,0,17
DTFB0814E99B15F1,DTFR28D2C504B046,PSBGF517728D9AE9,17,17,17,0,17
DTFBB8FBCA11126B,DTFR16EB184CBF4F,PSBGF517728D9AE9,17,17,17,0,17
DTFBEA30037A40C5,DTFRB59D1D5E4F6B,PSBGFD22CF1C48CF,17,17,17,0,17
DTFB9334D85B78A4,DTFR04BC0824F6BD,PSBGFD22CF1C48CF,17,17,17,0,17
DTFB94EACB1CD964,DTFRFFE7D5617667,PSBGFD22CF1C48CF,17,17,17,0,17
DTFBE79E8023E6CA,DTFRD0EC32B5C4D9,PSBGF7FF88D6FAB4,9,9,9,0,9
DTFB3B39D27DBB19,DTFR7F94C8379106,PSBGF7FF88D6FAB4,9,9,9,0,9
DTFB672CA878ED88,DTFR691B96F594E9,PSBGF7FF88D6FAB4,9,9,9,0,9
DTFB840CC2DDD9F8,DTFRCA4100EFD898,PSBG06D8F78B4238,17,17,17,0,17
DTFBB576FA8F90ED,DTFRE1BFED02D7D3,PSBG06D8F78B4238,17,17,17,0,17
DTFB8B445DB386FA,DTFR386DE2E6C263,PSBG06D8F78B4238,17,17,17,0,17
DTFBA7C090BE2D17,DTFR8E90666A572D,PSBG86AE38565E7E,17,17,17,0,17
DTFBC34BD7FB7CA3,DTFRFC5C965CD081,PSBG86AE38565E7E,17,17,17,0,17
DTFB2082C0FE895B,DTFR632FD38E6277,PSBG86AE38565E7E,17,17,17,0,17
DTFB40F5CED1FC49,DTFR4A75CA284D7A,PSBGC02001EB8AFA,17,17,17,0,17
DTFBBD66BB998457,DTFR77EB8796C163,PSBGC02001EB8AFA,17,17,17,0,17
DTFBBB38A83CE857,DTFRDDED45CE8553,PSBGC02001EB8AFA,17,17,17,0,17
DTFBA28EB917764A,DTFR8FA579ED548C,PSBG3D2DD17F8B0F,17,17,17,0,17
DTFBD8F11D3361CC,DTFR4153C0899C76,PSBG3D2DD17F8B0F,17,17,17,0,17
DTFBB256B45486EA,DTFRD515FD39C1F2,PSBG3D2DD17F8B0F,17,17,17,0,17
DTFB82452A1D911A,DTFRF4C3359BAD25,PSBGA8E60567D24F,17,17,17,0,17
DTFB82FF61D79622,DTFR1D6DD5DDCD81,PSBGA8E60567D24F,17,17,17,0,17
DTFB4F66995F37BD,DTFR9CB1895E2186,PSBGA8E60567D24F,17,17,17,0,17
DTFBA9C9D7628195,DTFRF96818C8D1D4,PSBG80EECA615569,17,17,17,0,17
DTFB82BBEF989ABA,DTFR011013024F16,PSBG80EECA615569,17,17,17,0,17
DTFBB7F037B70D3E,DTFR1D1A97234A03,PSBG80EECA615569,17,17,17,0,17
DTFB936FC46DDDF3,DTFRB5B6891A3BF2,PSBGB923CA09C1B6,9,9,9,0,9
DTFB7CD10BCD8CBD,DTFR726F9FB4C039,PSBGB923CA09C1B6,9,9,9,0,9
DTFB035887376F73,DTFR99D2F59E5922,PSBGB923CA09C1B6,9,9,9,0,9
DTFB8998B8143E21,DTFR6AECC1A86997,PSBG74283F9A76D9,17,17,17,0,17
DTFB9A506ACEC218,DTFR89FD673B7260,PSBG74283F9A76D9,17,17,17,0,17
DTFB0039FF13466D,DTFR7C62B66A79C7,PSBG74283F9A76D9,17,17,17,0,17
DTFB3864E8760346,DTFR7660E7FEDBA5,PSBG43978C4E7D99,9,9,9,0,9
DTFBABB45784CEA0,DTFR02C86C7FEDEB,PSBG43978C4E7D99,9,9,9,0,9
DTFBBE69AA72C3A5,DTFRDE9BE8AF6654,PSBG43978C4E7D99,9,9,9,0,9
DTFB9ED73AF50235,DTFR266463D96DE9,PSBGFB59D17AA16C,20,20,20,0,20
DTFBFCF53ECD8A5C,DTFR5F2D24323B9F,PSBGFB59D17AA16C,20,20,20,0,20
DTFBED81240A8E2F,DTFRA318C60166AE,PSBGFB59D17AA16C,20,20,20,0,20
DTFB6195D8CC54C7,DTFR9BA502427622,PSBG631E6D02506F,20,20,20,0,20
DTFBC475E338C4A2,DTFR8E86C8AA398D,PSBG631E6D02506F,20,20,20,0,20
DTFB422A4F94072C,DTFR654229849E79,PSBG631E6D02506F,20,20,20,0,20
DTFB42AC98C051B3,DTFRE19F1C255D29,PSBGF6EB5B5FE8BB,17,17,17,0,17
DTFBC667751505E5,DTFRDC225B69C00B,PSBGF6EB5B5FE8BB,17,17,17,0,17
DTFBBB859F2D7631,DTFRC1E50CB4693D,PSBGF6EB5B5FE8BB,17,17,17,0,17
DTFBD5243606F25B,DTFRE022F239A708,PSBGE6167BED116D,17,17,17,0,17
DTFB02E675D9F10E,DTFRA25B3DFD8B3D,PSBGE6167BED116D,17,17,17,0,17
DTFBAA398C2FEE3F,DTFR82A12A196C1C,PSBGE6167BED116D,17,17,17,0,17
DTFBF01394AB2DE1,DTFR92B4A51416B9,PSBG6777FB7BF545,17,17,17,0,17
DTFB3D013EA6F84A,DTFRD1189DAF6ECE,PSBG6777FB7BF545,17,17,17,0,17
DTFBC2C6B2D32D97,DTFREE6D996C6EA0,PSBG6777FB7BF545,17,17,17,0,17
DTFBBE7952A84C6F,DTFRD3D1D0B9C003,PSBG610169D222BB,9,9,9,0,9
DTFB815C6F7A88D2,DTFR1F0FF32E40D1,PSBG610169D222BB,9,9,9,0,9
DTFB4AA6862C16EE,DTFR58F2F4131178,PSBG610169D222BB,9,9,9,0,9
DTFB6849F78DF2FA,DTFRAC4ADE122D8C,PSBG55AD3683448F,17,17,17,0,17
DTFB0B34FDA12CD5,DTFR035DED04EC15,PSBG55AD3683448F,17,17,17,0,17
DTFB04E088547500,DTFR5C2A45BBF163,PSBG55AD3683448F,17,17,17,0,17
DTFB5A1AAABB30D9,DTFRFD4574022E35,PSBG7899867877AB,9,9,9,0,9
DTFB1FAC170F50D2,DTFRC3E3E52F5255,PSBG7899867877AB,9,9,9,0,9
DTFBA506CA58D3D3,DTFR334798DE1D05,PSBG7899867877AB,9,9,9,0,9
DTFBF24D73BB69D0,DTFR561A9DB28B60,PSBGD35024492ED4,17,17,17,0,17
DTFB63E42FE368FD,DTFRAC837A004786,PSBGD35024492ED4,17,17,17,0,17
DTFB4AC7C87D6155,DTFRE446F2587A7F,PSBGD35024492ED4,17,17,17,0,17
DTFB463AF9E7129D,DTFR6E4AECF94214,PSBG467F2895D229,9,9,9,0,9
DTFB9E0F2D3D2029,DTFRE35EEB8B91D0,PSBG467F2895D229,9,9,9,0,9
DTFB73FB501BB41A,DTFR36F748B56781,PSBG467F2895D229,9,9,9,0,9
DTFBC6F5A7EA937E,DTFR1B5BE9146561,PSBG20DFB19AABE2,17,17,17,0,17
DTFB2969AEDF10CB,DTFR75CF3CCD2199,PSBG20DFB19AABE2,17,17,17,0,17
DTFBC728657BCEE6,DTFREC8E6597B96C,PSBG20DFB19AABE2,17,17,17,0,17
DTFBC65327971815,DTFRB21E9DB5F26A,PSBG6777FB7BF545,13,13,13,0,13
DTFBB795A39C26CB,DTFRF5E7CCB3AAC0,PSBG631E6D02506F,15,15,15,0,15
DTFBEC48B3CB113B,DTFRDD9AF1285F89,PSBGC86EAEE39A77,15,15,15,0,15
DTFB147DC499536F,DTFR9FB4FE0CC169,PSBG5448F98CA454,13,13,13,0,13
DTFB6548B3C9AC4D,DTFR765F7EA8F335,PSBGB756DEF51667,13,13,13,0,13
DTFB30BAD4166689,DTFR6BF1CD4930F1,PSBGB44B1E960918,13,13,13,0,13
DTFB12AC6E16F927,DTFR2FE5870F0714,PSBGF3206F043A6C,13,13,13,0,13
DTFB2F8EE96565E4,DTFRA98B4A184071,PSBGC86EAEE39A77,16,16,16,0,16
DTFBC94A4993D8E8,DTFR3B5009833BE1,PSBG8E3227A0318C,13,13,13,0,13
DTFB42B5D900869E,DTFR5E06D66A3B0E,PSBGF6F793C7DE9E,13,13,13,0,13
DTFB6B3EBB9F3D6D,DTFR01C23D8B9666,PSBGF04D3EA085D6,13,13,13,0,13
DTFB96DD29295775,DTFRBE29982301E8,PSBG74283F9A76D9,13,13,13,0,13
DTFB146AD145ED4D,DTFR38FEE9A73BB3,PSBGE6167BED116D,13,13,13,0,13
DTFB6573F0C45694,DTFR8BDCB7F114CA,PSBGFB59D17AA16C,16,16,16,0,16
DTFB309BE54F72C2,DTFRC379E31CEDE6,PSBG9BEEA976DF5E,13,13,13,0,13
DTFBCEF484F082CC,DTFR4F3B41ADC485,PSBG3D2DD17F8B0F,13,13,13,0,13
DTFB89CE76FADD0D,DTFR95042681B047,PSBG3D2DD17F8B0F,13,13,13,0,13
DTFBA037B66B3D63,DTFR599A0161B19F,PSBG6777FB7BF545,13,13,13,0,13
DTFBD708D5AC1667,DTFR0D72FC9086B6,PSBG7899867877AB,7,7,7,0,7
DTFB4CDA3FA067D8,DTFRDC244AE45738,PSBGD35024492ED4,13,13,13,0,13
DTFBA911368A84B6,DTFR284542E182E9,PSBG20DFB19AABE2,13,13,13,0,13
DTFB4ED9FE05ACB0,DTFR540459E70137,PSBGF3206F043A6C,13,13,13,0,13
DTFB61810E02D177,DTFR27C234FC6D3F,PSBGF517728D9AE9,13,13,13,0,13
DTFB9D0B315E608F,DTFR2AE32561B2F5,PSBG80EECA615569,13,13,13,0,13
DTFBAACEF0BAF9B1,DTFR3B6849617BCF,PSBG78024F21D296,7,7,7,0,7
DTFB021D17CB3ED6,DTFRC7638A995E60,PSBG92CA5DFE7D1C,13,13,13,0,13
DTFBFAFCE6741A3E,DTFRDA5AC06FA093,PSBGF6F793C7DE9E,13,13,13,0,13
DTFBF1F57722A452,DTFR6C51A6D4C93A,PSBG656F034E2215,16,16,16,0,16
DTFB4D355E8A89B7,DTFR9526A00A5608,PSBGFD22CF1C48CF,13,13,13,0,13
DTFBA86291525B20,DTFR1F280C0CAECF,PSBGC02001EB8AFA,13,13,13,0,13
DTFBD3B56F2A1033,DTFR8DEE79DFCDF8,PSBG631E6D02506F,16,16,16,0,16
DTFB1A748CA02F2F,DTFR3F8B591F21BB,PSBG656F034E2215,15,15,15,0,15
DTFB60995DBAA4D0,DTFRFF4F8994654A,PSBG5448F98CA454,13,13,13,0,13
DTFBD78EE4025092,DTFR1C882C39952F,PSBGB923CA09C1B6,7,7,7,0,7
DTFBB082EE7919C2,DTFR7F84CC9A4F29,PSBGB44B1E960918,13,13,13,0,13
DTFB848408602EB5,DTFR454CC7D26C68,PSBGF517728D9AE9,13,13,13,0,13
DTFBA9BF8058A009,DTFR80C0172DCBFA,PSBG06D8F78B4238,13,13,13,0,13
DTFBD5BCA8CC3B3B,DTFR45A294C87285,PSBGFB59D17AA16C,16,16,16,0,16
DTFBE09E941A2E87,DTFRA4E14ADCF058,PSBG610169D222BB,7,7,7,0,7
DTFB320DFE1A7F08,DTFREE249CF51F5A,PSBG55AD3683448F,13,13,13,0,13
DTFB1A85613AEE58,DTFR2ADA2B675860,PSBG7899867877AB,7,7,7,0,7
DTFB28291010738F,DTFR6F6FA14F4B3D,PSBG51F089C1C26C,13,13,13,0,13
DTFBB04648844721,DTFR0B5CEFEF03CD,PSBGF7FF88D6FAB4,7,7,7,0,7
DTFB87123EEEFF8B,DTFR2851AFE0AB90,PSBG43978C4E7D99,7,7,7,0,7
DTFB7949C984721F,DTFR1CAA5A86CBDF,PSBG43978C4E7D99,7,7,7,0,7
DTFBFFED9561478C,DTFR5E3EC131BE8B,PSBG467F2895D229,7,7,7,0,7
DTFB40D47AFA59CF,DTFRE3531219C471,PSBGF04D3EA085D6,13,13,13,0,13
DTFBFFD98CDE7B22,DTFRC09508BFBFF4,PSBGFD22CF1C48CF,13,13,13,0,13
DTFBD5576CD66AA8,DTFR6239D9F3708C,PSBG92CA5DFE7D1C,13,13,13,0,13
DTFBC058A392B001,DTFR03BAC0101BFD,PSBG57F8E80F215A,14,14,14,0,14
DTFBD233E7541A12,DTFRCF2D50D51579,PSBGB756DEF51667,13,13,13,0,13
DTFBF37DE09CAB8D,DTFRA9D9B585ADD7,PSBG888ED145C177,13,13,13,0,13
DTFB9986DCD494FD,DTFR320CE897C0B3,PSBG467F2895D229,7,7,7,0,7
DTFBB391ED04056E,DTFRA36BC97F001B,PSBG93B898F571FC,13,13,13,0,13
DTFBA93F051F3D8D,DTFR7AA1CC6236EA,PSBG5A370B70A362,7,7,7,0,7
DTFB9ADAFBAA6E35,DTFR243C599EEFBE,PSBG57F8E80F215A,13,13,13,0,13
DTFBCACF9065B885,DTFR8B576F35AD61,PSBG86AE38565E7E,13,13,13,0,13
DTFB0C97AC1ADBA4,DTFR3B6DE14F28E7,PSBG20DFB19AABE2,13,13,13,0,13
DTFBB2E30C8F5E7C,DTFRF164BD911F1C,PSBG5A370B70A362,7,7,7,0,7
DTFB7DF92729DE2D,DTFR535240090E82,PSBGF517728D9AE9,13,13,13,0,13
DTFB9734FFB9CB28,DTFRD6B341E0FCE8,PSBG86AE38565E7E,13,13,13,0,13
DTFB2E82D0D92457,DTFR0D77DFBACB1D,PSBG80EECA615569,13,13,13,0,13
DTFBD86483108E90,DTFRCBB0BDA06A67,PSBG610169D222BB,7,7,7,0,7
DTFB4616219C8C8F,DTFR15C509AA0EEB,PSBG9BEEA976DF5E,13,13,13,0,13
DTFBD64562F881AD,DTFR325A1A5AB1C2,PSBG8E3227A0318C,13,13,13,0,13
DTFBFF2150AC8D85,DTFR332E84C0720C,PSBGA8E60567D24F,13,13,13,0,13
DTFB955835955410,DTFR3196703CCD91,PSBGA8E60567D24F,13,13,13,0,13
DTFB48C65B1A482A,DTFR428A0CBA8983,PSBGB756DEF51667,13,13,13,0,13
DTFBCA7E86154209,DTFR7696B94A83D6,PSBG5448F98CA454,13,13,13,0,13
DTFB2C4521575C48,DTFR5E6E20B1176A,PSBG1707F92B932D,13,13,13,0,13
DTFB31792E6D0923,DTFR0B940CF69819,PSBG80EECA615569,13,13,13,0,13
DTFB44206D8C1963,DTFRD0BCCFABE85F,PSBGF6EB5B5FE8BB,13,13,13,0,13
DTFB78BCE642E7B1,DTFR7BE753493A2E,PSBG55AD3683448F,13,13,13,0,13
DTFB41FFAF42BAE3,DTFRCEE60528B5EE,PSBG55AD3683448F,13,13,13,0,13
DTFB87C6E1D5BDF8,DTFRABBC4BA0D026,PSBG20DFB19AABE2,13,13,13,0,13
DTFBD2989B2EE408,DTFR5F304D363A3F,PSBGC86EAEE39A77,9,9,9,0,9
DTFB7DF3AE41A154,DTFR5F304D363A3F,PSBG0AA3A80452FE,7,7,7,0,7
DTFB4FA1B4AEBF1D,DTFR5E5D160487A8,PSBG93B898F571FC,13,13,13,0,13
DTFBE91829D4496A,DTFRDC014B13868A,PSBGC02001EB8AFA,13,13,13,0,13
DTFB1E220ADBD54E,DTFR7EE2A39BF766,PSBGB923CA09C1B6,7,7,7,0,7
DTFBC3762061F36B,DTFR95473134B8CA,PSBG43978C4E7D99,7,7,7,0,7
DTFB8E37CB4C2C06,DTFRD1C71293B667,PSBG631E6D02506F,9,9,9,0,9
DTFB09EEBC5B69B6,DTFRD1C71293B667,PSBG1B5F0D01A3B3,7,7,7,0,7
DTFB8B41FFBB9D4D,DTFR1B40820766D0,PSBGD35024492ED4,13,13,13,0,13
DTFBB1995C6BC76F,DTFR6CACE9FE7346,PSBG9BEEA976DF5E,13,13,13,0,13
DTFB793BA1443672,DTFR1ECAA7ED2422,PSBG888ED145C177,13,13,13,0,13
DTFB7CB485E83713,DTFR5E6BD8EE5F7E,PSBGF7FF88D6FAB4,7,7,7,0,7
DTFB3978CCB6E65D,DTFR4A726D0C4103,PSBGEE3055FF354A,13,13,13,0,13
DTFBE95E74000915,DTFRB4483481FB2D,PSBG79B17E270848,14,14,14,0,14
DTFBA2C1AE1BCCE1,DTFR575FA23F5387,PSBGF6EB5B5FE8BB,13,13,13,0,13
DTFBF59D5AAAFCD7,DTFR478FDEF5B98F,PSBG534E6BE5ADDC,13,13,13,0,13
DTFB3360C323DCFC,DTFR5E1F1F6274B8,PSBG5A370B70A362,7,7,7,0,7
DTFB54FE99E23399,DTFRBE52D9C95D01,PSBG4680C5F22584,13,13,13,0,13
DTFBF754250A84F2,DTFR62C9AD81D15F,PSBG7899867877AB,7,7,7,0,7
DTFB3EB28D4A4C77,DTFR214B1358627F,PSBGD35024492ED4,13,13,13,0,13
DTFBA45FBBF3502A,DTFR656F78C5A287,PSBGF6F793C7DE9E,13,13,13,0,13
DTFB11CBA6495AA1,DTFRD22969578FAF,PSBG51F089C1C26C,13,13,13,0,13
DTFB0A0581F4D5C3,DTFR6C77B8E6AB66,PSBG3D2DD17F8B0F,13,13,13,0,13
DTFBFC53ABA9A887,DTFRB980503A5F82,PSBG74283F9A76D9,13,13,13,0,13
DTFB3593F308C6EA,DTFR6898A8D81276,PSBGE6167BED116D,13,13,13,0,13
DTFBB3F80CA86469,DTFRD83B3CE7F32E,PSBG656F034E2215,9,9,9,0,9
DTFB86A54F3FA146,DTFRD83B3CE7F32E,PSBGFD19898743FA,7,7,7,0,7
DTFB415E03F889BF,DTFRC1710D4A8D64,PSBG86AE38565E7E,13,13,13,0,13
