ID_NOTA_JUAL,ID_USERS,KD_LOKASI,WAKTU_NOTA,TOTAL_JUAL_BARANG,SUB_TOTAL_JUAL,SUB_TOTAL_BELI,GROSS_PROFIT,PAJAK,GRAND_TOTAL
NTJL4654F475F2D4,TOKOeLig,TOKOeLig,2024-01-01 13:32:40,11,440000,180981.24,259018.76,48400.0,488400.0
NTJLA77BD9BE8C77,TOKOeLig,TOKOeLig,2024-01-01 13:25:09,30,1200000,493585.2,706414.8,132000.0,1332000.0
NTJL3C7FC9244981,TOKOeLig,TOKOeLig,2024-01-01 13:14:56,14,560000,230339.76,329660.24,61600.0,621600.0
NTJLBA62B5595FE6,TOKOeLig,TOKOeLig,2024-01-01 16:00:18,27,1080000,444226.68,635773.3200000001,118800.0,1198800.0
NTJL8C0532CCBB71,TOKOrvYu,TOKOjtqG,2024-01-01 13:02:01,9,360000,148075.56,211924.44,39600.0,399600.0
NTJLD0873AD3577E,TOKOrvYu,TOKOjtqG,2024-01-01 17:48:45,20,800000,329056.8,470943.2,88000.0,888000.0
NTJL2EB01BCF00CF,TOKOrvYu,TOKOjtqG,2024-01-01 15:42:51,20,800000,329056.8,470943.2,88000.0,888000.0
NTJL2DB9B6A0DCBD,TOKOrvYu,TOKOjtqG,2024-01-01 11:46:35,29,1160000,477132.36,682867.64,127600.0,1287600.0
NTJL6B1D5391AF5E,TOKOrvYu,TOKOjtqG,2024-01-01 20:55:30,30,1200000,493585.2,706414.8,132000.0,1332000.0
NTJL1A94C70C1960,TOKOu8EU,TOKOk3CZ,2024-01-01 13:06:32,6,240000,98717.04000000001,141282.96,26400.0,266400.0
NTJLA7357BD232E4,TOKOu8EU,TOKOk3CZ,2024-01-01 20:10:22,26,1040000,427773.84,612226.1599999999,114400.0,1154400.0
NTJL160103AB3532,TOKOeLig,TOKOeLig,2024-01-01 13:41:56,27,891000,774735.3,116264.69999999995,98010.0,989010.0
NTJLC0BFB77E23F9,TOKOeLig,TOKOeLig,2024-01-01 20:06:15,11,363000,315632.9,47367.09999999998,39930.0,402930.0
NTJLF10CA27CB782,TOKOeLig,TOKOeLig,2024-01-01 16:36:34,11,363000,315632.9,47367.09999999998,39930.0,402930.0
NTJL91B0198B3FC8,TOKOeLig,TOKOeLig,2024-01-01 16:44:46,12,396000,344326.80000000005,51673.19999999995,43560.0,439560.0
NTJL67B2E61699FB,TOKOrvYu,TOKOjtqG,2024-01-01 20:56:39,26,858000,746041.4,111958.59999999998,94380.0,952380.0
NTJLA608CFEA255F,TOKOrvYu,TOKOjtqG,2024-01-01 12:35:26,10,330000,286939.0,43061.0,36300.0,366300.0
NTJLC141A9DE4289,TOKOrvYu,TOKOjtqG,2024-01-01 19:56:49,19,627000,545184.1,81815.90000000002,68970.0,695970.0
NTJL9D4914961C48,TOKOrvYu,TOKOjtqG,2024-01-01 19:48:25,14,462000,401714.60000000003,60285.399999999965,50820.0,512820.0
NTJL652821C4A4CA,TOKOrvYu,TOKOjtqG,2024-01-01 19:30:38,21,693000,602571.9,90428.09999999998,76230.0,769230.0
NTJL49B9849BDDAC,TOKOu8EU,TOKOk3CZ,2024-01-01 15:55:18,12,396000,344326.80000000005,51673.19999999995,43560.0,439560.0
NTJL0339E7954C1A,TOKOu8EU,TOKOk3CZ,2024-01-01 19:46:14,22,726000,631265.8,94734.19999999995,79860.0,805860.0
NTJL89B92A7511AD,TOKOeLig,TOKOeLig,2024-01-02 16:47:21,6,240000,98717.04000000001,141282.96,26400.0,266400.0
NTJLEC67A0DC056F,TOKOeLig,TOKOeLig,2024-01-02 14:32:51,5,200000,82264.2,117735.8,22000.0,222000.0
NTJLE127CE1DB207,TOKOeLig,TOKOeLig,2024-01-02 18:43:06,5,200000,82264.2,117735.8,22000.0,222000.0
NTJLF5EA78C318E7,TOKOeLig,TOKOeLig,2024-01-02 12:32:08,12,480000,197434.08000000002,282565.92,52800.0,532800.0
NTJL181209D26AE0,TOKOrvYu,TOKOjtqG,2024-01-02 11:55:38,5,200000,82264.2,117735.8,22000.0,222000.0
NTJLFAE3564EBE82,TOKOrvYu,TOKOjtqG,2024-01-02 19:07:21,7,280000,115169.88,164830.12,30800.0,310800.0
NTJL62CEF07F7E89,TOKOrvYu,TOKOjtqG,2024-01-02 13:08:39,17,680000,279698.28,400301.72,74800.0,754800.0
NTJLA423D312E79F,TOKOrvYu,TOKOjtqG,2024-01-02 15:27:22,28,1120000,460679.52,659320.48,123200.0,1243200.0
NTJL56EA8DD91EB1,TOKOu8EU,TOKOk3CZ,2024-01-02 12:38:38,3,120000,49358.520000000004,70641.48,13200.0,133200.0
NTJL3504F81A0BA8,TOKOu8EU,TOKOk3CZ,2024-01-02 19:29:20,14,560000,230339.76,329660.24,61600.0,621600.0
NTJL784597D299D2,TOKOu8EU,TOKOk3CZ,2024-01-02 15:48:08,22,880000,361962.48,518037.52,96800.0,976800.0
NTJLCE9B8C7B0AA4,TOKOu8EU,TOKOk3CZ,2024-01-02 14:13:23,17,680000,279698.28,400301.72,74800.0,754800.0
NTJL171C22A4B4F4,TOKOu8EU,TOKOk3CZ,2024-01-02 17:50:35,30,1200000,493585.2,706414.8,132000.0,1332000.0
NTJLC4438028F722,TOKOeLig,TOKOeLig,2024-01-02 18:39:37,26,858000,746041.4,111958.59999999998,94380.0,952380.0
NTJL69447ECCA935,TOKOeLig,TOKOeLig,2024-01-02 15:50:58,23,759000,659959.7000000001,99040.29999999993,83490.0,842490.0
NTJL3E4D95803BF0,TOKOeLig,TOKOeLig,2024-01-02 12:21:18,19,627000,545184.1,81815.90000000002,68970.0,695970.0
NTJL7F669CFDA78E,TOKOeLig,TOKOeLig,2024-01-02 11:52:29,24,792000,688653.6000000001,103346.3999999999,87120.0,879120.0
NTJL92B17BA6685C,TOKOeLig,TOKOeLig,2024-01-02 12:03:12,25,825000,717347.5,107652.5,90750.0,915750.0
NTJLC2C89B99FD40,TOKOrvYu,TOKOjtqG,2024-01-02 15:44:07,11,363000,315632.9,47367.09999999998,39930.0,402930.0
NTJL35EAAB1089FB,TOKOrvYu,TOKOjtqG,2024-01-02 16:35:30,1,33000,28693.9,4306.0999999999985,3630.0,36630.0
NTJLD01536DA043C,TOKOrvYu,TOKOjtqG,2024-01-02 12:37:54,19,627000,545184.1,81815.90000000002,68970.0,695970.0
NTJL35EDEA409F14,TOKOrvYu,TOKOjtqG,2024-01-02 18:32:27,18,594000,516490.2,77509.79999999999,65340.0,659340.0
NTJLC4685276F8B7,TOKOrvYu,TOKOjtqG,2024-01-02 11:36:41,2,66000,57387.8,8612.199999999997,7260.0,73260.0
NTJL8DE728064ED7,TOKOu8EU,TOKOk3CZ,2024-01-02 19:08:20,21,693000,602571.9,90428.09999999998,76230.0,769230.0
NTJL672D1633D11F,TOKOu8EU,TOKOk3CZ,2024-01-02 16:40:59,30,990000,860817.0,129183.0,108900.0,1098900.0
NTJLFD1E796243A0,TOKOeLig,TOKOeLig,2024-01-03 17:06:49,19,760000,312603.96,447396.04,83600.0,843600.0
NTJLFD35732578A1,TOKOeLig,TOKOeLig,2024-01-03 20:05:43,22,880000,361962.48,518037.52,96800.0,976800.0
NTJLD2C0AF913DF1,TOKOrvYu,TOKOjtqG,2024-01-03 14:36:27,30,1200000,493585.2,706414.8,132000.0,1332000.0
NTJLC02DA21D4F73,TOKOrvYu,TOKOjtqG,2024-01-03 11:59:32,29,1160000,477132.36,682867.64,127600.0,1287600.0
NTJLFF4CAC52EDAD,TOKOu8EU,TOKOk3CZ,2024-01-03 20:31:04,6,240000,98717.04000000001,141282.96,26400.0,266400.0
NTJL52C9FE544EA4,TOKOu8EU,TOKOk3CZ,2024-01-03 13:55:51,21,840000,345509.64,494490.36,92400.0,932400.0
NTJLACAF7756757C,TOKOu8EU,TOKOk3CZ,2024-01-03 16:04:35,20,800000,329056.8,470943.2,88000.0,888000.0
NTJLFCCAA5861DA5,TOKOu8EU,TOKOk3CZ,2024-01-03 13:46:26,19,760000,312603.96,447396.04,83600.0,843600.0
NTJL4F1A17335D70,TOKOeLig,TOKOeLig,2024-01-03 16:43:57,29,957000,832123.1000000001,124876.8999999999,105270.0,1062270.0
NTJLD7610C9343E3,TOKOeLig,TOKOeLig,2024-01-03 18:19:14,13,429000,373020.7,55979.29999999999,47190.0,476190.0
NTJL17138A14BCDC,TOKOeLig,TOKOeLig,2024-01-03 20:54:37,9,297000,258245.1,38754.899999999994,32670.0,329670.0
NTJLC97FA626C485,TOKOeLig,TOKOeLig,2024-01-03 11:59:57,25,825000,717347.5,107652.5,90750.0,915750.0
NTJLBAADF23BB042,TOKOeLig,TOKOeLig,2024-01-03 18:48:18,11,363000,315632.9,47367.09999999998,39930.0,402930.0
NTJL0364B6255D8B,TOKOrvYu,TOKOjtqG,2024-01-03 16:37:19,27,891000,774735.3,116264.69999999995,98010.0,989010.0
NTJLB90774BDA64C,TOKOrvYu,TOKOjtqG,2024-01-03 18:48:07,3,99000,86081.70000000001,12918.299999999988,10890.0,109890.0
NTJLBCBAD55A6F04,TOKOrvYu,TOKOjtqG,2024-01-03 11:25:10,15,495000,430408.5,64591.5,54450.0,549450.0
NTJLEA93D34CCB17,TOKOrvYu,TOKOjtqG,2024-01-03 11:24:15,6,198000,172163.40000000002,25836.599999999977,21780.0,219780.0
NTJLFBDAA2E8E4B1,TOKOrvYu,TOKOjtqG,2024-01-03 19:43:58,1,33000,28693.9,4306.0999999999985,3630.0,36630.0
NTJL96C76FD01F8B,TOKOu8EU,TOKOk3CZ,2024-01-03 17:21:46,14,462000,401714.60000000003,60285.399999999965,50820.0,512820.0
NTJLEA48424D44C1,TOKOu8EU,TOKOk3CZ,2024-01-03 15:17:10,8,264000,229551.2,34448.79999999999,29040.0,293040.0
NTJL893EDA393926,TOKOu8EU,TOKOk3CZ,2024-01-03 12:40:20,23,759000,659959.7000000001,99040.29999999993,83490.0,842490.0
NTJLE064815CD3CC,TOKOu8EU,TOKOk3CZ,2024-01-03 20:52:42,20,660000,573878.0,86122.0,72600.0,732600.0
NTJL2EFD712DCF33,TOKOeLig,TOKOeLig,2024-01-04 13:06:31,15,600000,246792.6,353207.4,66000.0,666000.0
NTJLA761016824DF,TOKOeLig,TOKOeLig,2024-01-04 15:12:00,20,800000,329056.8,470943.2,88000.0,888000.0
NTJLAB434DC0FE18,TOKOeLig,TOKOeLig,2024-01-04 13:32:05,1,40000,16452.84,23547.16,4400.0,44400.0
NTJL91B6F2870F17,TOKOeLig,TOKOeLig,2024-01-04 11:33:08,15,600000,246792.6,353207.4,66000.0,666000.0
NTJL4D04B2F2840E,TOKOrvYu,TOKOjtqG,2024-01-04 14:15:17,25,1000000,411321.0,588679.0,110000.0,1110000.0
NTJL1D6E61A6D4DA,TOKOrvYu,TOKOjtqG,2024-01-04 15:53:03,14,560000,230339.76,329660.24,61600.0,621600.0
NTJLEF8EB7AAACD5,TOKOrvYu,TOKOjtqG,2024-01-04 11:36:30,13,520000,213886.92,306113.07999999996,57200.0,577200.0
NTJL03F04A96BA8D,TOKOrvYu,TOKOjtqG,2024-01-04 18:06:34,16,640000,263245.44,376754.56,70400.0,710400.0
NTJL596B312BCDEC,TOKOrvYu,TOKOjtqG,2024-01-04 19:59:50,6,240000,98717.04000000001,141282.96,26400.0,266400.0
NTJL0BC06A4FAA46,TOKOu8EU,TOKOk3CZ,2024-01-04 12:58:15,18,720000,296151.12,423848.88,79200.0,799200.0
NTJLCB72AE53F087,TOKOu8EU,TOKOk3CZ,2024-01-04 20:29:10,25,1000000,411321.0,588679.0,110000.0,1110000.0
NTJLF07A52AA7C91,TOKOu8EU,TOKOk3CZ,2024-01-04 13:38:53,18,720000,296151.12,423848.88,79200.0,799200.0
NTJL7EEDCB704369,TOKOeLig,TOKOeLig,2024-01-04 19:07:48,22,726000,638419.9775280899,87580.02247191011,79860.0,805860.0
NTJLB2AB625E4B75,TOKOeLig,TOKOeLig,2024-01-04 12:48:05,29,957000,841553.6067415731,115446.39325842692,105270.0,1062270.0
NTJL052F3B5D62F5,TOKOeLig,TOKOeLig,2024-01-04 11:34:14,9,297000,261171.80898876404,35828.19101123596,32670.0,329670.0
NTJLD40E7F239B72,TOKOrvYu,TOKOjtqG,2024-01-04 15:56:17,2,66000,58038.1797752809,7961.8202247191,7260.0,73260.0
NTJL639441FDCDD5,TOKOrvYu,TOKOjtqG,2024-01-04 20:19:44,24,792000,696458.1573033708,95541.84269662923,87120.0,879120.0
NTJLADC1C1FB1A72,TOKOrvYu,TOKOjtqG,2024-01-04 18:02:30,24,792000,696458.1573033708,95541.84269662923,87120.0,879120.0
NTJL5AB88C4F1010,TOKOrvYu,TOKOjtqG,2024-01-04 15:47:11,20,660000,580381.797752809,79618.20224719099,72600.0,732600.0
NTJL38E4656A88AF,TOKOu8EU,TOKOk3CZ,2024-01-04 14:36:10,12,396000,348229.0786516854,47770.921348314616,43560.0,439560.0
NTJL7B789E04BDD4,TOKOu8EU,TOKOk3CZ,2024-01-04 14:17:41,18,594000,522343.6179775281,71656.38202247192,65340.0,659340.0
NTJL1BB4971EE536,TOKOu8EU,TOKOk3CZ,2024-01-04 16:08:28,13,429000,377248.1685393258,51751.83146067418,47190.0,476190.0
NTJL3BB9D1056760,TOKOeLig,TOKOeLig,2024-01-05 14:13:17,9,360000,148075.56,211924.44,39600.0,399600.0
NTJLD987C59C0B1E,TOKOeLig,TOKOeLig,2024-01-05 14:04:20,3,120000,49358.520000000004,70641.48,13200.0,133200.0
NTJLFBAA2623071D,TOKOeLig,TOKOeLig,2024-01-05 18:43:12,20,800000,329056.8,470943.2,88000.0,888000.0
NTJLC2637037E778,TOKOeLig,TOKOeLig,2024-01-05 20:45:42,10,400000,164528.4,235471.6,44000.0,444000.0
NTJL40020A59C76A,TOKOrvYu,TOKOjtqG,2024-01-05 15:25:26,13,520000,213886.92,306113.07999999996,57200.0,577200.0
NTJL437935CB730D,TOKOrvYu,TOKOjtqG,2024-01-05 18:25:15,26,1040000,427773.84,612226.1599999999,114400.0,1154400.0
NTJLB957977F2E42,TOKOu8EU,TOKOk3CZ,2024-01-05 18:28:34,20,800000,329056.8,470943.2,88000.0,888000.0
NTJLEE2BBBAF1B99,TOKOu8EU,TOKOk3CZ,2024-01-05 11:50:41,2,80000,32905.68,47094.32,8800.0,88800.0
