KD_BARANG,KD_LOKASI,UPDATED_BY,JUMLAH_BARANG,JUMLAH_MIN_STOCK,JUMLAH_MAX_STOCK,SATUAN,LAST_UPDATED
0qiaT6r5h6tx1vG5,GDNGj825,GDNGj825,61,30,100,DUS,2025-12-17 17:06:52
0qiaT6r5h6tx1vG5,TOKOeLig,TOKOeLig,159,50,200,PIECES,2025-12-17 17:06:52
0qiaT6r5h6tx1vG5,TOKOjtqG,TOKOrvYu,116,50,200,PIECES,2025-12-17 17:06:52
0qiaT6r5h6tx1vG5,TOKOk3CZ,TOKOu8EU,92,50,200,PIECES,2025-12-17 17:06:52
3SMMLSAekpQ7YHBm,GDNGj825,GDNGj825,37,30,100,DUS,2025-12-17 17:06:52
3SMMLSAekpQ7YHBm,TOKOeLig,TOKOeLig,56,50,200,PIECES,2025-12-17 17:06:52
3SMMLSAekpQ7YHBm,TOKOjtqG,TOKOrvYu,161,50,200,PIECES,2025-12-17 17:06:52
3SMMLSAekpQ7YHBm,TOKOk3CZ,TOKOu8EU,79,50,200,PIECES,2025-12-17 17:06:52
4eJNEAcagseDtEgc,GDNGj825,GDNGj825,54,30,100,DUS,2025-12-17 17:06:52
4eJNEAcagseDtEgc,TOKOeLig,TOKOeLig,96,50,200,PIECES,2025-12-17 17:06:52
4eJNEAcagseDtEgc,TOKOjtqG,TOKOrvYu,94,50,200,PIECES,2025-12-17 17:06:52
4eJNEAcagseDtEgc,TOKOk3CZ,TOKOu8EU,51,50,200,PIECES,2025-12-17 17:06:52
5FkHT4Mzbx4W5kQE,GDNGj825,GDNGj825,61,30,100,DUS,2025-12-17 17:06:52
5FkHT4Mzbx4W5kQE,TOKOeLig,TOKOeLig,56,50,200,PIECES,2025-12-17 17:06:52
5FkHT4Mzbx4W5kQE,TOKOjtqG,TOKOrvYu,124,50,200,PIECES,2025-12-17 17:06:52
5FkHT4Mzbx4W5kQE,TOKOk3CZ,TOKOu8EU,88,50,200,PIECES,2025-12-17 17:06:52
5trjzMBdbhei4ZJY,GDNGj825,GDNGj825,48,30,100,DUS,2025-12-17 17:06:52
5trjzMBdbhei4ZJY,TOKOeLig,TOKOeLig,129,50,200,PIECES,2025-12-17 17:06:52
5trjzMBdbhei4ZJY,TOKOjtqG,TOKOrvYu,104,50,200,PIECES,2025-12-17 17:06:52
5trjzMBdbhei4ZJY,TOKOk3CZ,TOKOu8EU,203,50,200,PIECES,2025-12-17 17:06:52
6HYQiMz32fakk4k7,GDNGj825,GDNGj825,61,30,100,DUS,2025-12-17 17:06:52
6HYQiMz32fakk4k7,TOKOeLig,TOKOeLig,173,50,200,PIECES,2025-12-17 17:06:52
6HYQiMz32fakk4k7,TOKOjtqG,TOKOrvYu,143,50,200,PIECES,2025-12-17 17:06:52
6HYQiMz32fakk4k7,TOKOk3CZ,TOKOu8EU,133,50,200,PIECES,2025-12-17 17:06:52
7hvrUALJk9fW53Uw,GDNGj825,GDNGj825,61,30,100,DUS,2025-12-17 17:06:52
7hvrUALJk9fW53Uw,TOKOeLig,TOKOeLig,68,50,200,PIECES,2025-12-17 17:06:52
7hvrUALJk9fW53Uw,TOKOjtqG,TOKOrvYu,66,50,200,PIECES,2025-12-17 17:06:52
7hvrUALJk9fW53Uw,TOKOk3CZ,TOKOu8EU,144,50,200,PIECES,2025-12-17 17:06:52
7KHAaDZe1ncb5PxZ,GDNGj825,GDNGj825,61,30,100,DUS,2025-12-17 17:06:52
7KHAaDZe1ncb5PxZ,TOKOeLig,TOKOeLig,51,50,200,PIECES,2025-12-17 17:06:52
7KHAaDZe1ncb5PxZ,TOKOjtqG,TOKOrvYu,112,50,200,PIECES,2025-12-17 17:06:52
7KHAaDZe1ncb5PxZ,TOKOk3CZ,TOKOu8EU,183,50,200,PIECES,2025-12-17 17:06:52
8e0exsihhJ5vyw4R,GDNGj825,GDNGj825,48,30,100,DUS,2025-12-17 17:06:52
8e0exsihhJ5vyw4R,TOKOeLig,TOKOeLig,90,50,200,PIECES,2025-12-17 17:06:52
8e0exsihhJ5vyw4R,TOKOjtqG,TOKOrvYu,173,50,200,PIECES,2025-12-17 17:06:52
8e0exsihhJ5vyw4R,TOKOk3CZ,TOKOu8EU,166,50,200,PIECES,2025-12-17 17:06:52
abPg4AgMfBYJQFbY,GDNGj825,GDNGj825,48,30,100,DUS,2025-12-17 17:06:52
abPg4AgMfBYJQFbY,TOKOeLig,TOKOeLig,197,50,200,PIECES,2025-12-17 17:06:52
abPg4AgMfBYJQFbY,TOKOjtqG,TOKOrvYu,163,50,200,PIECES,2025-12-17 17:06:52
abPg4AgMfBYJQFbY,TOKOk3CZ,TOKOu8EU,172,50,200,PIECES,2025-12-17 17:06:52
BmQgQAmDbUifCNkp,GDNGj825,GDNGj825,48,30,100,DUS,2025-12-17 17:06:52
BmQgQAmDbUifCNkp,TOKOeLig,TOKOeLig,178,50,200,PIECES,2025-12-17 17:06:52
BmQgQAmDbUifCNkp,TOKOjtqG,TOKOrvYu,160,50,200,PIECES,2025-12-17 17:06:52
BmQgQAmDbUifCNkp,TOKOk3CZ,TOKOu8EU,54,50,200,PIECES,2025-12-17 17:06:52
bSqgiWf3hbrwBtn8,GDNGj825,GDNGj825,53,30,100,DUS,2025-12-17 17:06:52
bSqgiWf3hbrwBtn8,TOKOeLig,TOKOeLig,66,50,200,PIECES,2025-12-17 17:06:52
bSqgiWf3hbrwBtn8,TOKOjtqG,TOKOrvYu,85,50,200,PIECES,2025-12-17 17:06:52
bSqgiWf3hbrwBtn8,TOKOk3CZ,TOKOu8EU,91,50,200,PIECES,2025-12-17 17:06:52
cJR1HX6NcEBkvQa9,GDNGj825,GDNGj825,48,30,100,DUS,2025-12-17 17:06:52
cJR1HX6NcEBkvQa9,TOKOeLig,TOKOeLig,203,50,200,PIECES,2025-12-17 17:06:52
cJR1HX6NcEBkvQa9,TOKOjtqG,TOKOrvYu,101,50,200,PIECES,2025-12-17 17:06:52
cJR1HX6NcEBkvQa9,TOKOk3CZ,TOKOu8EU,134,50,200,PIECES,2025-12-17 17:06:52
d7d7HhD0d8c4B1aT,GDNGj825,GDNGj825,37,30,100,DUS,2025-12-17 17:06:52
d7d7HhD0d8c4B1aT,TOKOeLig,TOKOeLig,75,50,200,PIECES,2025-12-17 17:06:52
d7d7HhD0d8c4B1aT,TOKOjtqG,TOKOrvYu,57,50,200,PIECES,2025-12-17 17:06:52
d7d7HhD0d8c4B1aT,TOKOk3CZ,TOKOu8EU,126,50,200,PIECES,2025-12-17 17:06:52
dQVmWBpb4rAtaFyX,GDNGj825,GDNGj825,48,30,100,DUS,2025-12-17 17:06:52
dQVmWBpb4rAtaFyX,TOKOeLig,TOKOeLig,101,50,200,PIECES,2025-12-17 17:06:52
dQVmWBpb4rAtaFyX,TOKOjtqG,TOKOrvYu,104,50,200,PIECES,2025-12-17 17:06:52
dQVmWBpb4rAtaFyX,TOKOk3CZ,TOKOu8EU,61,50,200,PIECES,2025-12-17 17:06:52
EipfpEa23tx29rxA,GDNGj825,GDNGj825,61,30,100,DUS,2025-12-17 17:06:52
EipfpEa23tx29rxA,TOKOeLig,TOKOeLig,148,50,200,PIECES,2025-12-17 17:06:52
EipfpEa23tx29rxA,TOKOjtqG,TOKOrvYu,118,50,200,PIECES,2025-12-17 17:06:52
EipfpEa23tx29rxA,TOKOk3CZ,TOKOu8EU,73,50,200,PIECES,2025-12-17 17:06:52
fEuFwvHHggEZGAuM,GDNGj825,GDNGj825,61,30,100,DUS,2025-12-17 17:06:52
fEuFwvHHggEZGAuM,TOKOeLig,TOKOeLig,181,50,200,PIECES,2025-12-17 17:06:52
fEuFwvHHggEZGAuM,TOKOjtqG,TOKOrvYu,195,50,200,PIECES,2025-12-17 17:06:52
fEuFwvHHggEZGAuM,TOKOk3CZ,TOKOu8EU,101,50,200,PIECES,2025-12-17 17:06:52
hrzWDaube4kT8Hra,GDNGj825,GDNGj825,61,30,100,DUS,2025-12-17 17:06:52
hrzWDaube4kT8Hra,TOKOeLig,TOKOeLig,60,50,200,PIECES,2025-12-17 17:06:52
hrzWDaube4kT8Hra,TOKOjtqG,TOKOrvYu,174,50,200,PIECES,2025-12-17 17:06:52
hrzWDaube4kT8Hra,TOKOk3CZ,TOKOu8EU,53,50,200,PIECES,2025-12-17 17:06:52
i4nFqC8PgEZEHQYc,GDNGj825,GDNGj825,48,30,100,DUS,2025-12-17 17:06:52
i4nFqC8PgEZEHQYc,TOKOeLig,TOKOeLig,123,50,200,PIECES,2025-12-17 17:06:52
i4nFqC8PgEZEHQYc,TOKOjtqG,TOKOrvYu,121,50,200,PIECES,2025-12-17 17:06:52
i4nFqC8PgEZEHQYc,TOKOk3CZ,TOKOu8EU,165,50,200,PIECES,2025-12-17 17:06:52
iMq19Qq7ccrK2mMe,GDNGj825,GDNGj825,37,30,100,DUS,2025-12-17 17:06:52
iMq19Qq7ccrK2mMe,TOKOeLig,TOKOeLig,56,50,200,PIECES,2025-12-17 17:06:52
iMq19Qq7ccrK2mMe,TOKOjtqG,TOKOrvYu,110,50,200,PIECES,2025-12-17 17:06:52
iMq19Qq7ccrK2mMe,TOKOk3CZ,TOKOu8EU,96,50,200,PIECES,2025-12-17 17:06:52
jgdV5NWf41WKmiHb,GDNGj825,GDNGj825,61,30,100,DUS,2025-12-17 17:06:52
jgdV5NWf41WKmiHb,TOKOeLig,TOKOeLig,117,50,200,PIECES,2025-12-17 17:06:52
jgdV5NWf41WKmiHb,TOKOjtqG,TOKOrvYu,133,50,200,PIECES,2025-12-17 17:06:52
jgdV5NWf41WKmiHb,TOKOk3CZ,TOKOu8EU,60,50,200,PIECES,2025-12-17 17:06:52
MAcpqAYAjxhGyScJ,GDNGj825,GDNGj825,48,30,100,DUS,2025-12-17 17:06:52
MAcpqAYAjxhGyScJ,TOKOeLig,TOKOeLig,141,50,200,PIECES,2025-12-17 17:06:52
MAcpqAYAjxhGyScJ,TOKOjtqG,TOKOrvYu,168,50,200,PIECES,2025-12-17 17:06:52
MAcpqAYAjxhGyScJ,TOKOk3CZ,TOKOu8EU,203,50,200,PIECES,2025-12-17 17:06:52
mh560H4Z4RpSFTnz,GDNGj825,GDNGj825,74,30,100,DUS,2025-12-17 17:06:52
mh560H4Z4RpSFTnz,TOKOeLig,TOKOeLig,97,50,200,PIECES,2025-12-17 17:06:52
mh560H4Z4RpSFTnz,TOKOjtqG,TOKOrvYu,82,50,200,PIECES,2025-12-17 17:06:52
