ID_HISTORY_STOCK,KD_BARANG,KD_LOKASI,UPDATED_BY,JUMLAH_AWAL,JUMLAH_PERUBAHAN,JUMLAH_AKHIR,TIPE_PERUBAHAN,REF,SATUAN,WAKTU_CHANGE
SKHY709769CEB761,4aCSBjQPd3TzFd90,GDNGj825,GDNGj825,0,200,200,PEMESANAN,PSBG7E3B8AB5E284,DUS,2023-12-30 08:43:34
SKHYE86E40931A2C,W8r1LuGwd932W3Zq,GDNGj825,GDNGj825,0,100,100,PEMESANAN,PSBG66425DCCAD2D,DUS,2023-12-30 18:49:34
SKHY0A76625A983F,4aCSBjQPd3TzFd90,GDNGj825,GDNGj825,200,-40,160,TRANSFER,TRFRD8FA68802BF1,DUS,2024-01-01 08:04:00
SKHY8994BEFAB4A1,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,0,1000,1000,TRANSFER,TRFRD8FA68802BF1,PIECES,2024-01-01 08:05:00
SKHY785B937E3C77,4aCSBjQPd3TzFd90,GDNGj825,GDNGj825,160,-40,120,TRANSFER,TRFR8E39F43B5028,DUS,2024-01-01 08:16:00
SKHY1A3ED6F551FF,4aCSBjQPd3TzFd90,TOKOk3CZ,TOKOu8EU,0,1000,1000,TRANSFER,TRFR8E39F43B5028,PIECES,2024-01-01 08:18:00
SKHYA99815F6FC22,W8r1LuGwd932W3Zq,GDNGj825,GDNGj825,100,-20,80,TRANSFER,TRFRA4330C80F0D3,DUS,2024-01-01 08:18:00
SKHY0092ABB5B638,W8r1LuGwd932W3Zq,TOKOk3CZ,TOKOu8EU,0,200,200,TRANSFER,TRFRA4330C80F0D3,PIECES,2024-01-01 08:23:00
SKHYC194F3A93CAB,W8r1LuGwd932W3Zq,GDNGj825,GDNGj825,80,-20,60,TRANSFER,TRFR7524567D2B78,DUS,2024-01-01 08:42:00
SKHY754569D6A335,W8r1LuGwd932W3Zq,TOKOjtqG,TOKOrvYu,0,200,200,TRANSFER,TRFR7524567D2B78,PIECES,2024-01-01 08:44:00
SKHY401B1E9FC7F2,4aCSBjQPd3TzFd90,GDNGj825,GDNGj825,120,-40,80,TRANSFER,TRFR1A47CAF5FD5E,DUS,2024-01-01 09:23:00
SKHY7B752957F8C2,4aCSBjQPd3TzFd90,TOKOjtqG,TOKOrvYu,0,1000,1000,TRANSFER,TRFR1A47CAF5FD5E,PIECES,2024-01-01 09:27:00
SKHY66650E5073EE,W8r1LuGwd932W3Zq,GDNGj825,GDNGj825,60,-20,40,TRANSFER,TRFRC1FB1B1AE5F7,DUS,2024-01-01 09:33:00
