ID_TRANSFER_BARANG,ID_USERS_PENGIRIM,ID_USERS_PENERIMA,KD_LOKASI_ASAL,KD_LOKASI_TUJUAN,WAKTU_PESAN_TRANSFER,WAKTU_KIRIM_TRANSFER,WAKTU_SELESAI_TRANSFER,STATUS
TRFRB938D1E3B6CA,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 08:56:00,2024-01-01 09:56:00,2024-01-01 10:56:00,SELESAI
TRFRAA12A5676E64,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 08:12:00,2024-01-01 09:12:00,2024-01-01 10:12:00,SELESAI
TRFRF326CBE47241,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 06:42:00,2024-01-01 07:42:00,2024-01-01 08:42:00,SELESAI
TRFRD882B764E838,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 08:53:00,2024-01-01 09:53:00,2024-01-01 10:53:00,SELESAI
TRFR18D45915F894,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 06:23:00,2024-01-01 07:23:00,2024-01-01 08:23:00,SELESAI
TRFRCF63F555F9D9,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 06:42:00,2024-01-01 07:42:00,2024-01-01 08:42:00,SELESAI
TRFR6B4E3B5F0D54,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 08:44:00,2024-01-01 09:44:00,2024-01-01 10:44:00,SELESAI
TRFR94A649BD13C5,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 06:43:00,2024-01-01 07:43:00,2024-01-01 08:43:00,SELESAI
TRFR14CD2A0EC3C6,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 06:14:00,2024-01-01 07:14:00,2024-01-01 08:14:00,SELESAI
TRFR11DC5C669C7F,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 08:29:00,2024-01-01 09:29:00,2024-01-01 10:29:00,SELESAI
TRFREF3C9FC11481,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 07:08:00,2024-01-01 08:08:00,2024-01-01 09:08:00,SELESAI
TRFR5F6B8C3BCC56,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 08:35:00,2024-01-01 09:35:00,2024-01-01 10:35:00,SELESAI
TRFR6ED85147A53A,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 08:27:00,2024-01-01 09:27:00,2024-01-01 10:27:00,SELESAI
TRFRF90ED90D3CC5,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 06:24:00,2024-01-01 07:24:00,2024-01-01 08:24:00,SELESAI
TRFR430D507D2155,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 08:29:00,2024-01-01 09:29:00,2024-01-01 10:29:00,SELESAI
TRFRB33CA6A7D47E,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 08:16:00,2024-01-01 09:16:00,2024-01-01 10:16:00,SELESAI
TRFRD3F3796C8812,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 06:32:00,2024-01-01 07:32:00,2024-01-01 08:32:00,SELESAI
TRFR327BB8F5C264,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 08:19:00,2024-01-01 09:19:00,2024-01-01 10:19:00,SELESAI
TRFRF75B3B7F0931,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 06:59:00,2024-01-01 07:59:00,2024-01-01 08:59:00,SELESAI
TRFR8A47D22C4A88,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 07:15:00,2024-01-01 08:15:00,2024-01-01 09:15:00,SELESAI
TRFR43F49054DBAF,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 06:56:00,2024-01-01 07:56:00,2024-01-01 08:56:00,SELESAI
TRFRAB6A1D7D77A3,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 07:33:00,2024-01-01 08:33:00,2024-01-01 09:33:00,SELESAI
TRFRCD0620F181CD,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 07:13:00,2024-01-01 08:13:00,2024-01-01 09:13:00,SELESAI
TRFRF2F37B9F75AF,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 08:44:00,2024-01-01 09:44:00,2024-01-01 10:44:00,SELESAI
TRFR051E7389D63E,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 06:00:00,2024-01-01 07:00:00,2024-01-01 08:00:00,SELESAI
TRFR2D8B350202D0,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 08:40:00,2024-01-01 09:40:00,2024-01-01 10:40:00,SELESAI
TRFR5694EC0664C9,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 06:04:00,2024-01-01 07:04:00,2024-01-01 08:04:00,SELESAI
TRFRB5A9518D279C,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 06:06:00,2024-01-01 07:06:00,2024-01-01 08:06:00,SELESAI
TRFR43F1E7DBCA76,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 08:27:00,2024-01-01 09:27:00,2024-01-01 10:27:00,SELESAI
TRFR1A543BE15F92,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 07:26:00,2024-01-01 08:26:00,2024-01-01 09:26:00,SELESAI
TRFRB0E2A57D0BB6,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 07:29:00,2024-01-01 08:29:00,2024-01-01 09:29:00,SELESAI
TRFRCDA50ECE2BA6,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 06:28:00,2024-01-01 07:28:00,2024-01-01 08:28:00,SELESAI
TRFR0DAB1DB790B3,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 06:03:00,2024-01-01 07:03:00,2024-01-01 08:03:00,SELESAI
TRFRFDA7A2BE0091,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 07:13:00,2024-01-01 08:13:00,2024-01-01 09:13:00,SELESAI
TRFR15B7BDBDF14E,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 06:10:00,2024-01-01 07:10:00,2024-01-01 08:10:00,SELESAI
TRFR90EC824CD5BA,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 06:24:00,2024-01-01 07:24:00,2024-01-01 08:24:00,SELESAI
TRFRE637E3E6123C,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 06:47:00,2024-01-01 07:47:00,2024-01-01 08:47:00,SELESAI
TRFRF98DB8F3BC43,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 06:03:00,2024-01-01 07:03:00,2024-01-01 08:03:00,SELESAI
TRFR35F82D8D93AB,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 07:32:00,2024-01-01 08:32:00,2024-01-01 09:32:00,SELESAI
TRFRAA755094C345,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 07:42:00,2024-01-01 08:42:00,2024-01-01 09:42:00,SELESAI
TRFR60B3F73368E0,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-01 08:33:00,2024-01-01 09:33:00,2024-01-01 10:33:00,SELESAI
TRFRC4D3E107C3CC,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 07:13:00,2024-01-01 08:13:00,2024-01-01 09:13:00,SELESAI
