ID_DNJB,KD_BARANG,ID_NOTA_JUAL,JUMLAH_JUAL_BARANG,HARGA_JUAL_BARANG,TOTAL_JUAL_UANG,HARGA_BELI_BARANG,TOTAL_BELI_UANG
DNJB000001,4aCSBjQPd3TzFd90,NOTA000001,23,15000,345000,4848.68,111519.64000000001
DNJB000002,4aCSBjQPd3TzFd90,NOTA000002,3,15000,45000,4848.68,14546.04
DNJB000003,4aCSBjQPd3TzFd90,NOTA000003,27,15000,405000,4848.68,130914.36000000002
DNJB000004,4aCSBjQPd3TzFd90,NOTA000004,30,15000,450000,4848.68,145460.40000000002
DNJB000005,4aCSBjQPd3TzFd90,NOTA000005,7,15000,105000,4848.68,33940.76
DNJB000006,4aCSBjQPd3TzFd90,NOTA000006,22,15000,330000,4848.68,106670.96
DNJB000007,4aCSBjQPd3TzFd90,NOTA000007,28,15000,420000,4848.68,135763.04
DNJB000008,4aCSBjQPd3TzFd90,NOTA000008,5,15000,75000,4848.68,24243.4
DNJB000009,4aCSBjQPd3TzFd90,NOTA000009,25,15000,375000,4848.68,121217.0
DNJB000010,4aCSBjQPd3TzFd90,NOTA000010,14,15000,210000,4848.68,67881.52
DNJB000011,4aCSBjQPd3TzFd90,NOTA000011,7,15000,105000,4848.68,33940.76
DNJB000012,4aCSBjQPd3TzFd90,NOTA000012,18,15000,270000,4848.68,87276.24
DNJB000013,4aCSBjQPd3TzFd90,NOTA000013,21,15000,315000,4848.68,101822.28
DNJB000014,4aCSBjQPd3TzFd90,NOTA000014,27,15000,405000,4848.68,130914.36000000002
DNJB000015,4aCSBjQPd3TzFd90,NOTA000015,20,15000,300000,4848.68,96973.6
DNJB000016,4aCSBjQPd3TzFd90,NOTA000016,3,15000,45000,4848.68,14546.04
DNJB000017,4aCSBjQPd3TzFd90,NOTA000017,8,15000,120000,4848.68,38789.44
DNJB000018,4aCSBjQPd3TzFd90,NOTA000018,11,15000,165000,4848.68,53335.48
DNJB000019,4aCSBjQPd3TzFd90,NOTA000019,8,15000,120000,4848.68,38789.44
DNJB000020,4aCSBjQPd3TzFd90,NOTA000020,25,15000,375000,4848.68,121217.0
DNJB000021,4aCSBjQPd3TzFd90,NOTA000021,11,15000,165000,4848.68,53335.48
DNJB000022,4aCSBjQPd3TzFd90,NOTA000022,14,15000,210000,4848.68,67881.52
DNJB000023,4aCSBjQPd3TzFd90,NOTA000023,6,15000,90000,4848.68,29092.08
DNJB000024,4aCSBjQPd3TzFd90,NOTA000024,9,15000,135000,4848.68,43638.12
DNJB000025,4aCSBjQPd3TzFd90,NOTA000025,11,15000,165000,4848.68,53335.48
DNJB000026,4aCSBjQPd3TzFd90,NOTA000026,6,15000,90000,4848.68,29092.08
DNJB000027,4aCSBjQPd3TzFd90,NOTA000027,5,15000,75000,4848.68,24243.4
DNJB000028,4aCSBjQPd3TzFd90,NOTA000028,10,15000,150000,4848.68,48486.8
DNJB000029,4aCSBjQPd3TzFd90,NOTA000029,4,15000,60000,4848.68,19394.72
DNJB000030,4aCSBjQPd3TzFd90,NOTA000030,24,15000,360000,4848.68,116368.32
DNJB000031,4aCSBjQPd3TzFd90,NOTA000031,14,15000,210000,4848.68,67881.52
DNJB000032,4aCSBjQPd3TzFd90,NOTA000032,26,15000,390000,4848.68,126065.68000000001
DNJB000033,4aCSBjQPd3TzFd90,NOTA000033,19,15000,285000,4848.68,92124.92000000001
DNJB000034,4aCSBjQPd3TzFd90,NOTA000034,7,15000,105000,4848.68,33940.76
DNJB000035,4aCSBjQPd3TzFd90,NOTA000035,13,15000,195000,4848.68,63032.840000000004
DNJB000036,4aCSBjQPd3TzFd90,NOTA000036,21,15000,315000,4848.68,101822.28
DNJB000037,4aCSBjQPd3TzFd90,NOTA000037,17,15000,255000,4848.68,82427.56
DNJB000038,4aCSBjQPd3TzFd90,NOTA000038,9,15000,135000,4848.68,43638.12
DNJB000039,4aCSBjQPd3TzFd90,NOTA000039,18,15000,270000,4848.68,87276.24
DNJB000040,4aCSBjQPd3TzFd90,NOTA000040,17,15000,255000,4848.68,82427.56
DNJB000041,4aCSBjQPd3TzFd90,NOTA000041,12,15000,180000,4848.68,58184.16
DNJB000042,4aCSBjQPd3TzFd90,NOTA000042,30,15000,450000,4848.68,145460.40000000002
DNJB000043,4aCSBjQPd3TzFd90,NOTA000043,30,15000,450000,4848.68,145460.40000000002
DNJB000044,4aCSBjQPd3TzFd90,NOTA000044,12,15000,180000,4848.68,58184.16
DNJB000045,4aCSBjQPd3TzFd90,NOTA000045,15,15000,225000,4848.68,72730.20000000001
DNJB000046,4aCSBjQPd3TzFd90,NOTA000046,8,15000,120000,4848.68,38789.44
DNJB000047,4aCSBjQPd3TzFd90,NOTA000047,9,15000,135000,4848.68,43638.12
DNJB000048,4aCSBjQPd3TzFd90,NOTA000048,3,15000,45000,4848.68,14546.04
DNJB000049,4aCSBjQPd3TzFd90,NOTA000049,27,15000,405000,4848.68,130914.36000000002
DNJB000050,4aCSBjQPd3TzFd90,NOTA000050,14,15000,210000,4848.68,67881.52
DNJB000051,4aCSBjQPd3TzFd90,NOTA000051,30,15000,450000,4848.68,145460.40000000002
DNJB000052,4aCSBjQPd3TzFd90,NOTA000052,17,15000,255000,4848.68,82427.56
DNJB000053,4aCSBjQPd3TzFd90,NOTA000053,7,15000,105000,4848.68,33940.76
DNJB000054,4aCSBjQPd3TzFd90,NOTA000054,15,15000,225000,4848.68,72730.20000000001
DNJB000055,4aCSBjQPd3TzFd90,NOTA000055,14,15000,210000,4848.68,67881.52
DNJB000056,4aCSBjQPd3TzFd90,NOTA000056,22,15000,330000,4848.68,106670.96
DNJB000057,4aCSBjQPd3TzFd90,NOTA000057,18,15000,270000,4848.68,87276.24
DNJB000058,4aCSBjQPd3TzFd90,NOTA000058,7,15000,105000,4848.68,33940.76
DNJB000059,4aCSBjQPd3TzFd90,NOTA000059,4,15000,60000,4848.68,19394.72
DNJB000060,4aCSBjQPd3TzFd90,NOTA000060,29,15000,435000,4848.68,140611.72
DNJB000061,4aCSBjQPd3TzFd90,NOTA000061,28,15000,420000,4848.68,135763.04
DNJB000062,4aCSBjQPd3TzFd90,NOTA000062,15,15000,225000,4848.68,72730.20000000001
DNJB000063,4aCSBjQPd3TzFd90,NOTA000063,6,15000,90000,4848.68,29092.08
