ID_DETAIL_TRANSFER_BARANG,ID_TRANSFER_BARANG,KD_BARANG,TOTAL_PESAN_TRANSFER_DUS,TOTAL_KIRIM_DUS,TOTAL_TIBA_DUS,TOTAL_DITOLAK_DUS,TOTAL_MASUK_DUS,STATUS
DTL20240101001,TRF20240101001,4aCSBjQPd3TzFd90,37,37,37,0,37,SELESAI
DTL20240103002,TRF20240103002,4aCSBjQPd3TzFd90,13,13,13,0,13,SELESAI
DTL20240106003,TRF20240106003,4aCSBjQPd3TzFd90,21,21,21,0,21,SELESAI
DTL20240108004,TRF20240108004,4aCSBjQPd3TzFd90,23,23,23,0,23,SELESAI
DTL20240110005,TRF20240110005,4aCSBjQPd3TzFd90,21,21,21,0,21,SELESAI
DTL20240112006,TRF20240112006,4aCSBjQPd3TzFd90,30,30,30,0,30,SELESAI
DTL20240115007,TRF20240115007,4aCSBjQPd3TzFd90,16,16,16,0,16,SELESAI
DTL20240119008,TRF20240119008,4aCSBjQPd3TzFd90,11,11,11,0,11,SELESAI
DTL20240123009,TRF20240123009,4aCSBjQPd3TzFd90,12,12,12,0,12,SELESAI
DTL20240125010,TRF20240125010,4aCSBjQPd3TzFd90,15,15,15,0,15,SELESAI
DTL20240128011,TRF20240128011,4aCSBjQPd3TzFd90,29,29,29,0,29,SELESAI
DTL20240131012,TRF20240131012,4aCSBjQPd3TzFd90,11,11,11,0,11,SELESAI
DTL20240202013,TRF20240202013,4aCSBjQPd3TzFd90,19,19,19,0,19,SELESAI
DTL20240205014,TRF20240205014,4aCSBjQPd3TzFd90,22,22,22,0,22,SELESAI
DTL20240207015,TRF20240207015,4aCSBjQPd3TzFd90,24,24,24,0,24,SELESAI
DTL20240211016,TRF20240211016,4aCSBjQPd3TzFd90,14,14,14,0,14,SELESAI
DTL20240214017,TRF20240214017,4aCSBjQPd3TzFd90,15,15,15,0,15,SELESAI
DTL20240218018,TRF20240218018,4aCSBjQPd3TzFd90,24,24,24,0,24,SELESAI
DTL20240221019,TRF20240221019,4aCSBjQPd3TzFd90,15,15,15,0,15,SELESAI
DTL20240225020,TRF20240225020,4aCSBjQPd3TzFd90,23,23,23,0,23,SELESAI
DTL20240227021,TRF20240227021,4aCSBjQPd3TzFd90,10,10,10,0,10,SELESAI
DTL20240229022,TRF20240229022,4aCSBjQPd3TzFd90,14,14,14,0,14,SELESAI
DTL20240302023,TRF20240302023,4aCSBjQPd3TzFd90,27,27,27,0,27,SELESAI
DTL20240306024,TRF20240306024,4aCSBjQPd3TzFd90,27,27,27,0,27,SELESAI
DTL20240308025,TRF20240308025,4aCSBjQPd3TzFd90,15,15,15,0,15,SELESAI
DTL20240311026,TRF20240311026,4aCSBjQPd3TzFd90,16,16,16,0,16,SELESAI
DTL20240314027,TRF20240314027,4aCSBjQPd3TzFd90,29,29,29,0,29,SELESAI
DTL20240316028,TRF20240316028,4aCSBjQPd3TzFd90,13,13,13,0,13,SELESAI
DTL20240318029,TRF20240318029,4aCSBjQPd3TzFd90,30,30,30,0,30,SELESAI
DTL20240321030,TRF20240321030,4aCSBjQPd3TzFd90,13,13,13,0,13,SELESAI
DTL20240324031,TRF20240324031,4aCSBjQPd3TzFd90,25,25,25,0,25,SELESAI
DTL20240327032,TRF20240327032,4aCSBjQPd3TzFd90,21,21,21,0,21,SELESAI
DTL20240330033,TRF20240330033,4aCSBjQPd3TzFd90,29,29,29,0,29,SELESAI
DTL20240401034,TRF20240401034,4aCSBjQPd3TzFd90,10,10,10,0,10,SELESAI
DTL20240404035,TRF20240404035,4aCSBjQPd3TzFd90,25,25,25,0,25,SELESAI
DTL20240408036,TRF20240408036,4aCSBjQPd3TzFd90,29,29,29,0,29,SELESAI
DTL20240411037,TRF20240411037,4aCSBjQPd3TzFd90,17,17,17,0,17,SELESAI
DTL20240415038,TRF20240415038,4aCSBjQPd3TzFd90,15,15,15,0,15,SELESAI
DTL20240419039,TRF20240419039,4aCSBjQPd3TzFd90,21,21,21,0,21,SELESAI
DTL20240421040,TRF20240421040,4aCSBjQPd3TzFd90,16,16,16,0,16,SELESAI
DTL20240425041,TRF20240425041,4aCSBjQPd3TzFd90,24,24,24,0,24,SELESAI
DTL20240429042,TRF20240429042,4aCSBjQPd3TzFd90,22,22,22,0,22,SELESAI
DTL20240503043,TRF20240503043,4aCSBjQPd3TzFd90,12,12,12,0,12,SELESAI
DTL20240507044,TRF20240507044,4aCSBjQPd3TzFd90,27,27,27,0,27,SELESAI
DTL20240510045,TRF20240510045,4aCSBjQPd3TzFd90,22,22,22,0,22,SELESAI
DTL20240513046,TRF20240513046,4aCSBjQPd3TzFd90,21,21,21,0,21,SELESAI
DTL20240515047,TRF20240515047,4aCSBjQPd3TzFd90,29,29,29,0,29,SELESAI
DTL20240517048,TRF20240517048,4aCSBjQPd3TzFd90,14,14,14,0,14,SELESAI
DTL20240521049,TRF20240521049,4aCSBjQPd3TzFd90,13,13,13,0,13,SELESAI
DTL20240525050,TRF20240525050,4aCSBjQPd3TzFd90,13,13,13,0,13,SELESAI
DTL20240527051,TRF20240527051,4aCSBjQPd3TzFd90,23,23,23,0,23,SELESAI
DTL20240529052,TRF20240529052,4aCSBjQPd3TzFd90,20,20,20,0,20,SELESAI
DTL20240601053,TRF20240601053,4aCSBjQPd3TzFd90,24,24,24,0,24,SELESAI
DTL20240605054,TRF20240605054,4aCSBjQPd3TzFd90,15,15,15,0,15,SELESAI
DTL20240608055,TRF20240608055,4aCSBjQPd3TzFd90,11,11,11,0,11,SELESAI
DTL20240611056,TRF20240611056,4aCSBjQPd3TzFd90,20,20,20,0,20,SELESAI
DTL20240613057,TRF20240613057,4aCSBjQPd3TzFd90,25,25,25,0,25,SELESAI
DTL20240616058,TRF20240616058,4aCSBjQPd3TzFd90,25,25,25,0,25,SELESAI
DTL20240620059,TRF20240620059,4aCSBjQPd3TzFd90,28,28,28,0,28,SELESAI
DTL20240622060,TRF20240622060,4aCSBjQPd3TzFd90,11,11,11,0,11,SELESAI
DTL20240624061,TRF20240624061,4aCSBjQPd3TzFd90,12,12,12,0,12,SELESAI
DTL20240627062,TRF20240627062,4aCSBjQPd3TzFd90,11,11,11,0,11,SELESAI
DTL20240630063,TRF20240630063,4aCSBjQPd3TzFd90,20,20,20,0,20,SELESAI
DTL20240702064,TRF20240702064,4aCSBjQPd3TzFd90,24,24,24,0,24,SELESAI
DTL20240704065,TRF20240704065,4aCSBjQPd3TzFd90,13,13,13,0,13,SELESAI
DTL20240708066,TRF20240708066,4aCSBjQPd3TzFd90,18,18,18,0,18,SELESAI
DTL20240710067,TRF20240710067,4aCSBjQPd3TzFd90,13,13,13,0,13,SELESAI
DTL20240712068,TRF20240712068,4aCSBjQPd3TzFd90,29,29,29,0,29,SELESAI
DTL20240714069,TRF20240714069,4aCSBjQPd3TzFd90,19,19,19,0,19,SELESAI
DTL20240718070,TRF20240718070,4aCSBjQPd3TzFd90,14,14,14,0,14,SELESAI
DTL20240721071,TRF20240721071,4aCSBjQPd3TzFd90,11,11,11,0,11,SELESAI
DTL20240725072,TRF20240725072,4aCSBjQPd3TzFd90,26,26,26,0,26,SELESAI
DTL20240727073,TRF20240727073,4aCSBjQPd3TzFd90,19,19,19,0,19,SELESAI
DTL20240729074,TRF20240729074,4aCSBjQPd3TzFd90,11,11,11,0,11,SELESAI
DTL20240802075,TRF20240802075,4aCSBjQPd3TzFd90,25,25,25,0,25,SELESAI
DTL20240804076,TRF20240804076,4aCSBjQPd3TzFd90,25,25,25,0,25,SELESAI
DTL20240807077,TRF20240807077,4aCSBjQPd3TzFd90,13,13,13,0,13,SELESAI
DTL20240810078,TRF20240810078,4aCSBjQPd3TzFd90,10,10,10,0,10,SELESAI
DTL20240813079,TRF20240813079,4aCSBjQPd3TzFd90,11,11,11,0,11,SELESAI
DTL20240816080,TRF20240816080,4aCSBjQPd3TzFd90,22,22,22,0,22,SELESAI
DTL20240818081,TRF20240818081,4aCSBjQPd3TzFd90,17,17,17,0,17,SELESAI
DTL20240822082,TRF20240822082,4aCSBjQPd3TzFd90,29,29,29,0,29,SELESAI
DTL20240825083,TRF20240825083,4aCSBjQPd3TzFd90,26,26,26,0,26,SELESAI
DTL20240829084,TRF20240829084,4aCSBjQPd3TzFd90,17,17,17,0,17,SELESAI
DTL20240831085,TRF20240831085,4aCSBjQPd3TzFd90,30,30,30,0,30,SELESAI
DTL20240903086,TRF20240903086,4aCSBjQPd3TzFd90,13,13,13,0,13,SELESAI
DTL20240906087,TRF20240906087,4aCSBjQPd3TzFd90,23,23,23,0,23,SELESAI
DTL20240910088,TRF20240910088,4aCSBjQPd3TzFd90,24,24,24,0,24,SELESAI
DTL20240914089,TRF20240914089,4aCSBjQPd3TzFd90,25,25,25,0,25,SELESAI
DTL20240916090,TRF20240916090,4aCSBjQPd3TzFd90,26,26,26,0,26,SELESAI
DTL20240918091,TRF20240918091,4aCSBjQPd3TzFd90,25,25,25,0,25,SELESAI
DTL20240921092,TRF20240921092,4aCSBjQPd3TzFd90,14,14,14,0,14,SELESAI
DTL20240925093,TRF20240925093,4aCSBjQPd3TzFd90,17,17,17,0,17,SELESAI
DTL20240927094,TRF20240927094,4aCSBjQPd3TzFd90,12,12,12,0,12,SELESAI
DTL20240929095,TRF20240929095,4aCSBjQPd3TzFd90,27,27,27,0,27,SELESAI
DTL20241002096,TRF20241002096,4aCSBjQPd3TzFd90,17,17,17,0,17,SELESAI
DTL20241006097,TRF20241006097,4aCSBjQPd3TzFd90,29,29,29,0,29,SELESAI
DTL20241009098,TRF20241009098,4aCSBjQPd3TzFd90,22,22,22,0,22,SELESAI
DTL20241012099,TRF20241012099,4aCSBjQPd3TzFd90,26,26,26,0,26,SELESAI
DTL20241016100,TRF20241016100,4aCSBjQPd3TzFd90,17,17,17,0,17,SELESAI
DTL20241018101,TRF20241018101,4aCSBjQPd3TzFd90,12,12,12,0,12,SELESAI
DTL20241022102,TRF20241022102,4aCSBjQPd3TzFd90,11,11,11,0,11,SELESAI
DTL20241025103,TRF20241025103,4aCSBjQPd3TzFd90,29,29,29,0,29,SELESAI
DTL20241027104,TRF20241027104,4aCSBjQPd3TzFd90,23,23,23,0,23,SELESAI
DTL20241030105,TRF20241030105,4aCSBjQPd3TzFd90,14,14,14,0,14,SELESAI
DTL20241103106,TRF20241103106,4aCSBjQPd3TzFd90,22,22,22,0,22,SELESAI
DTL20241107107,TRF20241107107,4aCSBjQPd3TzFd90,23,23,23,0,23,SELESAI
DTL20241109108,TRF20241109108,4aCSBjQPd3TzFd90,16,16,16,0,16,SELESAI
DTL20241111109,TRF20241111109,4aCSBjQPd3TzFd90,24,24,24,0,24,SELESAI
DTL20241114110,TRF20241114110,4aCSBjQPd3TzFd90,17,17,17,0,17,SELESAI
DTL20241117111,TRF20241117111,4aCSBjQPd3TzFd90,19,19,19,0,19,SELESAI
DTL20241120112,TRF20241120112,4aCSBjQPd3TzFd90,25,25,25,0,25,SELESAI
DTL20241123113,TRF20241123113,4aCSBjQPd3TzFd90,26,26,26,0,26,SELESAI
DTL20241126114,TRF20241126114,4aCSBjQPd3TzFd90,30,30,30,0,30,SELESAI
DTL20241130115,TRF20241130115,4aCSBjQPd3TzFd90,28,28,28,0,28,SELESAI
DTL20241204116,TRF20241204116,4aCSBjQPd3TzFd90,10,10,10,0,10,SELESAI
DTL20241208117,TRF20241208117,4aCSBjQPd3TzFd90,29,29,29,0,29,SELESAI
DTL20241211118,TRF20241211118,4aCSBjQPd3TzFd90,30,30,30,0,30,SELESAI
