ID_DETAIL_TRANSFER_BARANG_BATCH,ID_DETAIL_TRANSFER_BARANG,ID_PESAN_BARANG,JUMLAH_PESAN_TRANSFER_BATCH_DUS,JUMLAH_KIRIM_DUS,JUMLAH_TIBA_DUS,JUMLAH_DITOLAK_DUS,JUMLAH_MASUK_DUS
BTCH20240101001,DTL20240101001,PB20240101001,37,37,37,0,37
BTCH20240103002,DTL20240103002,PB20240101001,13,13,13,0,13
BTCH20240106003,DTL20240106003,PB20240101001,21,21,21,0,21
BTCH20240108004,DTL20240108004,PB20240101001,23,23,23,0,23
BTCH20240110005,DTL20240110005,PB20240101001,3,3,3,0,3
BTCH20240110006,DTL20240110005,PB20240104002,18,18,18,0,18
BTCH20240112007,DTL20240112006,PB20240104002,30,30,30,0,30
BTCH20240115008,DTL20240115007,PB20240113003,16,16,16,0,16
BTCH20240119009,DTL20240119008,PB20240113003,11,11,11,0,11
BTCH20240123010,DTL20240123009,PB20240113003,12,12,12,0,12
BTCH20240125011,DTL20240125010,PB20240113003,15,15,15,0,15
BTCH20240128012,DTL20240128011,PB20240113003,7,7,7,0,7
BTCH20240128013,DTL20240128011,PB20240124004,22,22,22,0,22
BTCH20240131014,DTL20240131012,PB20240124004,11,11,11,0,11
BTCH20240202015,DTL20240202013,PB20240124004,19,19,19,0,19
BTCH20240205016,DTL20240205014,PB20240124004,22,22,22,0,22
BTCH20240207017,DTL20240207015,PB20240124004,22,22,22,0,22
BTCH20240207018,DTL20240207015,PB20240206005,2,2,2,0,2
BTCH20240211019,DTL20240211016,PB20240206005,14,14,14,0,14
BTCH20240214020,DTL20240214017,PB20240206005,15,15,15,0,15
BTCH20240218021,DTL20240218018,PB20240206005,24,24,24,0,24
BTCH20240221022,DTL20240221019,PB20240219006,15,15,15,0,15
BTCH20240225023,DTL20240225020,PB20240219006,23,23,23,0,23
BTCH20240227024,DTL20240227021,PB20240219006,10,10,10,0,10
BTCH20240229025,DTL20240229022,PB20240219006,14,14,14,0,14
BTCH20240302026,DTL20240302023,PB20240219006,20,20,20,0,20
BTCH20240302027,DTL20240302023,PB20240206005,4,4,4,0,4
BTCH20240302028,DTL20240302023,PB20240104002,3,3,3,0,3
BTCH20240306029,DTL20240306024,PB20240303007,27,27,27,0,27
BTCH20240308030,DTL20240308025,PB20240303007,15,15,15,0,15
BTCH20240311031,DTL20240311026,PB20240303007,16,16,16,0,16
BTCH20240314032,DTL20240314027,PB20240303007,29,29,29,0,29
BTCH20240316033,DTL20240316028,PB20240315008,13,13,13,0,13
BTCH20240318034,DTL20240318029,PB20240315008,30,30,30,0,30
BTCH20240321035,DTL20240321030,PB20240315008,13,13,13,0,13
BTCH20240324036,DTL20240324031,PB20240315008,25,25,25,0,25
BTCH20240327037,DTL20240327032,PB20240315008,7,7,7,0,7
BTCH20240327038,DTL20240327032,PB20240303007,5,5,5,0,5
BTCH20240327039,DTL20240327032,PB20240104002,9,9,9,0,9
BTCH20240330040,DTL20240330033,PB20240104002,15,15,15,0,15
BTCH20240330041,DTL20240330033,PB20240325009,14,14,14,0,14
BTCH20240401042,DTL20240401034,PB20240331010,10,10,10,0,10
BTCH20240404043,DTL20240404035,PB20240331010,25,25,25,0,25
BTCH20240408044,DTL20240408036,PB20240331010,29,29,29,0,29
BTCH20240411045,DTL20240411037,PB20240331010,4,4,4,0,4
BTCH20240411046,DTL20240411037,PB20240409011,13,13,13,0,13
BTCH20240415047,DTL20240415038,PB20240409011,15,15,15,0,15
BTCH20240419048,DTL20240419039,PB20240409011,21,21,21,0,21
BTCH20240421049,DTL20240421040,PB20240409011,16,16,16,0,16
BTCH20240425050,DTL20240425041,PB20240422012,24,24,24,0,24
BTCH20240429051,DTL20240429042,PB20240422012,22,22,22,0,22
BTCH20240503052,DTL20240503043,PB20240422012,11,11,11,0,11
BTCH20240503053,DTL20240503043,PB20240409011,1,1,1,0,1
BTCH20240507054,DTL20240507044,PB20240505013,27,27,27,0,27
BTCH20240510055,DTL20240510045,PB20240505013,22,22,22,0,22
BTCH20240513056,DTL20240513046,PB20240505013,17,17,17,0,17
BTCH20240513057,DTL20240513046,PB20240409011,4,4,4,0,4
BTCH20240515058,DTL20240515047,PB20240409011,29,29,29,0,29
BTCH20240517059,DTL20240517048,PB20240516014,14,14,14,0,14
BTCH20240521060,DTL20240521049,PB20240516014,13,13,13,0,13
BTCH20240525061,DTL20240525050,PB20240516014,13,13,13,0,13
BTCH20240527062,DTL20240527051,PB20240516014,23,23,23,0,23
BTCH20240529063,DTL20240529052,PB20240516014,20,20,20,0,20
BTCH20240601064,DTL20240601053,PB20240516014,7,7,7,0,7
BTCH20240601065,DTL20240601053,PB20240409011,1,1,1,0,1
BTCH20240601066,DTL20240601053,PB20240529015,16,16,16,0,16
BTCH20240605067,DTL20240605054,PB20240529015,15,15,15,0,15
BTCH20240608068,DTL20240608055,PB20240529015,11,11,11,0,11
BTCH20240611069,DTL20240611056,PB20240529015,20,20,20,0,20
BTCH20240613070,DTL20240613057,PB20240612016,25,25,25,0,25
BTCH20240616071,DTL20240616058,PB20240612016,25,25,25,0,25
BTCH20240620072,DTL20240620059,PB20240612016,28,28,28,0,28
BTCH20240622073,DTL20240622060,PB20240612016,11,11,11,0,11
BTCH20240624074,DTL20240624061,PB20240612016,10,10,10,0,10
BTCH20240624075,DTL20240624061,PB20240325009,2,2,2,0,2
BTCH20240627076,DTL20240627062,PB20240625017,11,11,11,0,11
BTCH20240630077,DTL20240630063,PB20240625017,20,20,20,0,20
BTCH20240702078,DTL20240702064,PB20240625017,24,24,24,0,24
BTCH20240704079,DTL20240704065,PB20240625017,1,1,1,0,1
BTCH20240704080,DTL20240704065,PB20240703018,12,12,12,0,12
BTCH20240708081,DTL20240708066,PB20240703018,18,18,18,0,18
BTCH20240710082,DTL20240710067,PB20240703018,13,13,13,0,13
BTCH20240712083,DTL20240712068,PB20240703018,13,13,13,0,13
BTCH20240712084,DTL20240712068,PB20240325009,16,16,16,0,16
BTCH20240714085,DTL20240714069,PB20240713019,19,19,19,0,19
BTCH20240718086,DTL20240718070,PB20240713019,14,14,14,0,14
BTCH20240721087,DTL20240721071,PB20240713019,11,11,11,0,11
BTCH20240725088,DTL20240725072,PB20240713019,26,26,26,0,26
BTCH20240727089,DTL20240727073,PB20240726020,19,19,19,0,19
BTCH20240729090,DTL20240729074,PB20240726020,11,11,11,0,11
BTCH20240802091,DTL20240802075,PB20240726020,25,25,25,0,25
BTCH20240804092,DTL20240804076,PB20240803021,25,25,25,0,25
BTCH20240807093,DTL20240807077,PB20240803021,13,13,13,0,13
BTCH20240810094,DTL20240810078,PB20240803021,10,10,10,0,10
BTCH20240813095,DTL20240813079,PB20240803021,11,11,11,0,11
BTCH20240816096,DTL20240816080,PB20240803021,22,22,22,0,22
BTCH20240818097,DTL20240818081,PB20240803021,2,2,2,0,2
BTCH20240818098,DTL20240818081,PB20240816022,15,15,15,0,15
BTCH20240822099,DTL20240822082,PB20240816022,29,29,29,0,29
BTCH20240825100,DTL20240825083,PB20240816022,6,6,6,0,6
BTCH20240825101,DTL20240825083,PB20240726020,20,20,20,0,20
BTCH20240829102,DTL20240829084,PB20240726020,3,3,3,0,3
BTCH20240829103,DTL20240829084,PB20240826023,14,14,14,0,14
BTCH20240831104,DTL20240831085,PB20240826023,30,30,30,0,30
BTCH20240903105,DTL20240903086,PB20240826023,13,13,13,0,13
BTCH20240906106,DTL20240906087,PB20240904024,23,23,23,0,23
BTCH20240910107,DTL20240910088,PB20240904024,24,24,24,0,24
BTCH20240914108,DTL20240914089,PB20240904024,25,25,25,0,25
BTCH20240916109,DTL20240916090,PB20240904024,22,22,22,0,22
BTCH20240916110,DTL20240916090,PB20240826023,4,4,4,0,4
BTCH20240918111,DTL20240918091,PB20240917025,25,25,25,0,25
BTCH20240921112,DTL20240921092,PB20240917025,14,14,14,0,14
BTCH20240925113,DTL20240925093,PB20240917025,17,17,17,0,17
BTCH20240927114,DTL20240927094,PB20240917025,12,12,12,0,12
BTCH20240929115,DTL20240929095,PB20240917025,14,14,14,0,14
BTCH20240929116,DTL20240929095,PB20240826023,13,13,13,0,13
BTCH20241002117,DTL20241002096,PB20240930026,17,17,17,0,17
BTCH20241006118,DTL20241006097,PB20240930026,29,29,29,0,29
BTCH20241009119,DTL20241009098,PB20240930026,22,22,22,0,22
BTCH20241012120,DTL20241012099,PB20240930026,26,26,26,0,26
BTCH20241016121,DTL20241016100,PB20241013027,17,17,17,0,17
BTCH20241018122,DTL20241018101,PB20241013027,12,12,12,0,12
BTCH20241022123,DTL20241022102,PB20241013027,11,11,11,0,11
BTCH20241025124,DTL20241025103,PB20241023028,29,29,29,0,29
BTCH20241027125,DTL20241027104,PB20241023028,23,23,23,0,23
BTCH20241030126,DTL20241030105,PB20241023028,14,14,14,0,14
BTCH20241103127,DTL20241103106,PB20241023028,2,2,2,0,2
BTCH20241103128,DTL20241103106,PB20241013027,15,15,15,0,15
