ID_NOTA_JUAL,ID_USERS,KD_LOKASI,WAKTU_NOTA,TOTAL_JUAL_BARANG,SUB_TOTAL_JUAL,PAJAK,GRAND_TOTAL,SUB_TOTAL_BELI,GROSS_PROFIT
NOTA000004,TOKOeLig,NsHmYgfe,2024-01-01 08:56:16,30,450000,49500.0,499500.0,145460.40000000002,304539.6
NOTA000001,TOKOeLig,NsHmYgfe,2024-01-01 10:30:22,23,345000,37950.0,382950.0,111519.64000000001,233480.36
NOTA000003,TOKOeLig,NsHmYgfe,2024-01-01 16:07:51,27,405000,44550.0,449550.0,130914.36000000002,274085.64
NOTA000002,TOKOeLig,NsHmYgfe,2024-01-01 17:18:32,3,45000,4950.0,49950.0,14546.04,30453.96
NOTA000008,TOKOeLig,NsHmYgfe,2024-01-02 12:50:27,5,75000,8250.0,83250.0,24243.4,50756.6
NOTA000007,TOKOeLig,NsHmYgfe,2024-01-02 13:35:53,28,420000,46200.0,466200.0,135763.04,284236.95999999996
NOTA000006,TOKOeLig,NsHmYgfe,2024-01-02 16:04:51,22,330000,36300.0,366300.0,106670.96,223329.03999999998
NOTA000005,TOKOeLig,NsHmYgfe,2024-01-02 17:30:56,7,105000,11550.0,116550.0,33940.76,71059.23999999999
NOTA000009,TOKOeLig,NsHmYgfe,2024-01-03 13:57:32,25,375000,41250.0,416250.0,121217.0,253783.0
NOTA000010,TOKOeLig,NsHmYgfe,2024-01-03 14:04:50,14,210000,23100.0,233100.0,67881.52,142118.47999999998
NOTA000011,TOKOeLig,NsHmYgfe,2024-01-03 15:52:15,7,105000,11550.0,116550.0,33940.76,71059.23999999999
NOTA000012,TOKOeLig,NsHmYgfe,2024-01-03 17:02:32,18,270000,29700.0,299700.0,87276.24,182723.76
NOTA000013,TOKOeLig,NsHmYgfe,2024-01-03 20:17:04,21,315000,34650.0,349650.0,101822.28,213177.72
NOTA000015,TOKOeLig,NsHmYgfe,2024-01-04 11:13:06,20,300000,33000.0,333000.0,96973.6,203026.4
NOTA000016,TOKOeLig,NsHmYgfe,2024-01-04 11:58:11,3,45000,4950.0,49950.0,14546.04,30453.96
NOTA000014,TOKOeLig,NsHmYgfe,2024-01-04 17:27:31,27,405000,44550.0,449550.0,130914.36000000002,274085.64
NOTA000018,TOKOeLig,NsHmYgfe,2024-01-05 13:56:42,11,165000,18150.0,183150.0,53335.48,111664.51999999999
