ID_PESAN_BARANG,KD_LOKASI,KD_BARANG,ID_PERHITUNGAN_KUANTITAS_POQ,KD_SUPPLIER,HARGA_PESAN_BARANG_DUS,BIAYA_PENGIRIMAAN,JUMLAH_PESAN_BARANG_DUS,JUMLAH_TIBA_DUS,JUMLAH_DITOLAK_DUS,TOTAL_MASUK_DUS,SISA_STOCK_DUS,TGL_EXPIRED,WAKTU_PESAN,WAKTU_ESTIMASI_SELESAI,WAKTU_SELESAI,STATUS
PB20231230001,NRb2W8VG,4aCSBjQPd3TzFd90,,NGP9zHgE,121217.00,50000.00,200,200,0,200,0,2027-05-06,2023-12-28 00:00:00,2023-12-29 22:00:00,2023-12-30 00:00:00,SELESAI
PB20240215002,NRb2W8VG,4aCSBjQPd3TzFd90,,NKnVD9E9,122285.00,50000.00,157,157,0,157,0,2024-11-11,2024-02-13 00:00:00,2024-02-14 22:00:00,2024-02-15 00:00:00,SELESAI
PB20240419003,NRb2W8VG,4aCSBjQPd3TzFd90,,NGP9zHgE,120398.00,50000.00,151,151,0,151,0,2026-01-10,2024-04-17 00:00:00,2024-04-18 22:00:00,2024-04-19 00:00:00,SELESAI
PB20240707004,NRb2W8VG,4aCSBjQPd3TzFd90,,NKnVD9E9,128682.00,50000.00,187,187,0,187,0,2027-08-06,2024-07-05 00:00:00,2024-07-06 22:00:00,2024-07-07 00:00:00,SELESAI
PB20240924005,NRb2W8VG,4aCSBjQPd3TzFd90,,NKnVD9E9,126950.00,50000.00,189,189,0,189,0,2026-07-09,2024-09-22 00:00:00,2024-09-23 22:00:00,2024-09-24 00:00:00,SELESAI
PB20241128006,NRb2W8VG,4aCSBjQPd3TzFd90,,NKnVD9E9,128167.00,50000.00,150,150,0,150,0,2027-08-03,2024-11-26 00:00:00,2024-11-27 22:00:00,2024-11-28 00:00:00,SELESAI
PB20250201007,NRb2W8VG,4aCSBjQPd3TzFd90,,NKnVD9E9,125886.00,50000.00,153,153,0,153,0,2025-08-08,2025-01-30 00:00:00,2025-01-31 22:00:00,2025-02-01 00:00:00,SELESAI
PB20250410008,NRb2W8VG,4aCSBjQPd3TzFd90,,NKnVD9E9,126684.00,50000.00,154,154,0,154,0,2025-07-23,2025-04-08 00:00:00,2025-04-09 22:00:00,2025-04-10 00:00:00,SELESAI
PB20250611009,NRb2W8VG,4aCSBjQPd3TzFd90,,NKnVD9E9,126585.00,50000.00,150,150,0,150,0,2027-08-13,2025-06-09 00:00:00,2025-06-10 22:00:00,2025-06-11 00:00:00,SELESAI
PB20250821010,NRb2W8VG,4aCSBjQPd3TzFd90,,NKnVD9E9,129484.00,50000.00,152,152,0,152,45,2027-09-19,2025-08-19 00:00:00,2025-08-20 22:00:00,2025-08-21 00:00:00,SELESAI
PB20251018011,NRb2W8VG,4aCSBjQPd3TzFd90,,NGP9zHgE,122812.00,50000.00,155,155,0,155,81,2027-07-08,2025-10-16 00:00:00,2025-10-17 22:00:00,2025-10-18 00:00:00,SELESAI
