ID_HISTORY_STOCK,KD_BARANG,KD_LOKASI,UPDATED_BY,JUMLAH_AWAL,JUMLAH_PERUBAHAN,JUMLAH_AKHIR,TIPE_PERUBAHAN,REF,SATUAN,WAKTU_CHANGE
SH20240103001,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,0,50,50,PEMESANAN,PB20240101001,DUS,2024-01-03 14:30:00
SH20240117002,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,50,60,110,PEMESANAN,PB20240115002,DUS,2024-01-17 15:30:00
SH20240203003,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,110,55,165,PEMESANAN,PB20240201003,DUS,2024-02-03 16:30:00
SH20240217004,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,165,70,235,PEMESANAN,PB20240215004,DUS,2024-02-17 14:30:00
SH20240303005,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,235,65,300,PEMESANAN,PB20240301005,DUS,2024-03-03 15:30:00
SH20240317006,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,300,60,360,PEMESANAN,PB20240315006,DUS,2024-03-17 13:30:00
SH20240403007,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,360,75,435,PEMESANAN,PB20240401007,DUS,2024-04-03 16:30:00
SH20240417008,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,435,70,505,PEMESANAN,PB20240415008,DUS,2024-04-17 14:30:00
SH20240503009,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,505,80,585,PEMESANAN,PB20240501009,DUS,2024-05-03 15:30:00
SH20240517010,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,585,65,650,PEMESANAN,PB20240515010,DUS,2024-05-17 14:30:00
SH20240603011,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,650,90,740,PEMESANAN,PB20240601011,DUS,2024-06-03 16:30:00
SH20240617012,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,740,70,810,PEMESANAN,PB20240615012,DUS,2024-06-17 13:30:00
SH20240703013,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,810,85,895,PEMESANAN,PB20240701013,DUS,2024-07-03 15:30:00
SH20240717014,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,895,75,970,PEMESANAN,PB20240715014,DUS,2024-07-17 14:30:00
SH20240803015,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,970,80,1050,PEMESANAN,PB20240801015,DUS,2024-08-03 16:30:00
SH20240817016,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1050,90,1140,PEMESANAN,PB20240815016,DUS,2024-08-17 13:30:00
SH20240903017,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1140,70,1210,PEMESANAN,PB20240901017,DUS,2024-09-03 15:30:00
SH20240917018,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1210,85,1295,PEMESANAN,PB20240915018,DUS,2024-09-17 14:30:00
SH20241003019,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1295,75,1370,PEMESANAN,PB20241001019,DUS,2024-10-03 16:30:00
SH20241017020,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1370,95,1465,PEMESANAN,PB20241015020,DUS,2024-10-17 13:30:00
SH20241103021,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1465,80,1545,PEMESANAN,PB20241101021,DUS,2024-11-03 15:30:00
SH20241117022,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1545,90,1635,PEMESANAN,PB20241115022,DUS,2024-11-17 14:30:00
SH20241203023,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1635,100,1735,PEMESANAN,PB20241201023,DUS,2024-12-03 16:30:00

