ID_HISTORY_STOCK,KD_BARANG,KD_LOKASI,UPDATED_BY,JUMLAH_AWAL,JUMLAH_PERUBAHAN,JUMLAH_AKHIR,TIPE_PERUBAHAN,REF,SATUAN,WAKTU_CHANGE
SH20240104185901,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20820,-13,20807,PENJUALAN,DNJB000001,PIECES,2024-01-04 18:59:23
SH20240104134202,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20807,-9,20798,PENJUALAN,DNJB000002,PIECES,2024-01-04 13:42:03
SH20240104193803,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20798,-6,20792,PENJUALAN,DNJB000003,PIECES,2024-01-04 19:38:06
SH20240104180404,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20792,-10,20782,PENJUALAN,DNJB000004,PIECES,2024-01-04 18:04:18
SH20240104120905,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20782,-14,20768,PENJUALAN,DNJB000005,PIECES,2024-01-04 12:09:58
SH20240105202306,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20768,-6,20762,PENJUALAN,DNJB000006,PIECES,2024-01-05 20:23:33
SH20240105181707,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20762,-17,20745,PENJUALAN,DNJB000007,PIECES,2024-01-05 18:17:17
SH20240105150808,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20745,-18,20727,PENJUALAN,DNJB000008,PIECES,2024-01-05 15:08:55
SH20240105121509,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20727,-3,20724,PENJUALAN,DNJB000009,PIECES,2024-01-05 12:15:52
SH20240105141310,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20724,-5,20719,PENJUALAN,DNJB000010,PIECES,2024-01-05 14:13:58
SH20240106142711,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20719,-12,20707,PENJUALAN,DNJB000011,PIECES,2024-01-06 14:27:22
SH20240106101412,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20707,-6,20701,PENJUALAN,DNJB000012,PIECES,2024-01-06 10:14:11
SH20240106174713,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20701,-9,20692,PENJUALAN,DNJB000013,PIECES,2024-01-06 17:47:36
SH20240106102514,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20692,-13,20679,PENJUALAN,DNJB000014,PIECES,2024-01-06 10:25:32
SH20240107111515,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20679,-8,20671,PENJUALAN,DNJB000015,PIECES,2024-01-07 11:15:51
SH20240107161716,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20671,-5,20666,PENJUALAN,DNJB000016,PIECES,2024-01-07 16:17:29
SH20240107084517,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20666,-9,20657,PENJUALAN,DNJB000017,PIECES,2024-01-07 08:45:13
SH20240108114818,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20657,-7,20650,PENJUALAN,DNJB000018,PIECES,2024-01-08 11:48:11
SH20240108130419,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,20650,-15,20635,PENJUALAN,DNJB000019,PIECES,2024-01-08 13:04:08
