ID_HISTORY_STOCK,KD_BARANG,KD_LOKASI,UPDATED_BY,JUMLAH_AWAL,JUMLAH_PERUBAHAN,JUMLAH_AKHIR,TIPE_PERUBAHAN,REF,SATUAN,WAKTU_CHANGE
SH20240104000001,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1735,-27,1708,TRANSFER,TRF20240104001,DUS,2024-01-04 00:00:00
SH20240104000002,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,0,324,324,TRANSFER,TRF20240104001,PIECES,2024-01-04 00:00:00
SH20240104000003,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1708,-10,1698,TRANSFER,TRF20240104002,DUS,2024-01-04 00:00:00
SH20240104000004,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,324,120,444,TRANSFER,TRF20240104002,PIECES,2024-01-04 00:00:00
SH20240104000005,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1698,-17,1681,TRANSFER,TRF20240104003,DUS,2024-01-04 00:00:00
SH20240104000006,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,444,204,648,TRANSFER,TRF20240104003,PIECES,2024-01-04 00:00:00
SH20240105000007,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1681,-13,1668,TRANSFER,TRF20240105004,DUS,2024-01-05 00:00:00
SH20240105000008,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,648,156,804,TRANSFER,TRF20240105004,PIECES,2024-01-05 00:00:00
SH20240105000009,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1668,-30,1638,TRANSFER,TRF20240105005,DUS,2024-01-05 00:00:00
SH20240105000010,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,804,360,1164,TRANSFER,TRF20240105005,PIECES,2024-01-05 00:00:00
SH20240107000011,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1638,-20,1618,TRANSFER,TRF20240107006,DUS,2024-01-07 00:00:00
SH20240107000012,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,1164,240,1404,TRANSFER,TRF20240107006,PIECES,2024-01-07 00:00:00
SH20240109000013,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1618,-24,1594,TRANSFER,TRF20240109007,DUS,2024-01-09 00:00:00
SH20240109000014,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,1404,288,1692,TRANSFER,TRF20240109007,PIECES,2024-01-09 00:00:00
SH20240109000015,4aCSBjQPd3TzFd90,NRb2W8VG,GDNGj825,1594,-24,1570,TRANSFER,TRF20240109008,DUS,2024-01-09 00:00:00
SH20240109000016,4aCSBjQPd3TzFd90,NsHmYgfe,TOKOeLig,1692,288,1980,TRANSFER,TRF20240109008,PIECES,2024-01-09 00:00:00
