ID_DNJB,KD_BARANG,ID_NOTA_JUAL,JUMLAH_JUAL_BARANG,HARGA_JUAL_BARANG,TOTAL_JUAL_UANG,HARGA_BELI_BARANG,TOTAL_BELI_UANG
DNJB9E71E7F1FAC6,4aCSBjQPd3TzFd90,NTJL643367525DFB,25,40000,1000000,16267.88,406697.0
DNJB2C2DFC73BDEB,4aCSBjQPd3TzFd90,NTJL62FAAAC5A0E5,30,40000,1200000,16267.88,488036.39999999997
DNJB140B5CFC24D2,4aCSBjQPd3TzFd90,NTJLF8EC5BB94CF6,10,40000,400000,16267.88,162678.8
DNJBFDC8BCD37EEA,4aCSBjQPd3TzFd90,NTJL534F1D902A5C,7,40000,280000,16267.88,113875.15999999999
DNJB010591717128,4aCSBjQPd3TzFd90,NTJL4D1D74BB49B5,8,40000,320000,16267.88,130143.04
DNJBC593278CC16D,4aCSBjQPd3TzFd90,NTJL8189D49D583D,2,40000,80000,16267.88,32535.76
DNJBF784EC3EC5C6,4aCSBjQPd3TzFd90,NTJL02D98878778F,5,40000,200000,16267.88,81339.4
DNJBBCD8730EA724,4aCSBjQPd3TzFd90,NTJL922802CA470E,6,40000,240000,16267.88,97607.28
DNJBE7385DB48927,4aCSBjQPd3TzFd90,NTJL181875BC2889,8,40000,320000,16267.88,130143.04
DNJB20DF81B21E21,4aCSBjQPd3TzFd90,NTJLEF55DD920A65,13,40000,520000,16267.88,211482.44
DNJBAFED86D8E0DA,4aCSBjQPd3TzFd90,NTJLBA2DF06D9C6E,19,40000,760000,16267.88,309089.72
DNJBB97BDC494CD6,4aCSBjQPd3TzFd90,NTJLD2E70A55F9AB,29,40000,1160000,16267.88,471768.51999999996
DNJB2F06E7153F95,W8r1LuGwd932W3Zq,NTJLDEBA573E79E5,23,33000,759000,29516.1,678870.2999999999
DNJB0644249ACD24,W8r1LuGwd932W3Zq,NTJLA38D69A010A7,14,33000,462000,29516.1,413225.39999999997
DNJBDBECB2682723,W8r1LuGwd932W3Zq,NTJLE3524B90FABF,4,33000,132000,29516.1,118064.4
DNJB2CA151210281,W8r1LuGwd932W3Zq,NTJLF061492C679F,7,33000,231000,29516.1,206612.69999999998
DNJBF950CF895F45,W8r1LuGwd932W3Zq,NTJLC049CD297039,2,33000,66000,29516.1,59032.2
DNJB2CFF1D163CD1,W8r1LuGwd932W3Zq,NTJL00E3D4D957BB,5,33000,165000,29516.1,147580.5
DNJBFD9ED938C1F8,W8r1LuGwd932W3Zq,NTJLE74DA711D254,9,33000,297000,29516.1,265644.89999999997
DNJBF165AFB36368,W8r1LuGwd932W3Zq,NTJLEBE05E5005B9,27,33000,891000,29516.1,796934.7
DNJB175642AD88E5,W8r1LuGwd932W3Zq,NTJL75C1947B8FDC,20,33000,660000,29516.1,590322.0
DNJB94A27712DDC1,W8r1LuGwd932W3Zq,NTJL4BC0780D0F4C,3,33000,99000,29516.1,88548.29999999999
DNJB96335543110C,4aCSBjQPd3TzFd90,NTJL69E828CEECD1,20,40000,800000,16267.88,325357.6
DNJBBF761DC52F17,4aCSBjQPd3TzFd90,NTJLA2937C411802,20,40000,800000,16267.88,325357.6
DNJBB36450EB59A1,4aCSBjQPd3TzFd90,NTJLC08DA596CD23,6,40000,240000,16267.88,97607.28
DNJB672B10EF5933,4aCSBjQPd3TzFd90,NTJL5881E10EBBB5,2,40000,80000,16267.88,32535.76
DNJBEFAA9B59D643,4aCSBjQPd3TzFd90,NTJLA3F47928EEAD,11,40000,440000,16267.88,178946.68
DNJB3D229C150A74,4aCSBjQPd3TzFd90,NTJLCB454AE0F678,17,40000,680000,16267.88,276553.95999999996
DNJBDABD91D947CC,4aCSBjQPd3TzFd90,NTJL71F2148F39F3,18,40000,720000,16267.88,292821.83999999997
DNJBB1C9D46D6558,4aCSBjQPd3TzFd90,NTJL0C761D4B0660,14,40000,560000,16267.88,227750.31999999998
DNJB53F80D806E35,4aCSBjQPd3TzFd90,NTJL73158D144FEF,19,40000,760000,16267.88,309089.72
DNJB4DEABBD76261,4aCSBjQPd3TzFd90,NTJL000E15BBDFAF,25,40000,1000000,16267.88,406697.0
DNJB37EBACBD93A1,4aCSBjQPd3TzFd90,NTJLA2E46EECB497,7,40000,280000,16267.88,113875.15999999999
DNJBCBDE22E25169,W8r1LuGwd932W3Zq,NTJL5CFF9F6E415D,29,33000,957000,29516.1,855966.8999999999
DNJB0EC3CD4C8639,W8r1LuGwd932W3Zq,NTJL85BB7E5DBC5D,5,33000,165000,29516.1,147580.5
DNJBE21439CC591A,W8r1LuGwd932W3Zq,NTJLEA84FB4CB9EE,12,33000,396000,29516.1,354193.19999999995
DNJBF55C218F1476,W8r1LuGwd932W3Zq,NTJL214CCCD7DDBE,2,33000,66000,29516.1,59032.2
DNJB5E33A3338BCF,W8r1LuGwd932W3Zq,NTJL1CF817D3B09C,2,33000,66000,29516.1,59032.2
DNJBC6C74A579A7C,W8r1LuGwd932W3Zq,NTJL4545BF5FA1E5,30,33000,990000,29516.1,885483.0
DNJB4C375B586E38,W8r1LuGwd932W3Zq,NTJL957FFACB9689,3,33000,99000,29516.1,88548.29999999999
DNJBF2DCF7DF2F12,W8r1LuGwd932W3Zq,NTJLB4D7502FDFC8,1,33000,33000,29516.1,29516.1
DNJB80FCA2FC26CB,W8r1LuGwd932W3Zq,NTJLAC7D0873959C,2,33000,66000,29516.1,59032.2
DNJB37AFFD8AD6A3,W8r1LuGwd932W3Zq,NTJL08BFEF873E7A,15,33000,495000,29516.1,442741.5
DNJB2682CFA52D3C,W8r1LuGwd932W3Zq,NTJL44B0CA8F4685,13,33000,429000,29516.1,383709.3
DNJB04DD9DDA46BD,W8r1LuGwd932W3Zq,NTJL2E565679BDE2,15,33000,495000,29516.1,442741.5
DNJBF3CC246D27A5,W8r1LuGwd932W3Zq,NTJLB8BF919DBB00,7,33000,231000,29516.1,206612.69999999998
DNJBB6733B3315DC,4aCSBjQPd3TzFd90,NTJL4FD01BA286C7,17,40000,680000,16267.88,276553.95999999996
DNJB1E3634D1E59F,4aCSBjQPd3TzFd90,NTJL8FEC996F3B7E,5,40000,200000,16267.88,81339.4
DNJBEA6E8DEFEA3B,4aCSBjQPd3TzFd90,NTJL812CFB3C157B,1,40000,40000,16267.88,16267.88
DNJBE55AC073F67C,4aCSBjQPd3TzFd90,NTJL991A47E53F00,6,40000,240000,16267.88,97607.28
DNJBDEBD68A41965,4aCSBjQPd3TzFd90,NTJL65C9A4ECA513,30,40000,1200000,16267.88,488036.39999999997
DNJB2928CEF74642,4aCSBjQPd3TzFd90,NTJLE9461F1AC3F2,4,40000,160000,16267.88,65071.52
DNJB5A3DD68BEE09,4aCSBjQPd3TzFd90,NTJL5CAAAC95178D,30,40000,1200000,16267.88,488036.39999999997
DNJBC2C6A9451A74,4aCSBjQPd3TzFd90,NTJL19D8E3155528,20,40000,800000,16267.88,325357.6
DNJB6AFDE1043152,4aCSBjQPd3TzFd90,NTJL6F7248D27494,13,40000,520000,16267.88,211482.44
DNJB547EDF64284E,4aCSBjQPd3TzFd90,NTJL4967A87BD83F,28,40000,1120000,16267.88,455500.63999999996
DNJB08DE8FEA4D99,W8r1LuGwd932W3Zq,NTJLFCE48297D237,22,33000,726000,29882.554545454546,657416.2000000001
DNJBEFCF148B3889,W8r1LuGwd932W3Zq,NTJLAF7A1DD67DF0,22,33000,726000,29882.554545454546,657416.2000000001
DNJBEAA1717585B6,W8r1LuGwd932W3Zq,NTJLFA07641DA270,4,33000,132000,29882.554545454546,119530.21818181819
DNJB9E4F88390501,W8r1LuGwd932W3Zq,NTJLC505955AF160,1,33000,33000,29882.554545454546,29882.554545454546
DNJBE772EACFE8CE,W8r1LuGwd932W3Zq,NTJL0BEF40F7F876,26,33000,858000,29882.554545454546,776946.4181818182
DNJB10D9AF5CA5D2,W8r1LuGwd932W3Zq,NTJL2C87F7694D49,3,33000,99000,29882.554545454546,89647.66363636364
DNJBF44C9039928E,W8r1LuGwd932W3Zq,NTJLB6EB2C5064A0,14,33000,462000,29882.554545454546,418355.76363636367
DNJB0E427D3838EE,W8r1LuGwd932W3Zq,NTJL1E393195FB6B,5,33000,165000,29882.554545454546,149412.77272727274
DNJB1BD37EC019A5,W8r1LuGwd932W3Zq,NTJL00C84A60888F,19,33000,627000,29882.554545454546,567768.5363636364
DNJBFFAF2EA63139,W8r1LuGwd932W3Zq,NTJL1960A77FC94E,26,33000,858000,29882.554545454546,776946.4181818182
DNJB13F4DD242E1E,W8r1LuGwd932W3Zq,NTJLD69086F5EBD9,2,33000,66000,29882.554545454546,59765.10909090909
DNJB831CE074ED29,W8r1LuGwd932W3Zq,NTJL8848B096BB50,1,33000,33000,29882.554545454546,29882.554545454546
DNJBBE3F38B9F64E,W8r1LuGwd932W3Zq,NTJL02292ED9A622,2,33000,66000,29882.554545454546,59765.10909090909
DNJBC8F02F592A5F,4aCSBjQPd3TzFd90,NTJLD7940F29D45D,26,40000,1040000,16267.88,422964.88
DNJB082699B3D238,4aCSBjQPd3TzFd90,NTJL61287BCB6BBE,15,40000,600000,16267.88,244018.19999999998
DNJB1FA33D929922,4aCSBjQPd3TzFd90,NTJL8F36FCF5AC36,19,40000,760000,16267.88,309089.72
DNJB7A1B459C451B,4aCSBjQPd3TzFd90,NTJLCEF996EC54EE,15,40000,600000,16267.88,244018.19999999998
DNJB9F1BA7D316D2,4aCSBjQPd3TzFd90,NTJL68D48435B564,13,40000,520000,16267.88,211482.44
DNJBE30800CCD60D,4aCSBjQPd3TzFd90,NTJLBC8FBA350F2F,30,40000,1200000,16267.88,488036.39999999997
DNJBCD79D27E40F7,4aCSBjQPd3TzFd90,NTJLD9C5753DC6CE,21,40000,840000,16267.88,341625.48
DNJBE715E0086349,4aCSBjQPd3TzFd90,NTJL679B8EB056BC,15,40000,600000,16267.88,244018.19999999998
DNJB7D0D201EC970,4aCSBjQPd3TzFd90,NTJL39E5E0C8CDAD,11,40000,440000,16267.88,178946.68
DNJB8EC88AF8DEE7,W8r1LuGwd932W3Zq,NTJL09AE8BE977D8,22,33000,726000,29882.554545454546,657416.2000000001
DNJBBA23C623037A,W8r1LuGwd932W3Zq,NTJLA7D95A09F56E,1,33000,33000,29882.554545454546,29882.554545454546
DNJBDA42040C45EB,W8r1LuGwd932W3Zq,NTJL7D6B5069E4DB,19,33000,627000,29882.554545454546,567768.5363636364
DNJB4FECAE2BB9F3,W8r1LuGwd932W3Zq,NTJL1B3EAB4ACC6E,7,33000,231000,29882.554545454546,209177.88181818184
DNJB0A016BA1C83A,W8r1LuGwd932W3Zq,NTJLAE8DF11B1251,22,33000,726000,29882.554545454546,657416.2000000001
DNJBD690D8879EEF,W8r1LuGwd932W3Zq,NTJL58B46932BE2D,13,33000,429000,29882.554545454546,388473.2090909091
DNJB27EE8589F6D2,W8r1LuGwd932W3Zq,NTJL155B343FE4D7,2,33000,66000,29882.554545454546,59765.10909090909
DNJBE7AD9EA9328D,W8r1LuGwd932W3Zq,NTJL83AE7BE1BE0F,3,33000,99000,29882.554545454546,89647.66363636364
DNJB8E8CDFAD8142,W8r1LuGwd932W3Zq,NTJL411D56EBCBC6,18,33000,594000,29882.554545454546,537885.9818181818
DNJB9ED9C0CEDDA1,W8r1LuGwd932W3Zq,NTJLD7D7FC64D973,15,33000,495000,29882.554545454546,448238.3181818182
DNJB7FBD762B5F40,W8r1LuGwd932W3Zq,NTJLA9CA7600F337,7,33000,231000,29882.554545454546,209177.88181818184
DNJBD5779960B81E,4aCSBjQPd3TzFd90,NTJL10E45A10EFF5,6,40000,240000,16267.88,97607.28
DNJB069BF81D3B0D,4aCSBjQPd3TzFd90,NTJL5919734A89AA,28,40000,1120000,16267.88,455500.63999999996
DNJBAE995F498797,4aCSBjQPd3TzFd90,NTJLD1BE54978ADE,9,40000,360000,16267.88,146410.91999999998
DNJBB1973C28BADB,4aCSBjQPd3TzFd90,NTJLA5C22689D3DF,21,40000,840000,16267.88,341625.48
DNJB150169977638,4aCSBjQPd3TzFd90,NTJL981B13AD88A9,27,40000,1080000,16267.88,439232.75999999995
DNJBD0BC8A474A64,4aCSBjQPd3TzFd90,NTJL0E2EDF48C512,12,40000,480000,16267.88,195214.56
DNJB42A10A5B2569,4aCSBjQPd3TzFd90,NTJL24462A10065E,27,40000,1080000,16267.88,439232.75999999995
DNJBF2FE66E3BD7D,4aCSBjQPd3TzFd90,NTJL2D22817A0FC8,22,40000,880000,16267.88,357893.36
DNJBE326D238587A,4aCSBjQPd3TzFd90,NTJLC6BCD425703B,16,40000,640000,16267.88,260286.08
DNJB47A351100DFC,4aCSBjQPd3TzFd90,NTJL666E44557183,7,40000,280000,16267.88,113875.15999999999
DNJB24993B5B3855,4aCSBjQPd3TzFd90,NTJLFEDCD6B5F97E,18,40000,720000,16267.88,292821.83999999997
DNJB0FE05F390FD2,4aCSBjQPd3TzFd90,NTJL7169C4D726AE,22,40000,880000,16267.88,357893.36
DNJB6CABE1CF316B,4aCSBjQPd3TzFd90,NTJL26F2D9BE0232,9,40000,360000,16267.88,146410.91999999998
DNJB7943F67D9E15,4aCSBjQPd3TzFd90,NTJL307B6D57C690,8,40000,320000,16267.88,130143.04
DNJB72AC12CE40B9,W8r1LuGwd932W3Zq,NTJL82DB810F1F65,2,33000,66000,30061.476470588233,60122.95294117647
DNJB5E43E73B0F90,W8r1LuGwd932W3Zq,NTJL2085C4CA7770,16,33000,528000,30061.476470588233,480983.62352941174
DNJBF23A8D68812D,W8r1LuGwd932W3Zq,NTJLC1F93A7472D9,19,33000,627000,30061.476470588233,571168.0529411765
DNJB57B5BB8B20B4,W8r1LuGwd932W3Zq,NTJLA49315F167D0,2,33000,66000,30061.476470588233,60122.95294117647
DNJB950562F84FAC,W8r1LuGwd932W3Zq,NTJLAE18787DBF40,2,33000,66000,30061.476470588233,60122.95294117647
DNJBEACF7A90D30F,W8r1LuGwd932W3Zq,NTJL8F85D3238A51,14,33000,462000,30061.476470588233,420860.67058823525
DNJBA01C14F7F881,W8r1LuGwd932W3Zq,NTJL52563F01CB50,20,33000,660000,30061.476470588233,601229.5294117647
DNJB88DAE55388AC,4aCSBjQPd3TzFd90,NTJLC8049C538FD9,21,40000,840000,16267.88,341625.48
DNJB2D1F149AA797,4aCSBjQPd3TzFd90,NTJLC855B8569862,27,40000,1080000,16267.88,439232.75999999995
DNJBC96FA043C002,4aCSBjQPd3TzFd90,NTJL4D0E02D96C46,21,40000,840000,16267.88,341625.48
DNJB839EC45FCBB3,4aCSBjQPd3TzFd90,NTJL370D890A4706,15,40000,600000,16267.88,244018.19999999998
DNJBFD999DEF9F4D,4aCSBjQPd3TzFd90,NTJLF9BB4F8C9539,15,40000,600000,16267.88,244018.19999999998
DNJB6FB4968B7F5F,4aCSBjQPd3TzFd90,NTJL2BCCC45C4509,12,40000,480000,16267.88,195214.56
DNJB823DB7F12417,4aCSBjQPd3TzFd90,NTJLF8A075071375,8,40000,320000,16267.88,130143.04
DNJBEA03276785B2,4aCSBjQPd3TzFd90,NTJLF04E8BE90A23,6,40000,240000,16267.88,97607.28
DNJBDA2A877B9A1E,4aCSBjQPd3TzFd90,NTJL33D1245F161C,24,40000,960000,16267.88,390429.12
DNJB40872302CAB4,4aCSBjQPd3TzFd90,NTJLBF305951ECF9,11,40000,440000,16267.88,178946.68
DNJB007126EA0EAA,4aCSBjQPd3TzFd90,NTJLAA398ED4AEC8,11,40000,440000,16267.88,178946.68
DNJB09539A241AFA,W8r1LuGwd932W3Zq,NTJLE33B254D9083,12,33000,396000,30061.476470588233,360737.7176470588
DNJBFB23DD0F4BFC,W8r1LuGwd932W3Zq,NTJL2760B7E77EA1,1,33000,33000,30061.476470588233,30061.476470588233
DNJBBDD00BEC6EB0,W8r1LuGwd932W3Zq,NTJL26D65A58820B,8,33000,264000,30061.476470588233,240491.81176470587
DNJB6C3F59C1F55B,W8r1LuGwd932W3Zq,NTJL8770DFD301D4,14,33000,462000,30061.476470588233,420860.67058823525
DNJB71E1FC896A7C,W8r1LuGwd932W3Zq,NTJLBE415B1CDA4E,10,33000,330000,30061.476470588233,300614.76470588235
DNJBFD5828009D8D,W8r1LuGwd932W3Zq,NTJL676B24094CAB,15,33000,495000,30061.476470588233,450922.1470588235
