ID_DETAIL_TRANSFER_BARANG,ID_TRANSFER_BARANG,KD_BARANG,TOTAL_PESAN_TRANSFER_DUS,TOTAL_KIRIM_DUS,TOTAL_TIBA_DUS,TOTAL_DITOLAK_DUS,TOTAL_MASUK_DUS,STATUS
DTFR5B6958CCF0EF,TRFR3977B675177C,4aCSBjQPd3TzFd90,40,40,40,0,40,SELESAI
DTFR58D4617725B6,TRFR7D82C4EA5A18,4aCSBjQPd3TzFd90,40,40,40,0,40,SELESAI
DTFRF6600B06332A,TRFR7D5C95E6B906,4aCSBjQPd3TzFd90,40,40,40,0,40,SELESAI
DTFR92BE6380624D,TRFR7BEA1A0962E3,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR03F3039A241B,TRFR8ADFA2329E6B,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR76F2C1880262,TRFRE0F2E2C4C74E,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFRBB5E1B6EAF9C,TRFRB547C332C891,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR57CC511796F7,TRFR3DD813A92434,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFRBFE6E52F2FC4,TRFR0177628E156D,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR7552B9EDB6A5,TRFRC718B347E630,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR6F0BFC0597DB,TRFRDA202B20FE24,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR8D68CFBB2038,TRFR408DEED24DB8,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR9B40236887A8,TRFR9EC35DB66267,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR59E057FC5D4F,TRFRAB1C094A545B,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFRDADE485AD95B,TRFR39FA8484F68C,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR137C034C715C,TRFRDB9AD18892F1,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR1E2FB196D3EE,TRFR79FBBDFF22DF,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR28EAFE82D135,TRFRC2C0FB5B1CDF,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFRD3D62BE24D7A,TRFR8AE336E9F299,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFRE3EE348CED1B,TRFR8E68A76BB5D3,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR1C18FDCBD3BE,TRFR2F91F2C57314,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFRFDD0D501D579,TRFR2A2D399301DD,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFRFAEF0716C47C,TRFR31DB02757961,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR764682BF6443,TRFRCE32EBF50AFC,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFR10F044BD8764,TRFR2E32268A6F4D,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
DTFRAA44E49DF99A,TRFR66934221B36D,W8r1LuGwd932W3Zq,5,5,5,0,5,SELESAI
