ID_DETAIL_TRANSFER_BARANG_BATCH,ID_DETAIL_TRANSFER_BARANG,ID_PESAN_BARANG,JUMLAH_PESAN_TRANSFER_BATCH_DUS,JUMLAH_KIRIM_DUS,JUMLAH_TIBA_DUS,JUMLAH_DITOLAK_DUS,JUMLAH_MASUK_DUS
DTFB4D2D58E7C13A,DTFR5B6958CCF0EF,PSBGF0F3FAB769F2,40,40,40,0,40
DTFB0C099DF70185,DTFR58D4617725B6,PSBGF0F3FAB769F2,40,40,40,0,40
DTFB131D3031DFCC,DTFRF6600B06332A,PSBGF0F3FAB769F2,40,40,40,0,40
DTFB771048B11FC5,DTFR92BE6380624D,PSBG5138903DD5F8,5,5,5,0,5
DTFB2F189C3AB504,DTFR03F3039A241B,PSBG5138903DD5F8,5,5,5,0,5
DTFB0C381DA7557A,DTFR76F2C1880262,PSBG5138903DD5F8,5,5,5,0,5
DTFB7ED408A99353,DTFRBB5E1B6EAF9C,PSBG5138903DD5F8,5,5,5,0,5
DTFBFD7B771B8EB7,DTFR57CC511796F7,PSBG5138903DD5F8,5,5,5,0,5
DTFB66746162262E,DTFRBFE6E52F2FC4,PSBG5138903DD5F8,5,5,5,0,5
DTFBD49695BFD1CF,DTFR7552B9EDB6A5,PSBG473295ED35EF,5,5,5,0,5
DTFB324394089B14,DTFR6F0BFC0597DB,PSBG473295ED35EF,5,5,5,0,5
DTFB5FDB37101C7C,DTFR8D68CFBB2038,PSBG473295ED35EF,5,5,5,0,5
DTFB26263E4B59BF,DTFR9B40236887A8,PSBG473295ED35EF,5,5,5,0,5
DTFBF1C8C26306CE,DTFR59E057FC5D4F,PSBG473295ED35EF,5,5,5,0,5
DTFB4C20D1FCB72D,DTFRDADE485AD95B,PSBG31FE3F986D7A,5,5,5,0,5
DTFB4F0D49E5D919,DTFR137C034C715C,PSBG31FE3F986D7A,5,5,5,0,5
DTFB322FE2255CC7,DTFR1E2FB196D3EE,PSBG31FE3F986D7A,5,5,5,0,5
DTFB4E7C4B45E511,DTFR28EAFE82D135,PSBG31FE3F986D7A,5,5,5,0,5
DTFB5B5699230347,DTFRD3D62BE24D7A,PSBG31FE3F986D7A,5,5,5,0,5
DTFB81A39FEAD8D7,DTFRE3EE348CED1B,PSBG31FE3F986D7A,5,5,5,0,5
DTFB8A50C479C9B1,DTFR1C18FDCBD3BE,PSBG4F4B8701CC5C,5,5,5,0,5
DTFB8EE0F6282866,DTFRFDD0D501D579,PSBG4F4B8701CC5C,5,5,5,0,5
DTFBD9C448F1F6E8,DTFRFAEF0716C47C,PSBG4F4B8701CC5C,5,5,5,0,5
DTFB945DC1FBD1F2,DTFR764682BF6443,PSBG4F4B8701CC5C,5,5,5,0,5
DTFB1C2E1ADC192A,DTFR10F044BD8764,PSBG4F4B8701CC5C,5,5,5,0,5
DTFB10FA13376EC1,DTFRAA44E49DF99A,PSBG4F4B8701CC5C,5,5,5,0,5
DTFB58EEB0CF78F1,DTFRFEE8D4CBDF2C,PSBG33A86D20468A,5,5,5,0,5
DTFBCE27E87139B2,DTFRECBBCF58430A,PSBG33A86D20468A,5,5,5,0,5
DTFBF573122D3585,DTFR23419BBDFBC8,PSBG33A86D20468A,5,5,5,0,5
DTFB20760D195568,DTFRCD3FCBB0E0E7,PSBG33A86D20468A,5,5,5,0,5
DTFB22A4E8FBD1EB,DTFRC359651E321B,PSBG33A86D20468A,5,5,5,0,5
DTFB5DC295D9098A,DTFR7EB948631098,PSBGED274C0DD3BE,5,5,5,0,5
DTFBEA9EEB52907C,DTFR6358DC7C23CE,PSBGED274C0DD3BE,5,5,5,0,5
DTFBB44FCDB089FE,DTFRC9AE260DC6F2,PSBGED274C0DD3BE,5,5,5,0,5
