ID_NOTA_JUAL,ID_USERS,KD_LOKASI,WAKTU_NOTA,TOTAL_JUAL_BARANG,SUB_TOTAL_JUAL,SUB_TOTAL_BELI,GROSS_PROFIT,PAJAK,GRAND_TOTAL
NTJL643367525DFB,TOKOeLig,TOKOeLig,2024-01-01 08:16:48,25,1000000,406697.0,593303.0,110000.0,1110000.0
NTJL62FAAAC5A0E5,TOKOeLig,TOKOeLig,2024-01-01 18:18:05,30,1200000,488036.39999999997,711963.6000000001,132000.0,1332000.0
NTJLF8EC5BB94CF6,TOKOeLig,TOKOeLig,2024-01-01 19:56:57,10,400000,162678.8,237321.2,44000.0,444000.0
NTJL534F1D902A5C,TOKOeLig,TOKOeLig,2024-01-01 19:17:32,7,280000,113875.15999999999,166124.84000000003,30800.0,310800.0
NTJL4D1D74BB49B5,TOKOrvYu,TOKOjtqG,2024-01-01 19:51:11,8,320000,130143.04,189856.96000000002,35200.0,355200.0
NTJL8189D49D583D,TOKOrvYu,TOKOjtqG,2024-01-01 18:43:56,2,80000,32535.76,47464.240000000005,8800.0,88800.0
NTJL02D98878778F,TOKOrvYu,TOKOjtqG,2024-01-01 20:31:34,5,200000,81339.4,118660.6,22000.0,222000.0
NTJL922802CA470E,TOKOrvYu,TOKOjtqG,2024-01-01 17:45:06,6,240000,97607.28,142392.72,26400.0,266400.0
NTJL181875BC2889,TOKOu8EU,TOKOk3CZ,2024-01-01 15:02:11,8,320000,130143.04,189856.96000000002,35200.0,355200.0
NTJLEF55DD920A65,TOKOu8EU,TOKOk3CZ,2024-01-01 09:37:52,13,520000,211482.44,308517.56,57200.0,577200.0
NTJLBA2DF06D9C6E,TOKOu8EU,TOKOk3CZ,2024-01-01 11:31:56,19,760000,309089.72,450910.28,83600.0,843600.0
NTJLD2E70A55F9AB,TOKOu8EU,TOKOk3CZ,2024-01-01 12:49:46,29,1160000,471768.51999999996,688231.48,127600.0,1287600.0
NTJLDEBA573E79E5,TOKOeLig,TOKOeLig,2024-01-01 16:09:08,23,759000,678870.2999999999,80129.70000000007,83490.0,842490.0
NTJLA38D69A010A7,TOKOeLig,TOKOeLig,2024-01-01 20:36:56,14,462000,413225.39999999997,48774.600000000035,50820.0,512820.0
NTJLE3524B90FABF,TOKOeLig,TOKOeLig,2024-01-01 10:32:48,4,132000,118064.4,13935.600000000006,14520.0,146520.0
NTJLF061492C679F,TOKOeLig,TOKOeLig,2024-01-01 09:45:09,7,231000,206612.69999999998,24387.300000000017,25410.0,256410.0
NTJLC049CD297039,TOKOeLig,TOKOeLig,2024-01-01 18:40:21,2,66000,59032.2,6967.800000000003,7260.0,73260.0
NTJL00E3D4D957BB,TOKOrvYu,TOKOjtqG,2024-01-01 12:00:10,5,165000,147580.5,17419.5,18150.0,183150.0
NTJLE74DA711D254,TOKOrvYu,TOKOjtqG,2024-01-01 14:41:33,9,297000,265644.89999999997,31355.100000000035,32670.0,329670.0
NTJLEBE05E5005B9,TOKOu8EU,TOKOk3CZ,2024-01-01 17:46:19,27,891000,796934.7,94065.30000000005,98010.0,989010.0
NTJL75C1947B8FDC,TOKOu8EU,TOKOk3CZ,2024-01-01 20:27:19,20,660000,590322.0,69678.0,72600.0,732600.0
