ID_HISTORY_STOCK,KD_BARANG,KD_LOKASI,UPDATED_BY,JUMLAH_AWAL,JUMLAH_PERUBAHAN,JUMLAH_AKHIR,TIPE_PERUBAHAN,REF,SATUAN,WAKTU_CHANGE
SKHY5D73A753E84D,W8r1LuGwd932W3Zq,GDNGj825,GDNGj825,0,30,30,PEMESANAN,PSBG5138903DD5F8,DUS,2023-12-30 12:14:44
SKHY51EB856D9914,4aCSBjQPd3TzFd90,GDNGj825,GDNGj825,0,200,200,PEMESANAN,PSBGF0F3FAB769F2,DUS,2023-12-30 13:11:44
SKHY40B685F463D5,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,1000,-25,975,PENJUALAN,DNJB9E71E7F1FAC6,PIECES,2024-01-01 08:16:48
SKHY545D25A99040,W8r1LuGwd932W3Zq,GDNGj825,GDNGj825,20,-5,25,TRANSFER,TRFRE0F2E2C4C74E,DUS,2024-01-01 09:33:40
SKHY7CA948D040F8,W8r1LuGwd932W3Zq,TOKOk3CZ,TOKOu8EU,0,50,50,TRANSFER,TRFRE0F2E2C4C74E,PIECES,2024-01-01 09:35:40
SKHYD387B076A60A,4aCSBjQPd3TzFd90,TOKOk3CZ,TOKOu8EU,992,-13,979,PENJUALAN,DNJB20DF81B21E21,PIECES,2024-01-01 09:37:52
SKHY5B698397AB53,W8r1LuGwd932W3Zq,TOKOk3CZ,TOKOu8EU,3,-3,47,PENJUALAN,DNJB94A27712DDC1,PIECES,2024-01-01 09:43:21
SKHYC335874BCD41,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,9,-7,2,PENJUALAN,DNJB2CA151210281,PIECES,2024-01-01 09:45:09
SKHY14E2163F0517,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,13,-4,-2,PENJUALAN,DNJBDBECB2682723,PIECES,2024-01-01 10:32:48
SKHY61CBE4301E36,4aCSBjQPd3TzFd90,TOKOk3CZ,TOKOu8EU,979,-19,960,PENJUALAN,DNJBAFED86D8E0DA,PIECES,2024-01-01 11:31:56
SKHY4833D26DAB56,W8r1LuGwd932W3Zq,TOKOjtqG,TOKOrvYu,50,-5,45,PENJUALAN,DNJB2CFF1D163CD1,PIECES,2024-01-01 12:00:10
SKHY2C554D1A9B96,4aCSBjQPd3TzFd90,TOKOk3CZ,TOKOu8EU,960,-29,931,PENJUALAN,DNJBB97BDC494CD6,PIECES,2024-01-01 12:49:46
SKHY53A103E308A9,4aCSBjQPd3TzFd90,GDNGj825,GDNGj825,120,-40,160,TRANSFER,TRFR7D5C95E6B906,DUS,2024-01-01 13:22:11
SKHY68F8E60555F1,4aCSBjQPd3TzFd90,TOKOk3CZ,TOKOu8EU,0,1000,1931,TRANSFER,TRFR7D5C95E6B906,PIECES,2024-01-01 13:26:11
SKHY501CE8BDA5F0,W8r1LuGwd932W3Zq,GDNGj825,GDNGj825,30,-5,20,TRANSFER,TRFR7BEA1A0962E3,DUS,2024-01-01 13:34:24
SKHY67FBDBAF862F,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,0,50,48,TRANSFER,TRFR7BEA1A0962E3,PIECES,2024-01-01 13:36:24
SKHY603E94737E5F,4aCSBjQPd3TzFd90,GDNGj825,GDNGj825,200,-40,120,TRANSFER,TRFR3977B675177C,DUS,2024-01-01 14:02:17
SKHY927E83FE364A,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,0,1000,1975,TRANSFER,TRFR3977B675177C,PIECES,2024-01-01 14:05:17
SKHY783FA994F757,W8r1LuGwd932W3Zq,TOKOjtqG,TOKOrvYu,45,-9,36,PENJUALAN,DNJBFD9ED938C1F8,PIECES,2024-01-01 14:41:33
SKHY96D6A0C8E745,4aCSBjQPd3TzFd90,TOKOk3CZ,TOKOu8EU,1000,-8,1923,PENJUALAN,DNJBE7385DB48927,PIECES,2024-01-01 15:02:11
SKHY27F443B224ED,4aCSBjQPd3TzFd90,GDNGj825,GDNGj825,160,-40,80,TRANSFER,TRFR7D82C4EA5A18,DUS,2024-01-01 15:56:45
SKHY0CAE59F0083C,4aCSBjQPd3TzFd90,TOKOjtqG,TOKOrvYu,0,1000,1000,TRANSFER,TRFR7D82C4EA5A18,PIECES,2024-01-01 15:59:45
SKHY158E17C00AB4,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,50,-23,25,PENJUALAN,DNJB2F06E7153F95,PIECES,2024-01-01 16:09:08
SKHY840DB499C4FB,W8r1LuGwd932W3Zq,GDNGj825,GDNGj825,25,-5,15,TRANSFER,TRFR8ADFA2329E6B,DUS,2024-01-01 17:32:05
SKHYCE6E0D3D3562,W8r1LuGwd932W3Zq,TOKOjtqG,TOKOrvYu,0,50,86,TRANSFER,TRFR8ADFA2329E6B,PIECES,2024-01-01 17:33:05
SKHY092049FD3D8F,4aCSBjQPd3TzFd90,TOKOjtqG,TOKOrvYu,985,-6,994,PENJUALAN,DNJBBCD8730EA724,PIECES,2024-01-01 17:45:06
SKHY4C08C50508E2,W8r1LuGwd932W3Zq,TOKOk3CZ,TOKOu8EU,50,-27,20,PENJUALAN,DNJBF165AFB36368,PIECES,2024-01-01 17:46:19
SKHYA13424CAFF40,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,975,-30,1945,PENJUALAN,DNJB2C2DFC73BDEB,PIECES,2024-01-01 18:18:05
SKHYC21CECD721EA,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,2,-2,23,PENJUALAN,DNJBF950CF895F45,PIECES,2024-01-01 18:40:21
SKHY20B57FDA7A16,W8r1LuGwd932W3Zq,GDNGj825,GDNGj825,5,25,40,PEMESANAN,PSBG473295ED35EF,DUS,2024-01-01 18:42:35
SKHYA810A022D361,4aCSBjQPd3TzFd90,TOKOjtqG,TOKOrvYu,992,-2,992,PENJUALAN,DNJBC593278CC16D,PIECES,2024-01-01 18:43:56
SKHY4785DA65B84E,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,935,-7,1938,PENJUALAN,DNJBFDC8BCD37EEA,PIECES,2024-01-01 19:17:32
SKHYD32C8242051F,4aCSBjQPd3TzFd90,TOKOjtqG,TOKOrvYu,1000,-8,984,PENJUALAN,DNJB010591717128,PIECES,2024-01-01 19:51:11
SKHY55EFA0BF9152,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,945,-10,1928,PENJUALAN,DNJB140B5CFC24D2,PIECES,2024-01-01 19:56:57
SKHY798816A7898B,W8r1LuGwd932W3Zq,TOKOk3CZ,TOKOu8EU,23,-20,0,PENJUALAN,DNJB175642AD88E5,PIECES,2024-01-01 20:27:19
SKHY832F9C4B4ADB,4aCSBjQPd3TzFd90,TOKOjtqG,TOKOrvYu,990,-5,979,PENJUALAN,DNJBF784EC3EC5C6,PIECES,2024-01-01 20:31:34
SKHY92A256054220,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,27,-14,9,PENJUALAN,DNJB0644249ACD24,PIECES,2024-01-01 20:36:56
SKHYBB3A814BC65E,W8r1LuGwd932W3Zq,TOKOjtqG,TOKOrvYu,36,-30,56,PENJUALAN,DNJBC6C74A579A7C,PIECES,2024-01-02 08:38:55
SKHY4FFEB206AF35,4aCSBjQPd3TzFd90,TOKOeLig,TOKOeLig,908,-20,1908,PENJUALAN,DNJBBF761DC52F17,PIECES,2024-01-02 08:58:13
SKHY643BB051764B,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,2,-2,7,PENJUALAN,DNJB5E33A3338BCF,PIECES,2024-01-02 09:11:54
SKHY9C63DA59542A,4aCSBjQPd3TzFd90,TOKOk3CZ,TOKOu8EU,931,-25,1898,PENJUALAN,DNJB4DEABBD76261,PIECES,2024-01-02 09:12:55
SKHYB300CF4D0567,W8r1LuGwd932W3Zq,TOKOjtqG,TOKOrvYu,6,-3,53,PENJUALAN,DNJB4C375B586E38,PIECES,2024-01-02 09:48:54
SKHYE0DE0E05314A,W8r1LuGwd932W3Zq,TOKOeLig,TOKOeLig,4,-2,5,PENJUALAN,DNJBF55C218F1476,PIECES,2024-01-02 09:49:57
