ID_TRANSFER_BARANG,ID_USERS_PENGIRIM,ID_USERS_PENERIMA,KD_LOKASI_ASAL,KD_LOKASI_TUJUAN,WAKTU_PESAN_TRANSFER,WAKTU_KIRIM_TRANSFER,WAKTU_SELESAI_TRANSFER,STATUS
TRFR3977B675177C,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2023-12-31 22:00:00,2023-12-31 23:00:00,2024-01-01 00:00:00,SELESAI
TRFR7D82C4EA5A18,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2023-12-31 22:00:00,2023-12-31 23:00:00,2024-01-01 00:00:00,SELESAI
TRFR7D5C95E6B906,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2023-12-31 22:00:00,2023-12-31 23:00:00,2024-01-01 00:00:00,SELESAI
TRFR7BEA1A0962E3,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2023-12-31 22:00:00,2023-12-31 23:00:00,2024-01-01 00:00:00,SELESAI
TRFR8ADFA2329E6B,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2023-12-31 22:00:00,2023-12-31 23:00:00,2024-01-01 00:00:00,SELESAI
TRFRE0F2E2C4C74E,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2023-12-31 22:00:00,2023-12-31 23:00:00,2024-01-01 00:00:00,SELESAI
TRFRB547C332C891,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-01 22:00:00,2024-01-01 23:00:00,2024-01-02 00:00:00,SELESAI
TRFR3DD813A92434,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-01 22:00:00,2024-01-01 23:00:00,2024-01-02 00:00:00,SELESAI
TRFR0177628E156D,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-02 22:00:00,2024-01-02 23:00:00,2024-01-03 00:00:00,SELESAI
TRFRC718B347E630,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-02 22:00:00,2024-01-02 23:00:00,2024-01-03 00:00:00,SELESAI
TRFRDA202B20FE24,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-02 22:00:00,2024-01-02 23:00:00,2024-01-03 00:00:00,SELESAI
TRFR408DEED24DB8,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-03 22:00:00,2024-01-03 23:00:00,2024-01-04 00:00:00,SELESAI
TRFR9EC35DB66267,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-03 22:00:00,2024-01-03 23:00:00,2024-01-04 00:00:00,SELESAI
TRFRAB1C094A545B,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-03 22:00:00,2024-01-03 23:00:00,2024-01-04 00:00:00,SELESAI
TRFR39FA8484F68C,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-04 22:00:00,2024-01-04 23:00:00,2024-01-05 00:00:00,SELESAI
TRFRDB9AD18892F1,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-04 22:00:00,2024-01-04 23:00:00,2024-01-05 00:00:00,SELESAI
TRFR79FBBDFF22DF,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-04 22:00:00,2024-01-04 23:00:00,2024-01-05 00:00:00,SELESAI
TRFRC2C0FB5B1CDF,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-06 22:00:00,2024-01-06 23:00:00,2024-01-07 00:00:00,SELESAI
TRFR8AE336E9F299,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-06 22:00:00,2024-01-06 23:00:00,2024-01-07 00:00:00,SELESAI
TRFR8E68A76BB5D3,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-06 22:00:00,2024-01-06 23:00:00,2024-01-07 00:00:00,SELESAI
TRFR2F91F2C57314,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-07 22:00:00,2024-01-07 23:00:00,2024-01-08 00:00:00,SELESAI
TRFR2A2D399301DD,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-07 22:00:00,2024-01-07 23:00:00,2024-01-08 00:00:00,SELESAI
TRFR31DB02757961,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-08 22:00:00,2024-01-08 23:00:00,2024-01-09 00:00:00,SELESAI
TRFRCE32EBF50AFC,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-08 22:00:00,2024-01-08 23:00:00,2024-01-09 00:00:00,SELESAI
TRFR2E32268A6F4D,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-08 22:00:00,2024-01-08 23:00:00,2024-01-09 00:00:00,SELESAI
TRFR66934221B36D,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-09 22:00:00,2024-01-09 23:00:00,2024-01-10 00:00:00,SELESAI
TRFR77B5699E1916,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-09 22:00:00,2024-01-09 23:00:00,2024-01-10 00:00:00,SELESAI
TRFR0AADDE243675,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-10 22:00:00,2024-01-10 23:00:00,2024-01-11 00:00:00,SELESAI
TRFR66867F9A1D23,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-10 22:00:00,2024-01-10 23:00:00,2024-01-11 00:00:00,SELESAI
TRFR61984A6087E0,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-10 22:00:00,2024-01-10 23:00:00,2024-01-11 00:00:00,SELESAI
TRFRF844AD840435,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-11 22:00:00,2024-01-11 23:00:00,2024-01-12 00:00:00,SELESAI
TRFR3F2B97083614,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-12 22:00:00,2024-01-12 23:00:00,2024-01-13 00:00:00,SELESAI
TRFR3677F046BC7A,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-12 22:00:00,2024-01-12 23:00:00,2024-01-13 00:00:00,SELESAI
TRFR0A632AC108C6,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-12 22:00:00,2024-01-12 23:00:00,2024-01-13 00:00:00,SELESAI
TRFRAA477DA398E7,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-13 22:00:00,2024-01-13 23:00:00,2024-01-14 00:00:00,SELESAI
TRFRBD68FCA589F8,GDNGj825,TOKOrvYu,GDNGj825,TOKOjtqG,2024-01-13 22:00:00,2024-01-13 23:00:00,2024-01-14 00:00:00,SELESAI
TRFRE2848D3A77F4,GDNGj825,TOKOu8EU,GDNGj825,TOKOk3CZ,2024-01-13 22:00:00,2024-01-13 23:00:00,2024-01-14 00:00:00,SELESAI
TRFR8911B01B73C2,GDNGj825,TOKOeLig,GDNGj825,TOKOeLig,2024-01-14 22:00:00,2024-01-14 23:00:00,2024-01-15 00:00:00,SELESAI
